264	0.25	1	0	task-0:0	|	0.239037	0.199108	0.178611	0.135571	0.151246	0.120358	0.118525	0.100777	0.09606	0.0850957	0.0676426	0.0808133	0.0613409	0.0549711	0.0539246	0.0519899	0.0507064	0.0493665	0.0466533	0.0439373	0.044506	0.04195	0.0408679	0.0406929	0.0403768	0.0399348	0.0393486	0.0380015	0.0356983	0.0376412	0.0373243	0.0330139	0.0327912	0.0322458	0.0312419	0.031962	0.0304423	0.0302084	0.0299469	0.029347	0.028274	0.0297725	0.0276684	0.0273584	0.0273301	0.027136	0.0268508	0.0266558	0.0264967	0.0261379	0.0255631	0.0259396	0.0251209	0.0249915	0.0248347	0.0244888	0.0239017	0.024978	0.0237536	0.0236413	0.0235125	0.0234488	0.0233521	0.0232404	0.0229795	0.0224321	0.0214076	0.0232524	0.0292106	0.0201315	0.020073	0.0199425	0.0196883	0.0195657	0.0196709	0.0192806	0.0192305	0.0191358	0.0189715	0.0188018	0.0186409	0.0186316	0.0185158	0.0184501	0.0183925	0.018311	0.0182144	0.018059	0.0179309	0.0178562	0.0178213	0.0177851	0.017726	0.0176416	0.0174662	0.0171348	0.0178061	0.0172599	0.0167872	0.0167615	0.0166997	0.0165638	0.0162829	0.0157389	0.0147629	0.0271745	0.022039	0.0139603	0.0139321	0.0139127	0.0138976	0.0138643	0.0137957	0.0136617	0.0134134	0.0129482	0.012626	0.0423627	0.0121982	0.0121507	0.0121383	0.012113	0.0120671	0.012037	0.0120111	0.0119917	0.0119697	0.0119496	0.0119348	0.0119054	0.0118606	0.011856	0.011828	0.0118154	0.0117905	0.0117427	0.0116863	0.0116978	0.0116537	0.0116492	0.0116409	0.01164	0.0116353	0.0116256	0.0116104	0.011594	0.0115734	0.0115443	0.0115142	0.00997947	0.00974	0.00881511	0.00727766	0.0067823	0.00669226	0.00649695	0.00616279	0.00574972	0.00526496	0.00435435	0.00294178	0.0014393	

327	0.265	1	0	task-0:0	|	0.252103	0.226961	0.191648	0.141733	0.0947524	0.222374	0.0822941	0.0800115	0.077304	0.0700738	0.0627106	0.065969	0.0575596	0.0563937	0.0539578	0.0526604	0.0503624	0.049722	0.0486563	0.0469714	0.044818	0.0442244	0.0437479	0.0427084	0.0422024	0.0414808	0.0405781	0.038832	0.0368884	0.0385656	0.0355989	0.0350613	0.0348127	0.0344264	0.03398	0.0332553	0.0328145	0.0322309	0.031028	0.0288984	0.0386215	0.0282479	0.0277683	0.0277138	0.0275024	0.0272841	0.027114	0.027065	0.0268894	0.0266095	0.0263971	0.0261581	0.0256371	0.0245908	0.0227079	0.0273853	0.0525805	0.0204096	0.0203455	0.0202039	0.0199257	0.0197703	0.0200584	0.0194691	0.019418	0.0193188	0.0191366	0.018832	0.0183267	0.0197058	0.0185998	0.0178615	0.0178319	0.0177722	0.0176598	0.0174819	0.0174122	0.0173975	0.0172086	0.0171689	0.0171171	0.0170121	0.0169528	0.0168656	0.0168306	0.0167677	0.0166651	0.0164695	0.0164416	0.0166054	0.0161804	0.0161494	0.0160874	0.0159767	0.0158129	0.015493	0.0150337	0.0222595	0.0149026	0.014875	0.0148386	0.014799	0.0147546	0.0147035	0.0146645	0.0145874	0.0144422	0.0145499	0.0144103	0.0142627	0.0142469	0.0142186	0.0141596	0.0140445	0.013884	0.0141412	0.0139075	0.0137075	0.0136931	0.0136622	0.0136052	0.0135262	0.0133706	0.0131299	0.0153449	0.0130766	0.0130629	0.0130371	0.0129966	0.0129642	0.0129335	0.0129223	0.0129083	0.0128871	0.0128663	0.0128242	0.0127392	0.0125927	0.0125969	0.0136071	0.0123652	0.0123507	0.0123225	0.0122702	0.0121689	0.0120486	0.0129549	0.0119855	0.0119739	0.0119524	0.0119181	0.011851	0.011906	0.0118004	0.0117795	0.011767	0.0117407	0.0116852	0.0115731	0.0113551	0.0109531	0.0102299	0.00904116	0.0331461	0.113526	0.0151793	0.0483766	0.00821768	0.00777609	0.00767137	0.00766766	0.00765867	0.00763929	0.00759571	0.00758725	0.007536	0.00750497	0.0074979	0.00748591	0.0074563	0.00744199	0.00741893	0.00742053	0.00745655	0.00739522	0.00739431	0.00739201	0.00738664	0.00737576	0.00735411	0.0073118	0.00723098	0.00806452	0.0072964	0.00718616	0.00718204	0.00717466	0.00716611	0.00716438	0.00716298	0.00714973	0.00714386	0.00713216	0.00710889	0.00706278	0.00697164	0.00679596	0.00801865	0.0190464	0.00674594	0.00656077	0.00652606	0.00652416	0.00652035	0.00650991	0.00648874	0.00644654	0.00636372	0.00661568	0.00941639	0.0062412	0.00623756	0.00623058	0.00622023	0.00620026	0.00619741	0.00627605	0.00616737	0.00616572	0.00616266	0.00615769	0.0061405	0.00614481	0.00587293	0.0056722	0.00516354	0.00445026	0.00429665	0.00428133	0.00424064	0.00415405	0.00400591	0.00381675	0.00357323	0.00310833	0.00234382	

327	0.265	1	0	task-0:0	|	0.252103	0.226961	0.191648	0.141733	0.0947524	0.222374	0.0822941	0.0800115	0.077304	0.0700738	0.0627106	0.065969	0.0575596	0.0563937	0.0539578	0.0526604	0.0503624	0.049722	0.0486563	0.0469714	0.044818	0.0442244	0.0437479	0.0427084	0.0422024	0.0414808	0.0405781	0.038832	0.0368884	0.0385656	0.0355989	0.0350613	0.0348127	0.0344264	0.03398	0.0332553	0.0328145	0.0322309	0.031028	0.0288984	0.0386215	0.0282479	0.0277683	0.0277138	0.0275024	0.0272841	0.027114	0.027065	0.0268894	0.0266095	0.0263971	0.0261581	0.0256371	0.0245908	0.0227079	0.0273853	0.0525805	0.0204096	0.0203455	0.0202039	0.0199257	0.0197703	0.0200584	0.0194691	0.019418	0.0193188	0.0191366	0.018832	0.0183267	0.0197058	0.0185998	0.0178615	0.0178319	0.0177722	0.0176598	0.0174819	0.0174122	0.0173975	0.0172086	0.0171689	0.0171171	0.0170121	0.0169528	0.0168656	0.0168306	0.0167677	0.0166651	0.0164695	0.0164416	0.0166054	0.0161804	0.0161494	0.0160874	0.0159767	0.0158129	0.015493	0.0150337	0.0222595	0.0149026	0.014875	0.0148386	0.014799	0.0147546	0.0147035	0.0146645	0.0145874	0.0144422	0.0145499	0.0144103	0.0142627	0.0142469	0.0142186	0.0141596	0.0140445	0.013884	0.0141412	0.0139075	0.0137075	0.0136931	0.0136622	0.0136052	0.0135262	0.0133706	0.0131299	0.0153449	0.0130766	0.0130629	0.0130371	0.0129966	0.0129642	0.0129335	0.0129223	0.0129083	0.0128871	0.0128663	0.0128242	0.0127392	0.0125927	0.0125969	0.0136071	0.0123652	0.0123507	0.0123225	0.0122702	0.0121689	0.0120486	0.0129549	0.0119855	0.0119739	0.0119524	0.0119181	0.011851	0.011906	0.0118004	0.0117795	0.011767	0.0117407	0.0116852	0.0115731	0.0113551	0.0109531	0.0102299	0.00904116	0.0331461	0.113526	0.0151793	0.0483766	0.00821768	0.00777609	0.00767137	0.00766766	0.00765867	0.00763929	0.00759571	0.00758725	0.007536	0.00750497	0.0074979	0.00748591	0.0074563	0.00744199	0.00741893	0.00742053	0.00745655	0.00739522	0.00739431	0.00739201	0.00738664	0.00737576	0.00735411	0.0073118	0.00723098	0.00806452	0.0072964	0.00718616	0.00718204	0.00717466	0.00716611	0.00716438	0.00716298	0.00714973	0.00714386	0.00713216	0.00710889	0.00706278	0.00697164	0.00679596	0.00801865	0.0190464	0.00674594	0.00656077	0.00652606	0.00652416	0.00652035	0.00650991	0.00648874	0.00644654	0.00636372	0.00661568	0.00941639	0.0062412	0.00623756	0.00623058	0.00622023	0.00620026	0.00619741	0.00627605	0.00616737	0.00616572	0.00616266	0.00615769	0.0061405	0.00614481	0.00587293	0.0056722	0.00516354	0.00445026	0.00429665	0.00428133	0.00424064	0.00415405	0.00400591	0.00381675	0.00357323	0.00310833	0.00234382	

327	0.265	1	0	task-0:0	|	0.252103	0.226961	0.191648	0.141733	0.0947524	0.222374	0.0822941	0.0800115	0.077304	0.0700738	0.0627106	0.065969	0.0575596	0.0563937	0.0539578	0.0526604	0.0503624	0.049722	0.0486563	0.0469714	0.044818	0.0442244	0.0437479	0.0427084	0.0422024	0.0414808	0.0405781	0.038832	0.0368884	0.0385656	0.0355989	0.0350613	0.0348127	0.0344264	0.03398	0.0332553	0.0328145	0.0322309	0.031028	0.0288984	0.0386215	0.0282479	0.0277683	0.0277138	0.0275024	0.0272841	0.027114	0.027065	0.0268894	0.0266095	0.0263971	0.0261581	0.0256371	0.0245908	0.0227079	0.0273853	0.0525805	0.0204096	0.0203455	0.0202039	0.0199257	0.0197703	0.0200584	0.0194691	0.019418	0.0193188	0.0191366	0.018832	0.0183267	0.0197058	0.0185998	0.0178615	0.0178319	0.0177722	0.0176598	0.0174819	0.0174122	0.0173975	0.0172086	0.0171689	0.0171171	0.0170121	0.0169528	0.0168656	0.0168306	0.0167677	0.0166651	0.0164695	0.0164416	0.0166054	0.0161804	0.0161494	0.0160874	0.0159767	0.0158129	0.015493	0.0150337	0.0222595	0.0149026	0.014875	0.0148386	0.014799	0.0147546	0.0147035	0.0146645	0.0145874	0.0144422	0.0145499	0.0144103	0.0142627	0.0142469	0.0142186	0.0141596	0.0140445	0.013884	0.0141412	0.0139075	0.0137075	0.0136931	0.0136622	0.0136052	0.0135262	0.0133706	0.0131299	0.0153449	0.0130766	0.0130629	0.0130371	0.0129966	0.0129642	0.0129335	0.0129223	0.0129083	0.0128871	0.0128663	0.0128242	0.0127392	0.0125927	0.0125969	0.0136071	0.0123652	0.0123507	0.0123225	0.0122702	0.0121689	0.0120486	0.0129549	0.0119855	0.0119739	0.0119524	0.0119181	0.011851	0.011906	0.0118004	0.0117795	0.011767	0.0117407	0.0116852	0.0115731	0.0113551	0.0109531	0.0102299	0.00904116	0.0331461	0.113526	0.0151793	0.0483766	0.00821768	0.00777609	0.00767137	0.00766766	0.00765867	0.00763929	0.00759571	0.00758725	0.007536	0.00750497	0.0074979	0.00748591	0.0074563	0.00744199	0.00741893	0.00742053	0.00745655	0.00739522	0.00739431	0.00739201	0.00738664	0.00737576	0.00735411	0.0073118	0.00723098	0.00806452	0.0072964	0.00718616	0.00718204	0.00717466	0.00716611	0.00716438	0.00716298	0.00714973	0.00714386	0.00713216	0.00710889	0.00706278	0.00697164	0.00679596	0.00801865	0.0190464	0.00674594	0.00656077	0.00652606	0.00652416	0.00652035	0.00650991	0.00648874	0.00644654	0.00636372	0.00661568	0.00941639	0.0062412	0.00623756	0.00623058	0.00622023	0.00620026	0.00619741	0.00627605	0.00616737	0.00616572	0.00616266	0.00615769	0.0061405	0.00614481	0.00587293	0.0056722	0.00516354	0.00445026	0.00429665	0.00428133	0.00424064	0.00415405	0.00400591	0.00381675	0.00357323	0.00310833	0.00234382	

327	0.266	1	0	task-0:0	|	0.252103	0.226961	0.191648	0.141733	0.0947524	0.222374	0.0822941	0.0800115	0.077304	0.0700738	0.0627106	0.065969	0.0575596	0.0563937	0.0539578	0.0526604	0.0503624	0.049722	0.0486563	0.0469714	0.044818	0.0442244	0.0437479	0.0427084	0.0422024	0.0414808	0.0405781	0.038832	0.0368884	0.0385656	0.0355989	0.0350613	0.0348127	0.0344264	0.03398	0.0332553	0.0328145	0.0322309	0.031028	0.0288984	0.0386215	0.0282479	0.0277683	0.0277138	0.0275024	0.0272841	0.027114	0.027065	0.0268894	0.0266095	0.0263971	0.0261581	0.0256371	0.0245908	0.0227079	0.0273853	0.0525805	0.0204096	0.0203455	0.0202039	0.0199257	0.0197703	0.0200584	0.0194691	0.019418	0.0193188	0.0191366	0.018832	0.0183267	0.0197058	0.0185998	0.0178615	0.0178319	0.0177722	0.0176598	0.0174819	0.0174122	0.0173975	0.0172086	0.0171689	0.0171171	0.0170121	0.0169528	0.0168656	0.0168306	0.0167677	0.0166651	0.0164695	0.0164416	0.0166054	0.0161804	0.0161494	0.0160874	0.0159767	0.0158129	0.015493	0.0150337	0.0222595	0.0149026	0.014875	0.0148386	0.014799	0.0147546	0.0147035	0.0146645	0.0145874	0.0144422	0.0145499	0.0144103	0.0142627	0.0142469	0.0142186	0.0141596	0.0140445	0.013884	0.0141412	0.0139075	0.0137075	0.0136931	0.0136622	0.0136052	0.0135262	0.0133706	0.0131299	0.0153449	0.0130766	0.0130629	0.0130371	0.0129966	0.0129642	0.0129335	0.0129223	0.0129083	0.0128871	0.0128663	0.0128242	0.0127392	0.0125927	0.0125969	0.0136071	0.0123652	0.0123507	0.0123225	0.0122702	0.0121689	0.0120486	0.0129549	0.0119855	0.0119739	0.0119524	0.0119181	0.011851	0.011906	0.0118004	0.0117795	0.011767	0.0117407	0.0116852	0.0115731	0.0113551	0.0109531	0.0102299	0.00904116	0.0331461	0.113526	0.0151793	0.0483766	0.00821768	0.00777609	0.00767137	0.00766766	0.00765867	0.00763929	0.00759571	0.00758725	0.007536	0.00750497	0.0074979	0.00748591	0.0074563	0.00744199	0.00741893	0.00742053	0.00745655	0.00739522	0.00739431	0.00739201	0.00738664	0.00737576	0.00735411	0.0073118	0.00723098	0.00806452	0.0072964	0.00718616	0.00718204	0.00717466	0.00716611	0.00716438	0.00716298	0.00714973	0.00714386	0.00713216	0.00710889	0.00706278	0.00697164	0.00679596	0.00801865	0.0190464	0.00674594	0.00656077	0.00652606	0.00652416	0.00652035	0.00650991	0.00648874	0.00644654	0.00636372	0.00661568	0.00941639	0.0062412	0.00623756	0.00623058	0.00622023	0.00620026	0.00619741	0.00627605	0.00616737	0.00616572	0.00616266	0.00615769	0.0061405	0.00614481	0.00587293	0.0056722	0.00516354	0.00445026	0.00429665	0.00428133	0.00424064	0.00415405	0.00400591	0.00381675	0.00357323	0.00310833	0.00234382	

289	0.265	1	0	task-0:0	|	0.261728	0.219883	0.195315	0.134891	0.123433	0.161413	0.0803276	0.0771956	0.0714602	0.0696454	0.0676003	0.0638754	0.0625117	0.0596855	0.0548848	0.0476705	0.0393947	0.101192	0.0392271	0.0394868	0.0367614	0.036499	0.0357591	0.0341778	0.0314964	0.0402241	0.0322061	0.0294726	0.0292906	0.0290247	0.0289026	0.0286207	0.0280927	0.0273618	0.0281406	0.0271376	0.0269522	0.0267563	0.0266178	0.0265692	0.026424	0.0261857	0.0260068	0.0256782	0.0251728	0.025071	0.0247444	0.0245384	0.0244568	0.024306	0.0239737	0.0233972	0.0241595	0.0230629	0.0228483	0.0228233	0.0227137	0.0225263	0.0223658	0.022131	0.0216487	0.0207197	0.0190755	0.0314918	0.0364346	0.0174872	0.0174189	0.0173852	0.0173623	0.0173177	0.0172491	0.0171506	0.0170423	0.0168633	0.0165244	0.0173576	0.0167621	0.0161737	0.0161497	0.0160924	0.0159678	0.0157146	0.0152328	0.0155286	0.0261389	0.0145085	0.0144793	0.014446	0.014404	0.0143722	0.0143144	0.0142078	0.0141316	0.0142584	0.0140326	0.0140097	0.0139747	0.01393	0.0139078	0.0138605	0.0137758	0.0137542	0.0137031	0.0136558	0.0136415	0.0136234	0.0135865	0.0135314	0.0134963	0.0134636	0.0134447	0.0134069	0.0133363	0.0131964	0.012927	0.0127843	0.0211539	0.0124665	0.0124511	0.0124285	0.0123938	0.0123685	0.0123157	0.0122108	0.012012	0.0133237	0.0120271	0.0118843	0.0118787	0.011865	0.011835	0.0117775	0.0116885	0.0118618	0.0116491	0.0116433	0.0116338	0.011613	0.0115704	0.0114858	0.0113238	0.0110574	0.0186726	0.0109974	0.0109886	0.0109738	0.0109486	0.0108977	0.0107967	0.0105995	0.0102248	0.00954666	0.0334749	0.0190395	0.00903695	0.0090307	0.00901835	0.00900559	0.00898285	0.00895789	0.00891741	0.00902232	0.00890966	0.00890287	0.00888999	0.00886964	0.00886493	0.00789296	0.0068276	0.00556811	0.00548015	0.00540882	0.00525287	0.00496958	0.00455468	0.00405255	0.00320155	0.00199282	
