1	0.004	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0303403	

4	0.013	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0427946	0.0493052	0.0449008	0.0239219	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0293232	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0358289	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0256471	

4	0.012	16	0	task-3:0.355	task-0:0.5	task-1:0.4	task-2:0.495	|	0.0416255	0.0497751	0.0491214	0.0312752	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0293217	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0369309	

4	0.011	16	0	task-3:0.67	task-0:0.5	task-1:0.475	task-2:0.505	|	0.0441718	0.0495207	0.0470217	0.0228993	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0281689	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.025272	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0257945	

3	0.009	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0449384	0.0482978	0.0391362	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0331655	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0233232	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.022245	

4	0.012	16	0	task-3:0.6	task-0:0.5	task-1:0.5	task-2:0.185	|	0.0430032	0.0493133	0.0482511	0.0298912	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0265194	

4	0.012	16	0	task-3:0.405	task-0:0.505	task-1:0.5	task-2:0.38	|	0.041667	0.0498197	0.0481735	0.0346679	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0274549	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0208799	

1	0.003	16	0	task-3:0.24	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0282618	

4	0.012	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0431812	0.0496559	0.0490991	0.0322477	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0292162	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0286646	

4	0.012	16	0	task-3:0.485	task-0:0.5	task-1:0.425	task-2:0.5	|	0.0414424	0.0498314	0.0494749	0.0345659	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.505	|	0.0361222	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.039702	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.03384	

1	0.003	16	0	task-3:0.5	task-0:0.5	task-1:0.5	task-2:0.495	|	0.0308585	

4	0.012	16	0	task-3:0.5	task-0:0.5	task-1:0.45	task-2:0.495	|	0.0440531	0.0498307	0.0494842	0.031087	

