3	0	0	0	task-0:0.02	|	0.274116	0.110638	0.00785114	0.000815031	

5	0	0	0	task-0:0.0075	|	0.814848	0.586782	0.0697971	0.26589	0.00896716	0.00200339	

6	0	0	0	task-0:0.0133333	|	0.829779	0.0314806	0.0292454	0.0103415	0.00592996	0.00253995	0.00132896	

5	0	0	0	task-0:0.02125	|	1.17284	0.0462133	0.123669	0.00943203	0.00586268	0.00203484	

5	0	0	0	task-0:0.002	|	1.75401	1.49991	0.211559	0.332808	0.00406227	0.00104727	

4	0	0	0	task-0:0.000833333	|	1.67635	0.503542	0.138329	0.0187223	0.0011874	

4	0	0	0	task-0:0.00928571	|	1.8736	0.252802	0.0342655	0.00612827	0.00146808	

5	0	0	0	task-0:0.016875	|	2.0108	0.615881	0.0156847	0.00569144	0.00281221	0.00222404	

3	0.016	0	0	task-0:0.02	|	2.19587	0.00764999	0.00262192	0.00194664	

5	0.015	0	0	task-0:0.0045	|	3.29212	2.77198	0.195113	0.173476	0.00615815	0.000184863	

3	0	0	0	task-0:0.0222727	|	2.15647	0.0821488	0.00634228	0.00218329	

4	0	0	0	task-0:0.0179167	|	4.87266	3.6	0.56688	0.0832399	8.50519e-005	

3	0.015	0	0	task-0:0.0165385	|	3.49729	3.89995	0.00385397	0.000904142	

4	0	0	0	task-0:0.00464286	|	3.15607	4.17654	0.0826538	0.0118319	0.000511366	

3	0	0	0	task-0:0.004	|	3.16995	0.0512918	0.00251842	0.00168749	

3	0	0	0	task-0:0.001875	|	3.49377	0.0116743	0.00269573	0.00142944	

6	0.016	0	0	task-0:0.00382353	|	7.98432	5.1	5.1	0.435457	0.151177	0.00359639	0.000173579	

4	0.015	0	0	task-0:0.00194444	|	3.35373	0.00621626	0.00511983	0.00336034	0.00143136	

4	0.015	0	0	task-0:0.00184211	|	7.58536	5.7	0.500706	0.19592	0.000706358	

7	0.016	0	0	task-0:0	|	6.49463	6	5.5862	1.19678	0.297026	0.200222	0.0980584	1.54355e-008	

5	0.016	0	0	task-0:0.00452381	|	5.27444	5.16054	0.318247	0.293298	0.119029	4.55922e-005	

3	0.016	0	0	task-0:0.00181818	|	3.83594	1.00868	0.0731781	0.00122322	

5	0.015	0	0	task-0:0.00434783	|	7.14949	1.59588	0.544052	0.116948	0.0465201	1.53729e-005	

4	0	0	0	task-0:0.004375	|	7.20428	7.19999	0.0215621	0.00667241	0.00245499	

9	0.031	0	0	task-0:0	|	4.65936	7.26098	0.206407	0.188727	0.10808	0.0316749	0.0997663	0.0896828	0.00916696	0.000520072	

8	0.031	0	0	task-0:0.00288462	|	7.16962	7.7915	0.172645	0.140021	0.108863	0.0910844	0.0260644	0.00661802	0.00226118	

7	0.031	0	0	task-0:0.00888889	|	8.53231	7.33441	0.16723	0.117688	0.138438	0.0787003	0.00756826	0.00242408	

10	0.031	0	0	task-0:0.00589286	|	7.99064	7.89165	0.127162	0.102983	0.100018	0.097293	0.0908097	0.00566341	0.0104203	0.00267441	0.00215183	

8	0.031	0	0	task-0:0.00275862	|	5.083	6.39307	0.363282	0.194316	0.189606	0.0732086	0.0414277	0.00924159	0.00186569	

8	0.031	0	0	task-0:0.006	|	8.25811	8.90017	0.269551	0.247363	0.129593	0.0971612	0.0477527	0.0324846	0.00225528	

9	0.047	0	0	task-0:0	|	9.75512	2.21129	1.04129	0.229944	0.115387	0.171233	0.054693	0.0741179	0.0868505	0.00118599	

8	0.016	0	0	task-0:0.003125	|	13.5705	9.597	0.564999	0.118041	0.111275	0.103583	0.0848218	0.0306988	3.68305e-005	

7	0.031	0	0	task-0:0	|	8.78424	1.14724	0.163327	0.185076	0.0977567	0.0391679	0.00756885	0.000584724	

8	0.031	0	0	task-0:0.00323529	|	8.74387	9.30781	0.288392	0.254686	0.199985	0.238841	0.0075186	0.0117207	0.000797644	

6	0.031	0	0	task-0:0	|	7.85154	0.44352	0.232699	0.119443	0.0115062	0.00318809	0.00187468	

6	0.016	0	0	task-0:0	|	8.21216	0.245088	0.1226	0.09091	0.0103223	0.00411788	0.00136013	

8	0.015	0	0	task-0:0	|	7.98834	11.1	0.313408	0.264991	0.145515	0.193687	0.0586615	0.0986778	5.01035e-005	

5	0.031	0	0	task-0:0	|	8.23959	0.269613	0.130995	0.109941	0.0313967	0.0016214	

9	0.047	0	0	task-0:0	|	11.5714	1.67753	0.735288	2.13633	0.12221	0.12904	0.102405	0.02841	0.00631823	0.00108993	

13	0.063	0	0	task-0:0.00325	|	13.0405	12	1.39996	0.341185	0.371098	0.298465	0.237654	0.199679	0.168222	0.208991	0.019437	0.0497585	0.00266005	0.00231875	

8	0.047	0	0	task-0:0.00207317	|	8.10275	25.1773	1.10104	0.663802	0.353641	0.185113	0.0214475	0.00584385	0.000307296	

9	0.047	0	0	task-0:0	|	12.2727	12.6	1.48435	0.304372	0.387311	0.235187	0.214606	0.00805006	0.00255858	0.00143045	

10	0.031	0	0	task-0:0	|	11.2419	12.4352	0.400442	0.397954	0.272761	0.299241	0.226283	0.289684	0.0760723	0.259228	0.000629266	

8	0.063	0	0	task-0:0	|	12.4239	13.2	4.70719	0.462572	0.470821	0.212239	0.100988	0.00283455	0.00158984	

8	0.047	0	0	task-0:0	|	7.0739	5.05195	0.262771	0.31589	0.106582	0.107731	0.0898749	0.0025847	0.000525408	

6	0.015	0	0	task-0:0	|	17.932	13.8	13.8	1.11066	0.6	0.581135	2.7846e-006	

8	0.047	0	0	task-0:0	|	16.0375	14.1	11.3486	3.0611	1.01457	0.513251	0.206764	0.297813	2.47666e-009	

10	0.078	0	0	task-0:0	|	13.6918	14.4	3.32782	0.300015	0.344948	0.226191	0.222442	0.0098419	0.00684879	0.00320892	0.00139293	

9	0.031	0	0	task-0:0	|	18.7114	14.7	14.7	1.96883	0.600001	0.595427	0.158268	0.452703	0.276208	3.20765e-008	

8	0.047	0	0	task-0:0	|	10.693	14.9999	0.483904	0.310339	0.294651	0.232033	0.0977367	0.00394	0.00148092	

8	0.062	0	0	task-0:0	|	10.342	15.3	1.02829	0.30169	0.18148	0.137565	0.0225591	0.00427964	0.000519156	

8	0.047	0	0	task-0:0	|	10.8455	1.66182	0.400689	0.409605	0.176657	0.0775006	0.00919325	0.00403001	0.00144116	

12	0.093	0	0	task-0:0	|	20.8453	15.9	1.79998	0.989437	0.59998	0.518906	0.361281	0.289649	0.390629	0.0331677	0.202767	0.00437491	0.00110957	

4	0.016	0	0	task-0:0	|	13.403	5.87563	0.306219	0.28748	0.000111779	

8	0.047	0	0	task-0:0	|	15.9377	16.5	13.5581	3.94185	1.48946	0.799997	0.0354425	0.299947	3.16489e-006	

7	0.031	0	0	task-0:0	|	16.3532	16.6994	0.600243	0.543966	0.477683	0.163719	0.200606	0.000219171	

6	0.031	0	0	task-0:0	|	19.6656	17.1	17.1	1.65126	0.799998	0.600018	1.5137e-009	

8	0.062	0	0	task-0:0	|	11.6439	17.4	3.97552	0.701601	0.466151	0.297796	0.0954418	0.0699979	6.0862e-005	

10	0.062	0	0	task-0:0	|	14.8181	17.7	1.91036	0.300886	0.42204	0.158338	0.276287	0.0816694	0.130728	0.0238331	0.000433101	

9	0.078	0	0	task-0:0	|	14.4945	18	16.9218	9.74492	0.799387	0.600055	0.226519	0.3	0.296613	0	

