2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.098901	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.309142	0.03	

2	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.103174	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.104565	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.102347	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.104777	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.103047	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.105386	0.03	

2	0.032	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.100528	0.03	

2	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.105635	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0945019	0.03	

2	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.102538	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.10358	0.03	

2	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.104094	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.106141	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.107065	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.0986136	0.03	

2	0.032	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.098737	0.03	

1	0	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299558	

1	0	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299551	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299547	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299548	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299553	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299545	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299557	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.029955	

1	0	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.029955	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299557	

1	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.0299545	

1	0.015	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.965	|	0.029956	

