2	0.015	24	0	task-3:0.95	task-0:0.195	task-1:0.775	task-2:0.035	|	0.190465	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.351981	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0589339	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0588172	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0581865	0.03	

2	0.016	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0603036	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0594427	0.03	

2	0.016	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0597548	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.060922	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0603672	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0611618	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0594667	0.03	

2	0.016	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0587459	0.03	

2	0.016	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0585915	0.03	

2	0.016	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0588568	0.03	

2	0.016	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.058424	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.058782	0.03	

2	0.016	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.060243	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0590074	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0592048	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0591907	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0591123	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0609207	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0597926	0.03	

2	0	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0590806	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0610972	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0588773	0.03	

2	0.016	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.058706	0.03	

2	0.015	24	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.0606581	0.03	

