1	0.015	32	0	task-3:0.5	task-0:0.495	task-1:0.505	task-2:0.495	|	0.0252333	

1	0	32	0	task-3:0.5	task-0:0.495	task-1:0.505	task-2:0.495	|	0.0378847	

2	0.015	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0451658	0.0399999	

2	0.016	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0446381	0.0399999	

2	0.016	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0453827	0.0399999	

2	0.016	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0449063	0.0399999	

2	0.016	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0447796	0.0399999	

2	0.015	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0450326	0.0399999	

2	0.016	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0445061	0.0399999	

2	0.016	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.045143	0.0399999	

2	0.031	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.044888	0.0399999	

2	0.016	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0446175	0.0399999	

2	0	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0452531	0.0399999	

2	0	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0453525	0.0399999	

2	0.016	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.045572	0.0399999	

2	0.015	32	0	task-3:0.5	task-0:0.495	task-1:0.495	task-2:0.505	|	0.0445945	0.0399999	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0362621	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.035982	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0358703	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0360674	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0355312	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0360675	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0359377	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361868	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0359464	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361477	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0363615	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0363683	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0358457	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0359147	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0360575	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0363019	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361159	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0357809	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.035877	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.035987	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361087	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361214	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0360871	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0359442	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0359134	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361512	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0358799	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0357814	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.036068	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0359379	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361867	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0360948	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0363506	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0357139	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0358418	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361166	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0356146	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0361709	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0357986	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0359093	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0356174	

1	0	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0358641	

1	0.016	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0356618	

1	0.015	32	0	task-3:0.5	task-0:0.505	task-1:0.495	task-2:0.505	|	0.0357571	

