135	0.125	1	task-3:0.13	task-0:0.094	task-1:0.188	task-2:0.136	|	0.0893227	0.0838698	0.0779459	0.0775922	0.0767794	0.0751642	0.0724965	0.0720433	0.0982136	0.0693841	0.0692657	0.0691661	0.0689981	0.0687416	0.0685373	0.06855	0.0683367	0.0682779	0.068183	0.0680655	0.0679796	0.0678926	0.0677149	0.0673798	0.066814	0.0678699	0.0780071	0.0662839	0.0662707	0.0662377	0.0661765	0.0661155	0.0660647	0.0660372	0.0659823	0.0658891	0.0658881	0.0659457	0.0657959	0.0657901	0.0649739	0.0643536	0.0626523	0.0592507	0.0540202	0.050003	0.0486241	0.0469595	0.0453682	0.0433479	0.040617	0.0397617	0.0383337	0.0371395	0.0366562	0.0358289	0.0351268	0.034315	0.0333852	0.0320153	0.0307219	0.0295223	0.0276581	0.0260594	0.0252156	0.0240629	0.0231151	0.0223127	0.0212881	0.0196025	0.0189267	0.0180892	0.0175827	0.0171015	0.0165517	0.0158081	0.0155334	0.0150971	0.0145331	0.0136524	0.012876	0.0151675	0.0125159	0.0124581	0.0123341	0.0121141	0.0117054	0.0110469	0.0112891	0.010754	0.0106387	0.0104708	

114	0.078	1	task-3:0.058	task-0:0.08	task-1:0.184	task-2:0.134	|	0.0760741	0.0747851	0.0734561	0.0733138	0.0729617	0.0722287	0.0709151	0.0702831	0.0786886	0.0692218	0.0691398	0.0689582	0.0685952	0.0679358	0.0668956	0.0737038	0.0737717	0.0663043	0.0661795	0.0661515	0.0661018	0.0660451	0.0659497	0.0658237	0.0668657	0.0657809	0.0657593	0.0657523	0.0657354	0.0657005	0.0648747	0.0644448	0.0628386	0.0602888	0.0575495	0.0555933	0.0528943	0.0495556	0.0469983	0.0453342	0.0442113	0.0427239	0.0406838	0.0385482	0.0375403	0.0370876	0.0363105	0.0357402	0.0351747	0.0343897	0.0339195	0.0331234	0.0316745	0.0298591	0.0263828	0.021316	0.0191918	0.0436841	0.0154582	0.0148107	0.0145481	0.0141621	0.0137175	0.0130564	0.0126191	0.0121476	0.0117746	0.0114307	0.0110317	0.0104083	0.00947011	

114	0.125	1	task-3:0.058	task-0:0.08	task-1:0.184	task-2:0.134	|	0.0760741	0.0747851	0.0734561	0.0733138	0.0729617	0.0722287	0.0709151	0.0702831	0.0786886	0.0692218	0.0691398	0.0689582	0.0685952	0.0679358	0.0668956	0.0737038	0.0737717	0.0663043	0.0661795	0.0661515	0.0661018	0.0660451	0.0659497	0.0658237	0.0668657	0.0657809	0.0657593	0.0657523	0.0657354	0.0657005	0.0648747	0.0644448	0.0628386	0.0602888	0.0575495	0.0555933	0.0528943	0.0495556	0.0469983	0.0453342	0.0442113	0.0427239	0.0406838	0.0385482	0.0375403	0.0370876	0.0363105	0.0357402	0.0351747	0.0343897	0.0339195	0.0331234	0.0316745	0.0298591	0.0263828	0.021316	0.0191918	0.0436841	0.0154582	0.0148107	0.0145481	0.0141621	0.0137175	0.0130564	0.0126191	0.0121476	0.0117746	0.0114307	0.0110317	0.0104083	0.00947011	

114	0.141	1	task-3:0.058	task-0:0.08	task-1:0.184	task-2:0.134	|	0.0760741	0.0747851	0.0734561	0.0733138	0.0729617	0.0722287	0.0709151	0.0702831	0.0786886	0.0692218	0.0691398	0.0689582	0.0685952	0.0679358	0.0668956	0.0737038	0.0737717	0.0663043	0.0661795	0.0661515	0.0661018	0.0660451	0.0659497	0.0658237	0.0668657	0.0657809	0.0657593	0.0657523	0.0657354	0.0657005	0.0648747	0.0644448	0.0628386	0.0602888	0.0575495	0.0555933	0.0528943	0.0495556	0.0469983	0.0453342	0.0442113	0.0427239	0.0406838	0.0385482	0.0375403	0.0370876	0.0363105	0.0357402	0.0351747	0.0343897	0.0339195	0.0331234	0.0316745	0.0298591	0.0263828	0.021316	0.0191918	0.0436841	0.0154582	0.0148107	0.0145481	0.0141621	0.0137175	0.0130564	0.0126191	0.0121476	0.0117746	0.0114307	0.0110317	0.0104083	0.00947011	

114	0.109	1	task-3:0.058	task-0:0.08	task-1:0.184	task-2:0.134	|	0.0760741	0.0747851	0.0734561	0.0733138	0.0729617	0.0722287	0.0709151	0.0702831	0.0786886	0.0692218	0.0691398	0.0689582	0.0685952	0.0679358	0.0668956	0.0737038	0.0737717	0.0663043	0.0661795	0.0661515	0.0661018	0.0660451	0.0659497	0.0658237	0.0668657	0.0657809	0.0657593	0.0657523	0.0657354	0.0657005	0.0648747	0.0644448	0.0628386	0.0602888	0.0575495	0.0555933	0.0528943	0.0495556	0.0469983	0.0453342	0.0442113	0.0427239	0.0406838	0.0385482	0.0375403	0.0370876	0.0363105	0.0357402	0.0351747	0.0343897	0.0339195	0.0331234	0.0316745	0.0298591	0.0263828	0.021316	0.0191918	0.0436841	0.0154582	0.0148107	0.0145481	0.0141621	0.0137175	0.0130564	0.0126191	0.0121476	0.0117746	0.0114307	0.0110317	0.0104083	0.00947011	

114	0.109	1	task-3:0.058	task-0:0.08	task-1:0.184	task-2:0.134	|	0.0760741	0.0747851	0.0734561	0.0733138	0.0729617	0.0722287	0.0709151	0.0702831	0.0786886	0.0692218	0.0691398	0.0689582	0.0685952	0.0679358	0.0668956	0.0737038	0.0737717	0.0663043	0.0661795	0.0661515	0.0661018	0.0660451	0.0659497	0.0658237	0.0668657	0.0657809	0.0657593	0.0657523	0.0657354	0.0657005	0.0648747	0.0644448	0.0628386	0.0602888	0.0575495	0.0555933	0.0528943	0.0495556	0.0469983	0.0453342	0.0442113	0.0427239	0.0406838	0.0385482	0.0375403	0.0370876	0.0363105	0.0357402	0.0351747	0.0343897	0.0339195	0.0331234	0.0316745	0.0298591	0.0263828	0.021316	0.0191918	0.0436841	0.0154582	0.0148107	0.0145481	0.0141621	0.0137175	0.0130564	0.0126191	0.0121476	0.0117746	0.0114307	0.0110317	0.0104083	0.00947011	
