132	0.094	1	task-3:0.06	task-0:0.064	task-1:0.144	task-2:0.16	|	0.0791096	0.0788058	0.0782586	0.0780001	0.0775933	0.076942	0.0763152	0.0749938	0.072612	0.0711465	0.091607	0.0711372	0.086735	0.0691645	0.0690769	0.0688915	0.0685452	0.0685843	0.0683709	0.0681448	0.0681075	0.0680356	0.0678834	0.0675925	0.0671971	0.0702576	0.0670945	0.0670699	0.0670194	0.0669461	0.0668108	0.0668797	0.0667315	0.0666866	0.0666786	0.0666641	0.0666368	0.0666057	0.0665395	0.0658061	0.0654605	0.0640143	0.0615915	0.0584219	0.0563589	0.0540468	0.0527962	0.0509208	0.048696	0.0467984	0.0446718	0.04454	0.0428254	0.0417572	0.0413975	0.0407654	0.0395001	0.0375439	0.0364078	0.0351896	0.034606	0.0335757	0.0316741	0.030075	0.0297542	0.0279974	0.0274905	0.0265704	0.0251857	0.0232398	0.0262066	0.0233011	0.0206886	0.0205046	0.0202074	0.0199681	0.0197224	0.0194007	0.0191701	0.0188358	0.0185282	0.0182309	0.0176285	0.0164756	0.0150836	0.0191483	0.0145549	0.0144425	0.014282	0.0141601	0.0140451	0.0138098	0.0133988	0.0127104	0.0127136	

128	0.078	1	task-3:0.046	task-0:0.098	task-1:0.21	task-2:0.122	|	0.0765686	0.0762628	0.0756657	0.0751076	0.0747216	0.0740502	0.0734403	0.0728528	0.0725083	0.0722281	0.0720397	0.0716777	0.0713666	0.0711538	0.0709779	0.0706999	0.0701462	0.0697923	0.0701359	0.0692923	0.0691941	0.0690542	0.0688314	0.0685922	0.0684762	0.0683625	0.0682857	0.0682505	0.068216	0.068158	0.0681076	0.0680047	0.0678113	0.067688	0.0677591	0.0675401	0.0675024	0.0674373	0.066378	0.0655535	0.0633762	0.0590819	0.0526555	0.0480701	0.046354	0.0458327	0.0448854	0.0428494	0.0390057	0.034922	0.0367983	0.0328235	0.0298195	0.02884	0.0281691	0.0274347	0.0263686	0.0253758	0.0236647	0.022146	0.0266513	0.0209468	0.0205664	0.0200104	0.0192861	0.0186749	0.0177516	0.0160381	0.0135135	0.0274103	0.0124923	0.012037	0.011984	0.0118722	0.0117239	0.0115486	

128	0.062	1	task-3:0.046	task-0:0.098	task-1:0.21	task-2:0.122	|	0.0765686	0.0762628	0.0756657	0.0751076	0.0747216	0.0740502	0.0734403	0.0728528	0.0725083	0.0722281	0.0720397	0.0716777	0.0713666	0.0711538	0.0709779	0.0706999	0.0701462	0.0697923	0.0701359	0.0692923	0.0691941	0.0690542	0.0688314	0.0685922	0.0684762	0.0683625	0.0682857	0.0682505	0.068216	0.068158	0.0681076	0.0680047	0.0678113	0.067688	0.0677591	0.0675401	0.0675024	0.0674373	0.066378	0.0655535	0.0633762	0.0590819	0.0526555	0.0480701	0.046354	0.0458327	0.0448854	0.0428494	0.0390057	0.034922	0.0367983	0.0328235	0.0298195	0.02884	0.0281691	0.0274347	0.0263686	0.0253758	0.0236647	0.022146	0.0266513	0.0209468	0.0205664	0.0200104	0.0192861	0.0186749	0.0177516	0.0160381	0.0135135	0.0274103	0.0124923	0.012037	0.011984	0.0118722	0.0117239	0.0115486	

164	0.094	1	task-3:0.064	task-0:0.056	task-1:0.144	task-2:0.138	|	0.0765686	0.0762628	0.0756657	0.0751076	0.0747216	0.0740502	0.0734403	0.0728528	0.0725083	0.0722281	0.0720397	0.0716777	0.0713666	0.0711538	0.0709779	0.0706999	0.0701462	0.0697923	0.0701359	0.0692923	0.0691941	0.0690542	0.0688314	0.0685922	0.0684762	0.0683625	0.0682857	0.0682505	0.068216	0.068158	0.0681076	0.0680047	0.0678113	0.067688	0.0677591	0.0675401	0.0675024	0.0674373	0.0666469	0.0660853	0.0646272	0.0619315	0.0584043	0.0560446	0.0533573	0.0515522	0.049102	0.0471405	0.0453817	0.0434709	0.0422433	0.041018	0.0399713	0.0395378	0.0389171	0.0376741	0.0359026	0.0331051	0.0398406	0.031703	0.0311635	0.0304903	0.0297739	0.0294329	0.0288844	0.0279145	0.0269418	0.025371	0.0263802	0.024311	0.0240632	0.0235355	0.0226445	0.022301	0.0278583	0.0209154	0.0206291	0.0201831	0.0196815	0.019419	0.0189266	0.0180668	0.0172866	0.0171678	0.0166335	0.0164742	0.0161699	0.0157225	0.0153362	0.0150218	0.0149079	0.0147007	0.0145875	0.0144444	0.0143189	0.014155	0.0139034	0.0135398	0.0132416	0.0131806	0.0130747	0.0129488	0.0128367	0.0127131	0.0125529	0.0124059	0.0121435	0.0116695	0.0117702	0.0116147	0.0111707	0.0111559	0.0111247	0.0110709	0.0109833	0.0109182	0.0108237	0.0107686	0.0106856	0.0106116	0.0104656	0.0102754	0.0102053	0.010196	0.0101635	0.0100992	0.0100144	0.00989427	

128	0.078	1	task-3:0.046	task-0:0.098	task-1:0.21	task-2:0.122	|	0.0765686	0.0762628	0.0756657	0.0751076	0.0747216	0.0740502	0.0734403	0.0728528	0.0725083	0.0722281	0.0720397	0.0716777	0.0713666	0.0711538	0.0709779	0.0706999	0.0701462	0.0697923	0.0701359	0.0692923	0.0691941	0.0690542	0.0688314	0.0685922	0.0684762	0.0683625	0.0682857	0.0682505	0.068216	0.068158	0.0681076	0.0680047	0.0678113	0.067688	0.0677591	0.0675401	0.0675024	0.0674373	0.066378	0.0655535	0.0633762	0.0590819	0.0526555	0.0480701	0.046354	0.0458327	0.0448854	0.0428494	0.0390057	0.034922	0.0367983	0.0328235	0.0298195	0.02884	0.0281691	0.0274347	0.0263686	0.0253758	0.0236647	0.022146	0.0266513	0.0209468	0.0205664	0.0200104	0.0192861	0.0186749	0.0177516	0.0160381	0.0135135	0.0274103	0.0124923	0.012037	0.011984	0.0118722	0.0117239	0.0115486	

128	0.063	1	task-3:0.046	task-0:0.098	task-1:0.21	task-2:0.122	|	0.0765686	0.0762628	0.0756657	0.0751076	0.0747216	0.0740502	0.0734403	0.0728528	0.0725083	0.0722281	0.0720397	0.0716777	0.0713666	0.0711538	0.0709779	0.0706999	0.0701462	0.0697923	0.0701359	0.0692923	0.0691941	0.0690542	0.0688314	0.0685922	0.0684762	0.0683625	0.0682857	0.0682505	0.068216	0.068158	0.0681076	0.0680047	0.0678113	0.067688	0.0677591	0.0675401	0.0675024	0.0674373	0.066378	0.0655535	0.0633762	0.0590819	0.0526555	0.0480701	0.046354	0.0458327	0.0448854	0.0428494	0.0390057	0.034922	0.0367983	0.0328235	0.0298195	0.02884	0.0281691	0.0274347	0.0263686	0.0253758	0.0236647	0.022146	0.0266513	0.0209468	0.0205664	0.0200104	0.0192861	0.0186749	0.0177516	0.0160381	0.0135135	0.0274103	0.0124923	0.012037	0.011984	0.0118722	0.0117239	0.0115486	
