266	0.047	2	task-0:0.27	|	0.247943	0.244081	0.242898	0.240772	0.240004	0.238326	0.238156	0.237477	0.236056	0.234132	0.239088	0.233873	0.233727	0.23361	0.233394	0.233185	0.232982	0.232898	0.232793	0.232714	0.232565	0.232265	0.232559	0.232812	0.231918	0.231886	0.23184	0.231782	0.231676	0.231492	0.232564	0.232286	0.2311	0.230261	0.224524	0.22318	0.219599	0.211146	0.197545	0.3531	0.195718	0.196242	0.194177	0.1936	0.192529	0.192106	0.191348	0.190336	0.189858	0.18952	0.188402	0.187926	0.186998	0.186415	0.185732	0.185096	0.184265	0.184031	0.183085	0.182253	0.181283	0.180994	0.18008	0.17896	0.177932	0.177075	0.17699	0.176416	0.176212	0.175421	0.174735	0.173987	0.173802	0.173043	0.172028	0.170949	0.170475	0.170065	0.169537	0.168894	0.167764	0.166448	0.16778	0.165373	0.164937	0.164174	0.163021	0.163737	0.162327	0.161485	0.161269	0.160884	0.160765	0.160309	0.15992	0.159539	0.159425	0.159069	0.158662	0.157776	0.158356	0.157385	0.157103	0.15685	0.156473	0.155591	0.154903	0.158185	0.154073	0.153862	0.1534	0.152459	0.150516	0.146846	0.142173	0.371701	0.142059	0.149606	0.140757	0.14068	0.140586	0.140543	0.140384	0.140143	0.140142	0.139965	0.139812	0.139759	0.139677	0.139653	0.13956	0.128957	0.11846	0.116875	0.113622	0.111051	0.105127	0.102822	0.0981614	0.0947823	0.0930752	0.0906313	0.0883914	0.0848757	0.0801297	0.0830893	0.0769432	0.0755592	0.0741455	0.0726176	0.0689313	0.0622572	0.05142	0.127581	0.102647	0.0457475	0.0446178	0.0435951	

235	0.031	2	task-0:0.208	|	0.237408	0.2351	0.234611	0.234378	0.23394	0.233802	0.233471	0.2329	0.232812	0.233898	0.23236	0.232306	0.232211	0.232014	0.231767	0.234062	0.231739	0.231728	0.2317	0.231631	0.231502	0.231355	0.233719	0.231495	0.237784	0.224194	0.222925	0.219263	0.210765	0.195278	0.278774	0.189765	0.196354	0.184935	0.184499	0.183882	0.183208	0.182143	0.18036	0.178368	0.184203	0.176797	0.17625	0.175629	0.175403	0.174503	0.173822	0.173163	0.172792	0.172322	0.171835	0.171758	0.171392	0.170807	0.169565	0.169916	0.168519	0.167712	0.16744	0.166986	0.166571	0.16644	0.165926	0.165486	0.165058	0.164981	0.164646	0.16438	0.163577	0.162938	0.164202	0.162147	0.161872	0.161336	0.160446	0.160474	0.160637	0.159064	0.158854	0.158577	0.158412	0.158119	0.157899	0.157742	0.157548	0.157307	0.157225	0.156881	0.156557	0.156302	0.156219	0.142554	0.130334	0.129026	0.125971	0.121882	0.112837	0.11252	0.117412	0.0985913	0.0964081	0.0908011	0.0801364	0.0883848	0.0977651	0.0681164	0.0670253	0.0642228	0.0619984	0.067015	0.0595752	0.0589002	0.0575059	0.0544762	0.0532603	0.06814	0.0494584	0.0490134	0.0478329	0.0453294	0.0433306	0.0658036	0.0410447	0.0407473	0.0399737	0.0383129	

238	0.031	2	task-0:0.2	|	0.237408	0.2351	0.234611	0.234378	0.23394	0.233802	0.233471	0.2329	0.232812	0.233898	0.23236	0.232306	0.232211	0.232014	0.231767	0.234062	0.231739	0.231728	0.2317	0.231631	0.231502	0.231355	0.233719	0.231495	0.237784	0.224194	0.222925	0.219263	0.210765	0.195278	0.278774	0.189765	0.196354	0.184935	0.184499	0.183882	0.183208	0.182143	0.18036	0.178368	0.184203	0.176797	0.17625	0.175629	0.175403	0.174503	0.173822	0.173163	0.172792	0.172322	0.171835	0.171758	0.171392	0.170807	0.169565	0.169916	0.168519	0.167712	0.16744	0.166986	0.166571	0.16644	0.165926	0.165486	0.165058	0.164981	0.164646	0.16438	0.163577	0.162938	0.164202	0.162147	0.161872	0.161336	0.160446	0.160474	0.160637	0.159064	0.158854	0.158577	0.158412	0.158119	0.157899	0.157742	0.157548	0.157307	0.157225	0.156881	0.156557	0.156302	0.156219	0.142173	0.129518	0.128211	0.12513	0.120421	0.112046	0.0975358	0.0789331	0.13948	0.0772602	0.0684264	0.0621851	0.0613446	0.0601849	0.0591436	0.0578534	0.0568623	0.0559322	0.0542271	0.0508699	0.0479252	0.0782859	0.0445477	0.0447219	0.0436197	0.043274	0.0426121	0.0411431	0.0399009	0.0454981	0.0385923	

235	0.031	2	task-0:0.208	|	0.237408	0.2351	0.234611	0.234378	0.23394	0.233802	0.233471	0.2329	0.232812	0.233898	0.23236	0.232306	0.232211	0.232014	0.231767	0.234062	0.231739	0.231728	0.2317	0.231631	0.231502	0.231355	0.233719	0.231495	0.237784	0.224194	0.222925	0.219263	0.210765	0.195278	0.278774	0.189765	0.196354	0.184935	0.184499	0.183882	0.183208	0.182143	0.18036	0.178368	0.184203	0.176797	0.17625	0.175629	0.175403	0.174503	0.173822	0.173163	0.172792	0.172322	0.171835	0.171758	0.171392	0.170807	0.169565	0.169916	0.168519	0.167712	0.16744	0.166986	0.166571	0.16644	0.165926	0.165486	0.165058	0.164981	0.164646	0.16438	0.163577	0.162938	0.164202	0.162147	0.161872	0.161336	0.160446	0.160474	0.160637	0.159064	0.158854	0.158577	0.158412	0.158119	0.157899	0.157742	0.157548	0.157307	0.157225	0.156881	0.156557	0.156302	0.156219	0.142554	0.130334	0.129026	0.125971	0.121882	0.112837	0.11252	0.117412	0.0985913	0.0964081	0.0908011	0.0801364	0.0883848	0.0977651	0.0681164	0.0670253	0.0642228	0.0619984	0.067015	0.0595752	0.0589002	0.0575059	0.0544762	0.0532603	0.06814	0.0494584	0.0490134	0.0478329	0.0453294	0.0433306	0.0658036	0.0410447	0.0407473	0.0399737	0.0383129	

235	0.031	2	task-0:0.208	|	0.237408	0.2351	0.234611	0.234378	0.23394	0.233802	0.233471	0.2329	0.232812	0.233898	0.23236	0.232306	0.232211	0.232014	0.231767	0.234062	0.231739	0.231728	0.2317	0.231631	0.231502	0.231355	0.233719	0.231495	0.237784	0.224194	0.222925	0.219263	0.210765	0.195278	0.278774	0.189765	0.196354	0.184935	0.184499	0.183882	0.183208	0.182143	0.18036	0.178368	0.184203	0.176797	0.17625	0.175629	0.175403	0.174503	0.173822	0.173163	0.172792	0.172322	0.171835	0.171758	0.171392	0.170807	0.169565	0.169916	0.168519	0.167712	0.16744	0.166986	0.166571	0.16644	0.165926	0.165486	0.165058	0.164981	0.164646	0.16438	0.163577	0.162938	0.164202	0.162147	0.161872	0.161336	0.160446	0.160474	0.160637	0.159064	0.158854	0.158577	0.158412	0.158119	0.157899	0.157742	0.157548	0.157307	0.157225	0.156881	0.156557	0.156302	0.156219	0.142554	0.130334	0.129026	0.125971	0.121882	0.112837	0.11252	0.117412	0.0985913	0.0964081	0.0908011	0.0801364	0.0883848	0.0977651	0.0681164	0.0670253	0.0642228	0.0619984	0.067015	0.0595752	0.0589002	0.0575059	0.0544762	0.0532603	0.06814	0.0494584	0.0490134	0.0478329	0.0453294	0.0433306	0.0658036	0.0410447	0.0407473	0.0399737	0.0383129	

238	0.047	2	task-0:0.2	|	0.237408	0.2351	0.234611	0.234378	0.23394	0.233802	0.233471	0.2329	0.232812	0.233898	0.23236	0.232306	0.232211	0.232014	0.231767	0.234062	0.231739	0.231728	0.2317	0.231631	0.231502	0.231355	0.233719	0.231495	0.237784	0.224194	0.222925	0.219263	0.210765	0.195278	0.278774	0.189765	0.196354	0.184935	0.184499	0.183882	0.183208	0.182143	0.18036	0.178368	0.184203	0.176797	0.17625	0.175629	0.175403	0.174503	0.173822	0.173163	0.172792	0.172322	0.171835	0.171758	0.171392	0.170807	0.169565	0.169916	0.168519	0.167712	0.16744	0.166986	0.166571	0.16644	0.165926	0.165486	0.165058	0.164981	0.164646	0.16438	0.163577	0.162938	0.164202	0.162147	0.161872	0.161336	0.160446	0.160474	0.160637	0.159064	0.158854	0.158577	0.158412	0.158119	0.157899	0.157742	0.157548	0.157307	0.157225	0.156881	0.156557	0.156302	0.156219	0.142173	0.129518	0.128211	0.12513	0.120421	0.112046	0.0975358	0.0789331	0.13948	0.0772602	0.0684264	0.0621851	0.0613446	0.0601849	0.0591436	0.0578534	0.0568623	0.0559322	0.0542271	0.0508699	0.0479252	0.0782859	0.0445477	0.0447219	0.0436197	0.043274	0.0426121	0.0411431	0.0399009	0.0454981	0.0385923	
