142	0.016	2	task-0:0.244	|	0.242172	0.227314	0.22642	0.224919	0.222946	0.221116	0.219499	0.218003	0.217185	0.216012	0.215567	0.215046	0.214595	0.214132	0.213353	0.212479	0.210685	0.208066	0.221903	0.20737	0.20725	0.206943	0.206345	0.206316	0.205954	0.205561	0.205512	0.20538	0.205092	0.204905	0.204938	0.204814	0.184206	0.178561	0.168962	0.160747	0.156145	0.147842	0.133366	0.120672	0.120096	0.111043	0.109471	0.106527	0.106664	0.104728	0.102454	0.100934	0.0988724	0.0957968	0.0940328	0.0963108	0.0922921	0.0918357	0.0911055	0.0895093	0.0879292	0.085741	0.0863913	0.0863127	0.0860062	0.0856135	0.0849532	0.0840194	0.0842139	0.0839155	0.0836243	0.0834275	0.0830606	0.0823289	0.0825024	0.08212	0.0821734	0.0821149	0.0819829	0.0816928	0.0814435	0.0809184	0.0811202	0.0811041	0.0810656	0.0810094	0.0640894	0.0512612	0.0477229	

640	0.078	4	task-0:0.162	|	0.224221	0.220858	0.220033	0.218782	0.217894	0.216854	0.216442	0.21578	0.215505	0.214832	0.214511	0.213975	0.21338	0.212481	0.211935	0.211902	0.211511	0.211187	0.210778	0.210396	0.209564	0.209322	0.209196	0.208961	0.208678	0.20837	0.208142	0.207978	0.207742	0.207569	0.207146	0.206723	0.206792	0.204436	0.202965	0.201695	0.200947	0.199122	0.196253	0.195196	0.195261	0.192833	0.192499	0.191626	0.190362	0.191381	0.190165	0.190015	0.189626	0.189012	0.188106	0.188937	0.187978	0.187861	0.187658	0.187246	0.186604	0.189295	0.186539	0.18652	0.186519	0.186567	0.186692	0.181379	0.174717	0.168972	0.166589	0.164201	0.159645	0.15815	0.154564	0.152826	0.150223	0.14909	0.148027	0.146641	0.144975	0.141046	0.141461	0.137876	0.136718	0.135202	0.134011	0.132696	0.131956	0.130058	0.129307	0.128754	0.127929	0.12697	0.126169	0.12477	0.123458	0.122873	0.122384	0.121456	0.120632	0.119833	0.119526	0.119061	0.118424	0.118292	0.117782	0.117194	0.117032	0.116633	0.116105	0.115942	0.11562	0.115134	0.114945	0.114382	0.113806	0.113771	0.113391	0.112927	0.112641	0.11214	0.111552	0.111618	0.111286	0.11094	0.110682	0.109994	0.109459	0.109531	0.10923	0.108894	0.10869	0.108175	0.107759	0.10778	0.107511	0.107225	0.107181	0.106935	0.106688	0.106639	0.10644	0.106223	0.106158	0.105907	0.105619	0.121849	0.109802	0.134817	0.104613	0.104477	0.104271	0.104065	0.104013	0.103836	0.10371	0.103654	0.103515	0.103312	0.10325	0.103084	0.102894	0.0822458	0.0781216	0.0629744	0.0571457	0.0462124	

640	0.078	4	task-0:0.162	|	0.224221	0.220858	0.220033	0.218782	0.217894	0.216854	0.216442	0.21578	0.215505	0.214832	0.214511	0.213975	0.21338	0.212481	0.211935	0.211902	0.211511	0.211187	0.210778	0.210396	0.209564	0.209322	0.209196	0.208961	0.208678	0.20837	0.208142	0.207978	0.207742	0.207569	0.207146	0.206723	0.206792	0.204436	0.202965	0.201695	0.200947	0.199122	0.196253	0.195196	0.195261	0.192833	0.192499	0.191626	0.190362	0.191381	0.190165	0.190015	0.189626	0.189012	0.188106	0.188937	0.187978	0.187861	0.187658	0.187246	0.186604	0.189295	0.186539	0.18652	0.186519	0.186567	0.186692	0.181379	0.174717	0.168972	0.166589	0.164201	0.159645	0.15815	0.154564	0.152826	0.150223	0.14909	0.148027	0.146641	0.144975	0.141046	0.141461	0.137876	0.136718	0.135202	0.134011	0.132696	0.131956	0.130058	0.129307	0.128754	0.127929	0.12697	0.126169	0.12477	0.123458	0.122873	0.122384	0.121456	0.120632	0.119833	0.119526	0.119061	0.118424	0.118292	0.117782	0.117194	0.117032	0.116633	0.116105	0.115942	0.11562	0.115134	0.114945	0.114382	0.113806	0.113771	0.113391	0.112927	0.112641	0.11214	0.111552	0.111618	0.111286	0.11094	0.110682	0.109994	0.109459	0.109531	0.10923	0.108894	0.10869	0.108175	0.107759	0.10778	0.107511	0.107225	0.107181	0.106935	0.106688	0.106639	0.10644	0.106223	0.106158	0.105907	0.105619	0.121849	0.109802	0.134817	0.104613	0.104477	0.104271	0.104065	0.104013	0.103836	0.10371	0.103654	0.103515	0.103312	0.10325	0.103084	0.102894	0.0822458	0.0781216	0.0629744	0.0571457	0.0462124	

134	0	2	task-0:0.26	|	0.302071	0.221961	0.220602	0.219758	0.218705	0.217488	0.216109	0.213385	0.212375	0.229583	0.209505	0.209297	0.209063	0.208741	0.208304	0.207433	0.20673	0.205887	0.209825	0.205797	0.205783	0.205709	0.205532	0.183768	0.177122	0.168678	0.159873	0.15572	0.146711	0.131832	0.113825	0.127777	0.106985	0.105521	0.103064	0.102205	0.101102	0.0992623	0.0979934	0.0963283	0.0933935	0.0890055	0.0958269	0.0883979	0.0881092	0.0874285	0.08614	0.0862953	0.087137	0.0833862	0.0832234	0.082826	0.0825287	0.082405	0.0822229	0.081855	0.0819695	0.0819433	0.081711	0.0814092	0.0812217	0.0811499	0.0810985	0.080988	0.080855	0.0808192	0.080851	0.080782	0.0807675	0.0807399	0.0806792	0.0632763	0.052563	0.0476425	

134	0.016	2	task-0:0.26	|	0.302071	0.221961	0.220602	0.219758	0.218705	0.217488	0.216109	0.213385	0.212375	0.229583	0.209505	0.209297	0.209063	0.208741	0.208304	0.207433	0.20673	0.205887	0.209825	0.205797	0.205783	0.205709	0.205532	0.183768	0.177122	0.168678	0.159873	0.15572	0.146711	0.131832	0.113825	0.127777	0.106985	0.105521	0.103064	0.102205	0.101102	0.0992623	0.0979934	0.0963283	0.0933935	0.0890055	0.0958269	0.0883979	0.0881092	0.0874285	0.08614	0.0862953	0.087137	0.0833862	0.0832234	0.082826	0.0825287	0.082405	0.0822229	0.081855	0.0819695	0.0819433	0.081711	0.0814092	0.0812217	0.0811499	0.0810985	0.080988	0.080855	0.0808192	0.080851	0.080782	0.0807675	0.0807399	0.0806792	0.0632763	0.052563	0.0476425	

134	0.015	2	task-0:0.26	|	0.302071	0.221961	0.220602	0.219758	0.218705	0.217488	0.216109	0.213385	0.212375	0.229583	0.209505	0.209297	0.209063	0.208741	0.208304	0.207433	0.20673	0.205887	0.209825	0.205797	0.205783	0.205709	0.205532	0.183768	0.177122	0.168678	0.159873	0.15572	0.146711	0.131832	0.113825	0.127777	0.106985	0.105521	0.103064	0.102205	0.101102	0.0992623	0.0979934	0.0963283	0.0933935	0.0890055	0.0958269	0.0883979	0.0881092	0.0874285	0.08614	0.0862953	0.087137	0.0833862	0.0832234	0.082826	0.0825287	0.082405	0.0822229	0.081855	0.0819695	0.0819433	0.081711	0.0814092	0.0812217	0.0811499	0.0810985	0.080988	0.080855	0.0808192	0.080851	0.080782	0.0807675	0.0807399	0.0806792	0.0632763	0.052563	0.0476425	
