152	0.015	2	task-0:0.222	|	0.296408	0.224791	0.22339	0.222198	0.220853	0.219428	0.218431	0.216699	0.215126	0.216462	0.213948	0.21355	0.212852	0.211416	0.210255	0.213599	0.208527	0.208358	0.20793	0.207304	0.2073	0.207065	0.206656	0.206542	0.20629	0.205938	0.205679	0.205812	0.205776	0.185345	0.179252	0.169736	0.160809	0.15598	0.146496	0.129148	0.114503	0.124693	0.104413	0.102978	0.100952	0.100348	0.099335	0.0985188	0.0966264	0.0943696	0.0903502	0.095018	0.0866284	0.0868564	0.0869734	0.086512	0.0859736	0.0856103	0.0854845	0.0853829	0.0851693	0.0846726	0.0839904	0.0828093	0.083328	0.0829685	0.0828639	0.0827028	0.0825516	0.0823086	0.0823171	0.0821931	0.0819489	0.0814526	0.0814321	0.0814576	0.0656372	0.0483661	0.0478546	0.0455293	0.0428764	0.0387282	0.0421513	

153	0.047	2	task-0:0.228	|	0.26211	0.218881	0.218223	0.21712	0.216151	0.215151	0.214763	0.214224	0.213833	0.213228	0.212956	0.212485	0.212039	0.211277	0.21075	0.210318	0.210128	0.209836	0.209586	0.209422	0.209193	0.209054	0.208825	0.208701	0.208527	0.208388	0.208187	0.208093	0.207958	0.207825	0.187235	0.18585	0.176012	0.165431	0.149056	0.135751	0.131108	0.127993	0.124206	0.121897	0.116851	0.108439	0.0980669	0.1122	0.0960578	0.0955924	0.0944721	0.0932971	0.0936769	0.091435	0.0910235	0.0900678	0.0883764	0.0888468	0.0881781	0.0878267	0.0872668	0.086504	0.0853758	0.0857681	0.0856463	0.0855397	0.0852716	0.0848099	0.0845248	0.0855988	0.0840913	0.0839954	0.083729	0.0833109	0.0825226	0.0830107	0.0830086	0.0829807	0.0829143	0.0828817	0.0828271	0.0827301	0.0827056	0.0825983	0.0824848	0.0824811	0.0824688	0.0620412	0.0485017	0.0465472	0.0442558	

139	0	2	task-0:0.258	|	0.26211	0.218881	0.218223	0.21712	0.216151	0.215151	0.214763	0.214224	0.213833	0.213228	0.212956	0.212485	0.212039	0.211277	0.21075	0.210318	0.210128	0.209836	0.209586	0.209422	0.209193	0.209054	0.208825	0.208701	0.208527	0.208388	0.208187	0.208093	0.207958	0.207825	0.1881	0.186837	0.177078	0.167617	0.153152	0.141131	0.133931	0.130191	0.126579	0.123726	0.121496	0.116164	0.106802	0.0985882	0.0956978	0.104606	0.0928415	0.0925797	0.0918581	0.0913066	0.0912235	0.0904709	0.0899741	0.0891957	0.0877164	0.0872032	0.0884596	0.0867272	0.0867039	0.0865683	0.0862172	0.0854362	0.0845061	0.0850733	0.0847153	0.084654	0.0845523	0.0843384	0.0840883	0.0842742	0.0838874	0.0837842	0.0835422	0.0834649	0.0832836	0.0833585	0.0833568	0.083326	0.0832936	0.0832253	0.0831532	0.0831876	0.0831151	0.0830817	0.0830044	0.0675497	0.0556414	0.050828	

157	0.016	2	task-0:0.252	|	0.28783	0.227959	0.225725	0.222492	0.219148	0.216828	0.215634	0.214408	0.21217	0.211057	0.211917	0.20986	0.209589	0.208916	0.208258	0.209297	0.207611	0.207432	0.207135	0.206751	0.206645	0.206535	0.206457	0.206237	0.205799	0.205742	0.205551	0.205369	0.205296	0.18451	0.182969	0.174974	0.165895	0.14673	0.115013	0.144653	0.102454	0.0985921	0.0992454	0.0985243	0.0978671	0.0962268	0.0925398	0.0856678	0.0783018	0.105232	0.0786884	0.0789563	0.0796814	0.0798032	0.0806541	0.0800972	0.0800139	0.0800496	0.080079	0.0801005	0.08015	0.080263	0.0801993	0.0802342	0.0802311	0.080215	0.0802046	0.0631395	0.0524334	0.0464452	

139	0	2	task-0:0.258	|	0.26211	0.218881	0.218223	0.21712	0.216151	0.215151	0.214763	0.214224	0.213833	0.213228	0.212956	0.212485	0.212039	0.211277	0.21075	0.210318	0.210128	0.209836	0.209586	0.209422	0.209193	0.209054	0.208825	0.208701	0.208527	0.208388	0.208187	0.208093	0.207958	0.207825	0.1881	0.186837	0.177078	0.167617	0.153152	0.141131	0.133931	0.130191	0.126579	0.123726	0.121496	0.116164	0.106802	0.0985882	0.0956978	0.104606	0.0928415	0.0925797	0.0918581	0.0913066	0.0912235	0.0904709	0.0899741	0.0891957	0.0877164	0.0872032	0.0884596	0.0867272	0.0867039	0.0865683	0.0862172	0.0854362	0.0845061	0.0850733	0.0847153	0.084654	0.0845523	0.0843384	0.0840883	0.0842742	0.0838874	0.0837842	0.0835422	0.0834649	0.0832836	0.0833585	0.0833568	0.083326	0.0832936	0.0832253	0.0831532	0.0831876	0.0831151	0.0830817	0.0830044	0.0675497	0.0556414	0.050828	

139	0.016	2	task-0:0.258	|	0.26211	0.218881	0.218223	0.21712	0.216151	0.215151	0.214763	0.214224	0.213833	0.213228	0.212956	0.212485	0.212039	0.211277	0.21075	0.210318	0.210128	0.209836	0.209586	0.209422	0.209193	0.209054	0.208825	0.208701	0.208527	0.208388	0.208187	0.208093	0.207958	0.207825	0.1881	0.186837	0.177078	0.167617	0.153152	0.141131	0.133931	0.130191	0.126579	0.123726	0.121496	0.116164	0.106802	0.0985882	0.0956978	0.104606	0.0928415	0.0925797	0.0918581	0.0913066	0.0912235	0.0904709	0.0899741	0.0891957	0.0877164	0.0872032	0.0884596	0.0867272	0.0867039	0.0865683	0.0862172	0.0854362	0.0845061	0.0850733	0.0847153	0.084654	0.0845523	0.0843384	0.0840883	0.0842742	0.0838874	0.0837842	0.0835422	0.0834649	0.0832836	0.0833585	0.0833568	0.083326	0.0832936	0.0832253	0.0831532	0.0831876	0.0831151	0.0830817	0.0830044	0.0675497	0.0556414	0.050828	

139	0.015	2	task-0:0.258	|	0.26211	0.218881	0.218223	0.21712	0.216151	0.215151	0.214763	0.214224	0.213833	0.213228	0.212956	0.212485	0.212039	0.211277	0.21075	0.210318	0.210128	0.209836	0.209586	0.209422	0.209193	0.209054	0.208825	0.208701	0.208527	0.208388	0.208187	0.208093	0.207958	0.207825	0.1881	0.186837	0.177078	0.167617	0.153152	0.141131	0.133931	0.130191	0.126579	0.123726	0.121496	0.116164	0.106802	0.0985882	0.0956978	0.104606	0.0928415	0.0925797	0.0918581	0.0913066	0.0912235	0.0904709	0.0899741	0.0891957	0.0877164	0.0872032	0.0884596	0.0867272	0.0867039	0.0865683	0.0862172	0.0854362	0.0845061	0.0850733	0.0847153	0.084654	0.0845523	0.0843384	0.0840883	0.0842742	0.0838874	0.0837842	0.0835422	0.0834649	0.0832836	0.0833585	0.0833568	0.083326	0.0832936	0.0832253	0.0831532	0.0831876	0.0831151	0.0830817	0.0830044	0.0675497	0.0556414	0.050828	

