77	0.015	1	task-0:0.254	|	0.240155	0.220108	0.219466	0.218031	0.216488	0.215068	0.214534	0.213551	0.212402	0.21015	0.208129	0.218169	0.206702	0.206251	0.206055	0.205467	0.204857	0.204298	0.205602	0.203825	0.203675	0.203341	0.2026	0.201417	0.202099	0.204668	0.200146	0.199945	0.199874	0.199717	0.199612	0.199368	0.198894	0.199234	0.198683	0.198407	0.171239	0.16334	0.151106	0.14237	0.133682	0.120182	0.0943716	0.0600653	0.201152	0.0622979	0.0489849	0.0442207	0.0435226	0.0427207	0.041238	0.0393639	0.0375252	0.036285	0.0341735	

229	0.016	2	task-0:0.31	|	0.269006	0.230195	0.228716	0.226205	0.223067	0.220733	0.21904	0.216179	0.21631	0.219327	0.211623	0.211164	0.21029	0.209521	0.208899	0.208624	0.207861	0.206962	0.206169	0.20608	0.205456	0.205135	0.204719	0.203851	0.203551	0.203613	0.20256	0.202384	0.202054	0.201411	0.201504	0.201068	0.200584	0.200483	0.200292	0.20001	0.199395	0.198216	0.196588	0.230582	0.196397	0.19652	0.196246	0.196216	0.196157	0.19604	0.195931	0.195962	0.195843	0.195812	0.195761	0.19565	0.195518	0.197678	0.192245	0.190057	0.189574	0.188232	0.185254	0.180055	0.233795	0.179199	0.178824	0.17811	0.176564	0.174875	0.183171	0.173758	0.173451	0.172718	0.172093	0.172026	0.171285	0.17099	0.17061	0.170109	0.168993	0.167135	0.173193	0.166709	0.16648	0.166199	0.16564	0.164783	0.165632	0.16437	0.164161	0.163914	0.163592	0.162837	0.16252	0.164019	0.161645	0.161457	0.161173	0.160731	0.160283	0.16049	0.159886	0.159724	0.159525	0.159345	0.158928	0.158827	0.158685	0.158523	0.158376	0.158169	0.157895	0.157702	0.157629	0.157491	0.157337	0.13458	0.129321	0.120525	0.110747	0.105299	0.0951709	0.0780627	0.0574017	0.0830552	0.0531565	0.0511116	0.0495916	0.0464591	0.0411247	0.0358737	0.0424353	0.0323819	

92	0	1	task-0:0.252	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.172535	0.169009	0.161705	0.151363	0.135104	0.116298	0.106912	0.0990351	0.0938603	0.0879543	0.0794286	0.0637363	0.0519361	0.138734	0.0407503	0.0399683	0.0382146	

93	0	1	task-0:0.282	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.168435	0.160692	0.149783	0.142923	0.135394	0.125035	0.103848	0.0707099	0.0423572	0.464062	0.0373335	

93	0	1	task-0:0.282	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.168435	0.160692	0.149783	0.142923	0.135394	0.125035	0.103848	0.0707099	0.0423572	0.464062	0.0373335	

93	0.016	1	task-0:0.282	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.168435	0.160692	0.149783	0.142923	0.135394	0.125035	0.103848	0.0707099	0.0423572	0.464062	0.0373335	

93	0	1	task-0:0.282	|	0.268234	0.229012	0.227277	0.224145	0.220341	0.217735	0.216214	0.213869	0.212344	0.216852	0.210147	0.209693	0.208581	0.206955	0.208686	0.206363	0.206062	0.205897	0.205518	0.205253	0.204783	0.204237	0.203171	0.203762	0.203698	0.201805	0.201623	0.201386	0.20107	0.200393	0.19912	0.197726	0.242978	0.196988	0.196934	0.196828	0.196618	0.196329	0.197313	0.196247	0.19621	0.196143	0.196046	0.196005	0.195981	0.195948	0.168435	0.160692	0.149783	0.142923	0.135394	0.125035	0.103848	0.0707099	0.0423572	0.464062	0.0373335	

