253	0.157	2	task-3:0.338	task-0:0.372	task-1:0.334	task-2:0.384	|	0.0574373	0.0565962	0.0551968	0.0549522	0.0548316	0.0545976	0.0542292	0.0538955	0.0535614	0.0540918	0.0534882	0.053456	0.0533977	0.0533344	0.0532941	0.0532888	0.0532785	0.0532575	0.0532416	0.0532235	0.0529803	0.0527745	0.0523384	0.0518889	0.0513657	0.0502037	0.0481439	0.0479395	0.0476711	0.0450315	0.0447077	0.0439708	0.0424621	0.0396428	0.0355057	0.0722842	0.035078	0.0362078	0.034192	0.0340294	0.0337819	0.0332693	0.0322972	0.0322961	0.0321952	0.0310724	0.0309385	0.0307417	0.0303284	0.029516	0.0280185	0.0338708	0.0279736	0.0270887	0.0270332	0.0269076	0.0266989	0.0264101	0.0259005	0.0254187	0.0311366	0.0251655	0.0251332	0.0250385	0.0248276	0.0244215	0.0237782	0.0248868	0.0245659	0.0232987	0.0232629	0.0232131	0.0231239	0.023028	0.0228838	0.0226283	0.0222108	0.0232684	0.0222101	0.0219044	0.0218897	0.0218564	0.0218028	0.0216985	0.0215349	0.0213718	0.0215775	0.0213086	0.0212959	0.0212673	0.0212083	0.021119	0.0210385	0.0209557	0.0208876	0.0208508	0.0208074	0.0207184	0.020544	0.0202319	0.0201583	0.0212627	0.0198136	0.019792	0.0197511	0.0196816	0.0195605	0.0195188	0.0194779	0.0194509	0.0194389	0.0194229	0.0193898	0.0193318	0.0192359	0.019078	0.0189485	0.0191591	0.018841	0.0188227	0.0187832	0.0187029	0.0185549	0.0184296	0.018604	0.0183443	0.018327	0.0182905	0.0182307	0.0181327	0.01794	0.017872	0.0181508	0.0176814	0.017664	0.0176393	0.0176071	0.0175638	0.0174954	0.0175077	0.0174759	0.0174707	0.0174559	0.0174262	0.0173865	0.0173738	0.0172786	0.0171974	0.0170412	0.0168182	0.0166172	0.0162301	0.0158247	0.0159374	0.0156443	0.0155937	0.0154776	0.0152364	0.014845	0.0140929	

271	0.156	2	task-3:0.346	task-0:0.372	task-1:0.33	task-2:0.378	|	0.0552435	0.0549658	0.054489	0.0543818	0.0542916	0.054112	0.053812	0.0535132	0.0535	0.0537022	0.0533908	0.0533759	0.0533443	0.0533076	0.0532701	0.0532481	0.0532025	0.0531222	0.0527684	0.052915	0.0525483	0.051849	0.0513651	0.0503103	0.0481861	0.0460091	0.0505677	0.0445149	0.0439574	0.0438572	0.0436324	0.0431056	0.0421024	0.0405749	0.0421829	0.0415645	0.0392977	0.0390845	0.0387176	0.0380303	0.0368114	0.0353725	0.0364506	0.0347596	0.0342884	0.0341985	0.0340086	0.0336071	0.0328842	0.0321922	0.0334147	0.0317077	0.0315679	0.031262	0.0306542	0.0298162	0.0311577	0.0293713	0.0292614	0.0290446	0.0287154	0.028164	0.0271414	0.0272042	0.0345137	0.0257675	0.0255727	0.0254122	0.0252055	0.0248186	0.0242307	0.0238366	0.0238355	0.0237139	0.0236358	0.0235114	0.0233157	0.0231759	0.0231154	0.0230463	0.0230009	0.0229062	0.022767	0.0225091	0.0221098	0.0241625	0.021902	0.0218359	0.0217863	0.0216842	0.0214956	0.0212579	0.0215243	0.0211803	0.0211535	0.0210997	0.0210258	0.0208923	0.0208079	0.0207552	0.0207215	0.0206914	0.0206655	0.0206244	0.0205941	0.0205313	0.0204387	0.0202583	0.0200192	0.0204554	0.0199237	0.0198999	0.0198496	0.0197603	0.0195808	0.0192979	0.0199386	0.0192441	0.019228	0.019194	0.0191428	0.0190378	0.0188284	0.0184213	0.0177149	0.0219598	0.0201354	0.0175319	0.0174169	0.0173679	0.0172773	0.017191	0.0170619	0.0170648	0.0170112	0.0169338	0.0169223	0.0169057	0.0168717	0.0168193	0.0167914	0.0167761	0.0167646	0.0167541	0.0167453	0.0166607	0.0165982	0.0164235	0.0160593	0.0154466	0.0148531	0.0192158	0.014637	0.0145037	0.0144685	0.0143775	0.0141857	0.0138423	0.0134844	

249	0.141	2	task-3:0.386	task-0:0.402	task-1:0.432	task-2:0.408	|	0.057632	0.0568114	0.0554177	0.0551435	0.0550074	0.0547432	0.0543137	0.053914	0.0537559	0.0543932	0.0536191	0.0535849	0.0535389	0.0534448	0.053284	0.0534694	0.0532125	0.0531797	0.0531766	0.0531681	0.052951	0.0527987	0.0523753	0.0515138	0.0500823	0.0475036	0.0445065	0.0605207	0.0431077	0.0426769	0.0423381	0.0416948	0.0404456	0.038946	0.0424877	0.038201	0.0379699	0.0375257	0.0368895	0.0358758	0.0340881	0.0312859	0.0377944	0.0558069	0.0285725	0.0292555	0.0278196	0.0276707	0.027371	0.0268726	0.026428	0.0262661	0.0261035	0.0260216	0.0258624	0.0256447	0.0255723	0.0254607	0.0254192	0.0253733	0.0252914	0.0251249	0.0248254	0.0242854	0.023966	0.0269245	0.0235088	0.0234653	0.0233687	0.0231762	0.0228026	0.0221841	0.0241319	0.0220443	0.0219165	0.021902	0.0218746	0.0218242	0.0217732	0.0216727	0.0215386	0.0214431	0.0214039	0.0213609	0.0213311	0.0213074	0.0212502	0.0211497	0.0211099	0.0210646	0.0210393	0.0210248	0.0210019	0.0209493	0.0208438	0.0206539	0.0203772	0.0214983	0.0203365	0.0203266	0.0203006	0.0202439	0.0201283	0.019909	0.0195346	0.019498	0.0222045	0.0189458	0.0189186	0.0188762	0.0188455	0.0187938	0.0187474	0.0187436	0.0187309	0.0187139	0.0186997	0.0186746	0.0186561	0.0186161	0.0185413	0.0183964	0.0182883	0.0184484	0.0181896	0.0181728	0.0181376	0.018089	0.0180583	0.0180375	0.0180005	0.0179779	0.0179632	0.0179312	0.0178648	0.0177301	0.0174616	0.0169352	0.01593	0.0149394	0.0720946	0.0161973	0.0542864	0.0222009	0.0786613	0.0332044	0.0603092	0.0309715	0.0608035	0.0140791	

95	0.047	1	task-3:0.042	task-0:0.152	task-1:0.222	task-2:0.222	|	0.058018	0.0568075	0.0548696	0.0546435	0.0545848	0.0544758	0.0542967	0.0540522	0.0537462	0.0537934	0.0536094	0.0535342	0.0535172	0.0534844	0.0534139	0.0532844	0.0531641	0.0535817	0.0531037	0.0530923	0.0530716	0.0522815	0.0516453	0.0499104	0.0465351	0.0416285	0.0374931	0.0336815	0.031301	0.0300279	0.0284348	0.0259477	0.0230966	0.0214592	0.0241558	0.020304	0.0201052	0.0198256	0.0193507	0.0184277	0.0169927	0.0154227	0.0141031	0.0149712	0.0131138	0.012894	0.0124533	

260	0.141	2	task-3:0.292	task-0:0.386	task-1:0.376	task-2:0.352	|	0.0560123	0.0559362	0.0557492	0.0554782	0.0550797	0.0547161	0.0544473	0.0543357	0.0541955	0.0539497	0.053635	0.0533845	0.0549901	0.0532823	0.0532654	0.0532357	0.0531757	0.0531143	0.0530927	0.0530752	0.0530607	0.0530445	0.0530224	0.0530009	0.0529665	0.0529854	0.0526321	0.0523931	0.0518714	0.0509352	0.0497789	0.0485658	0.0467891	0.0443917	0.0486999	0.0434865	0.0431878	0.0425955	0.0416254	0.0401095	0.0395597	0.0391547	0.0381395	0.0378937	0.0374285	0.0366426	0.0357723	0.0355798	0.0351187	0.0349294	0.034527	0.0337477	0.0322758	0.0311574	0.0406079	0.0301205	0.0299204	0.0297155	0.0296154	0.0294915	0.0292283	0.0287045	0.0277179	0.0273195	0.0354325	0.026251	0.0261868	0.0260462	0.0257881	0.0252798	0.0243287	0.0269023	0.0264122	0.023451	0.0233785	0.0233321	0.0232705	0.0231781	0.0230468	0.022828	0.0228398	0.022994	0.0226081	0.0225804	0.0225272	0.0224388	0.0223548	0.0222028	0.0220408	0.0220568	0.0219557	0.0219189	0.0218527	0.0217923	0.0217471	0.0216663	0.0216023	0.021572	0.0215262	0.0214926	0.0214455	0.0214018	0.0213726	0.021343	0.0212912	0.0212386	0.0211999	0.021116	0.0209484	0.020779	0.0209912	0.0206776	0.020649	0.020593	0.0205235	0.020446	0.0203765	0.0203167	0.0202999	0.0202678	0.0202367	0.020174	0.0200689	0.0198569	0.0194429	0.0194624	0.022823	0.0188742	0.0188184	0.0187984	0.0187709	0.0187362	0.0186805	0.0186432	0.018618	0.018597	0.0185802	0.0185505	0.0185206	0.0185042	0.0182661	0.0180514	0.0175352	0.0164629	0.0145185	

253	0.14	2	task-3:0.286	task-0:0.386	task-1:0.376	task-2:0.346	|	0.0560123	0.0559362	0.0557492	0.0554782	0.0550797	0.0547161	0.0544473	0.0543357	0.0541955	0.0539497	0.053635	0.0533845	0.0549901	0.0532823	0.0532654	0.0532357	0.0531757	0.0531143	0.0530927	0.0530752	0.0530607	0.0530445	0.0530224	0.0530009	0.0529665	0.0529854	0.0526321	0.0523931	0.0518714	0.0509352	0.0497789	0.0485658	0.0467891	0.0443917	0.0486999	0.0434865	0.0431878	0.0425955	0.0416254	0.0401095	0.0395597	0.0391547	0.0381395	0.0378937	0.0374285	0.0366426	0.0357723	0.0355798	0.0351187	0.0349294	0.034527	0.0337477	0.0322758	0.0311574	0.0406079	0.0301205	0.0299204	0.0297155	0.0296154	0.0294915	0.0292283	0.0287045	0.0277179	0.0273195	0.0354325	0.026251	0.0261868	0.0260462	0.0257881	0.0252798	0.0243287	0.0269023	0.0264122	0.023451	0.0233785	0.0233321	0.0232705	0.0231781	0.0230468	0.022828	0.0228398	0.022994	0.0226081	0.0225804	0.0225272	0.0224388	0.0223548	0.0222028	0.0220408	0.0220568	0.0219557	0.0219189	0.0218527	0.0217923	0.0217471	0.0216663	0.0216023	0.021572	0.0215262	0.0214926	0.0214455	0.0214018	0.0213726	0.021343	0.0212912	0.0212386	0.0211999	0.021116	0.0209484	0.020779	0.0209912	0.0206776	0.020649	0.020593	0.0205235	0.020446	0.0203765	0.0203167	0.0202999	0.0202678	0.0202367	0.020174	0.0200689	0.0198569	0.0194429	0.0194624	0.022823	0.0188742	0.0188184	0.0187984	0.0187709	0.0187362	0.0186805	0.0186432	0.018618	0.018597	0.0185802	0.0185505	0.0185206	0.0185042	0.0182679	0.0180541	0.0175407	0.0164742	0.0145325	
