88	0	1	task-0:0.248	|	0.305602	0.223132	0.221497	0.219352	0.217326	0.215342	0.213438	0.213331	0.211939	0.210822	0.210482	0.209859	0.209121	0.207847	0.20747	0.20697	0.206243	0.205931	0.205482	0.204963	0.20384	0.201775	0.203035	0.229489	0.199307	0.199196	0.198933	0.198717	0.198427	0.199122	0.198275	0.198202	0.198071	0.197795	0.197291	0.199007	0.197209	0.170406	0.163271	0.150277	0.142411	0.131618	0.11711	0.0919337	0.072551	0.0992526	0.0632413	0.0605024	0.0575259	0.0563961	0.0547805	0.0523324	0.0471396	0.0385772	0.0281232	

103	0.016	1	task-0:0.284	|	0.314391	0.224742	0.222814	0.220515	0.218457	0.216338	0.21382	0.213877	0.219741	0.210768	0.210367	0.209195	0.207221	0.20817	0.20654	0.205535	0.2054	0.205007	0.204263	0.202856	0.201976	0.211158	0.200869	0.200669	0.20057	0.200304	0.200019	0.199842	0.199699	0.199558	0.199469	0.199362	0.199314	0.199205	0.19915	0.169946	0.157057	0.149885	0.140064	0.13567	0.127062	0.111381	0.0943835	0.0803938	0.0768536	0.0737015	0.0701512	0.0651119	0.0580399	0.053243	0.0500724	0.0484278	0.0467796	0.0439798	0.0391814	0.0335998	0.037431	

103	0.031	1	task-0:0.284	|	0.314391	0.224742	0.222814	0.220515	0.218457	0.216338	0.21382	0.213877	0.219741	0.210768	0.210367	0.209195	0.207221	0.20817	0.20654	0.205535	0.2054	0.205007	0.204263	0.202856	0.201976	0.211158	0.200869	0.200669	0.20057	0.200304	0.200019	0.199842	0.199699	0.199558	0.199469	0.199362	0.199314	0.199205	0.19915	0.169946	0.157057	0.149885	0.140064	0.13567	0.127062	0.111381	0.0943835	0.0803938	0.0768536	0.0737015	0.0701512	0.0651119	0.0580399	0.053243	0.0500724	0.0484278	0.0467796	0.0439798	0.0391814	0.0335998	0.037431	

103	0.016	1	task-0:0.284	|	0.314391	0.224742	0.222814	0.220515	0.218457	0.216338	0.21382	0.213877	0.219741	0.210768	0.210367	0.209195	0.207221	0.20817	0.20654	0.205535	0.2054	0.205007	0.204263	0.202856	0.201976	0.211158	0.200869	0.200669	0.20057	0.200304	0.200019	0.199842	0.199699	0.199558	0.199469	0.199362	0.199314	0.199205	0.19915	0.169946	0.157057	0.149885	0.140064	0.13567	0.127062	0.111381	0.0943835	0.0803938	0.0768536	0.0737015	0.0701512	0.0651119	0.0580399	0.053243	0.0500724	0.0484278	0.0467796	0.0439798	0.0391814	0.0335998	0.037431	

103	0.016	1	task-0:0.284	|	0.314391	0.224742	0.222814	0.220515	0.218457	0.216338	0.21382	0.213877	0.219741	0.210768	0.210367	0.209195	0.207221	0.20817	0.20654	0.205535	0.2054	0.205007	0.204263	0.202856	0.201976	0.211158	0.200869	0.200669	0.20057	0.200304	0.200019	0.199842	0.199699	0.199558	0.199469	0.199362	0.199314	0.199205	0.19915	0.169946	0.157057	0.149885	0.140064	0.13567	0.127062	0.111381	0.0943835	0.0803938	0.0768536	0.0737015	0.0701512	0.0651119	0.0580399	0.053243	0.0500724	0.0484278	0.0467796	0.0439798	0.0391814	0.0335998	0.037431	

113	0	1	task-0:0.246	|	0.242643	0.231932	0.2265	0.219489	0.216667	0.216004	0.214137	0.213745	0.213057	0.212453	0.212213	0.21152	0.211207	0.21055	0.209696	0.2083	0.208223	0.207308	0.206706	0.20643	0.205994	0.205683	0.205109	0.204445	0.204334	0.203986	0.203703	0.203412	0.202843	0.202096	0.202411	0.201762	0.201231	0.201102	0.20089	0.200656	0.20013	0.199097	0.198359	0.216566	0.19754	0.197481	0.197337	0.197106	0.197127	0.196972	0.196872	0.196833	0.196769	0.196677	0.196529	0.196534	0.196389	0.169782	0.168617	0.157078	0.14798	0.137417	0.128166	0.108974	0.0776745	0.0533084	0.313738	0.0437787	0.0421319	0.0409737	0.0400938	0.0391932	0.0379557	0.0353494	0.03099	

103	0	1	task-0:0.284	|	0.314391	0.224742	0.222814	0.220515	0.218457	0.216338	0.21382	0.213877	0.219741	0.210768	0.210367	0.209195	0.207221	0.20817	0.20654	0.205535	0.2054	0.205007	0.204263	0.202856	0.201976	0.211158	0.200869	0.200669	0.20057	0.200304	0.200019	0.199842	0.199699	0.199558	0.199469	0.199362	0.199314	0.199205	0.19915	0.169946	0.157057	0.149885	0.140064	0.13567	0.127062	0.111381	0.0943835	0.0803938	0.0768536	0.0737015	0.0701512	0.0651119	0.0580399	0.053243	0.0500724	0.0484278	0.0467796	0.0439798	0.0391814	0.0335998	0.037431	

103	0.047	1	task-0:0.284	|	0.314391	0.224742	0.222814	0.220515	0.218457	0.216338	0.21382	0.213877	0.219741	0.210768	0.210367	0.209195	0.207221	0.20817	0.20654	0.205535	0.2054	0.205007	0.204263	0.202856	0.201976	0.211158	0.200869	0.200669	0.20057	0.200304	0.200019	0.199842	0.199699	0.199558	0.199469	0.199362	0.199314	0.199205	0.19915	0.169946	0.157057	0.149885	0.140064	0.13567	0.127062	0.111381	0.0943835	0.0803938	0.0768536	0.0737015	0.0701512	0.0651119	0.0580399	0.053243	0.0500724	0.0484278	0.0467796	0.0439798	0.0391814	0.0335998	0.037431	

152	0.016	2	task-0:0.234	|	0.249081	0.225986	0.225085	0.223277	0.22105	0.21916	0.217708	0.215459	0.213907	0.217201	0.211627	0.211113	0.209896	0.20888	0.209523	0.207735	0.207334	0.20675	0.205517	0.204312	0.208896	0.203653	0.203386	0.2032	0.202869	0.202586	0.202196	0.201903	0.201683	0.201617	0.20135	0.200964	0.200601	0.200791	0.200303	0.200172	0.199948	0.199638	0.200041	0.200701	0.198767	0.198705	0.198508	0.198062	0.197216	0.196483	0.217438	0.195981	0.19593	0.195816	0.195584	0.195229	0.198109	0.195153	0.195122	0.195074	0.195017	0.194901	0.194975	0.194909	0.171998	0.163165	0.156839	0.145831	0.131099	0.107425	0.0798322	0.128039	0.0732743	0.0690234	0.0657565	0.0636813	0.0600322	0.0560218	0.0547027	0.0526847	0.0500222	0.0482351	0.0460363	0.041901	0.0346217	0.0389102	0.0466575	0.0278685	

79	0	1	task-0:0.254	|	0.328598	0.225228	0.222921	0.220173	0.218287	0.216174	0.21332	0.218353	0.216163	0.211923	0.210886	0.209993	0.208821	0.208482	0.207648	0.206494	0.206075	0.205758	0.205004	0.204806	0.204458	0.203864	0.202629	0.201215	0.214382	0.200566	0.200434	0.200115	0.199655	0.199901	0.19947	0.199372	0.19923	0.199064	0.198944	0.198912	0.198811	0.198742	0.169694	0.16053	0.149244	0.140608	0.134516	0.124229	0.104011	0.07193	0.0430363	0.397376	0.0385144	0.0379467	0.0367301	0.0345541	0.0322586	

103	0	1	task-0:0.284	|	0.314391	0.224742	0.222814	0.220515	0.218457	0.216338	0.21382	0.213877	0.219741	0.210768	0.210367	0.209195	0.207221	0.20817	0.20654	0.205535	0.2054	0.205007	0.204263	0.202856	0.201976	0.211158	0.200869	0.200669	0.20057	0.200304	0.200019	0.199842	0.199699	0.199558	0.199469	0.199362	0.199314	0.199205	0.19915	0.169946	0.157057	0.149885	0.140064	0.13567	0.127062	0.111381	0.0943835	0.0803938	0.0768536	0.0737015	0.0701512	0.0651119	0.0580399	0.053243	0.0500724	0.0484278	0.0467796	0.0439798	0.0391814	0.0335998	0.037431	

