88	0.063	1	0	task-3:0.052	task-0:0.128	task-1:0.238	task-2:0.132	|	0.0540129	0.0538008	0.0535252	0.0534593	0.0533226	0.0531521	0.0530859	0.0530373	0.0529432	0.0529294	0.052914	0.0528904	0.052871	0.0529264	0.0528678	0.0528667	0.0528644	0.052862	0.0528574	0.0528489	0.0528424	0.0528557	0.0522937	0.0514384	0.0492098	0.0454592	0.0415596	0.0375489	0.0364698	0.0331963	0.0314708	0.0288919	0.0257804	0.0229359	0.0261621	0.0216244	0.0213091	0.0209858	0.0204317	0.0193967	0.0178345	0.0157157	0.0171638	0.0143394	0.0139382	0.0131839	0.0117205	

109	0.11	1	0	task-3:0.046	task-0:0.14	task-1:0.226	task-2:0.122	|	0.0587996	0.0579901	0.0569184	0.0568302	0.0566907	0.0563947	0.0558487	0.0548983	0.0539214	0.0598867	0.053756	0.0537027	0.0536453	0.0535827	0.0534574	0.0532591	0.0537025	0.0533773	0.0531176	0.0531111	0.0530941	0.0530584	0.0529965	0.0523283	0.0514995	0.0490931	0.0448561	0.0401552	0.0378795	0.038007	0.0361247	0.0348041	0.033175	0.0298647	0.0246633	0.024564	0.0344515	0.0191114	0.0174931	0.0165756	0.0162217	0.0155636	0.014441	0.0128713	0.0112017	0.0200935	0.011263	0.00909298	0.0088209	0.00873257	0.00855973	0.00824486	0.00777668	

109	0.11	1	0	task-3:0.046	task-0:0.14	task-1:0.226	task-2:0.122	|	0.0587996	0.0579901	0.0569184	0.0568302	0.0566907	0.0563947	0.0558487	0.0548983	0.0539214	0.0598867	0.053756	0.0537027	0.0536453	0.0535827	0.0534574	0.0532591	0.0537025	0.0533773	0.0531176	0.0531111	0.0530941	0.0530584	0.0529965	0.0523283	0.0514995	0.0490931	0.0448561	0.0401552	0.0378795	0.038007	0.0361247	0.0348041	0.033175	0.0298647	0.0246633	0.024564	0.0344515	0.0191114	0.0174931	0.0165756	0.0162217	0.0155636	0.014441	0.0128713	0.0112017	0.0200935	0.011263	0.00909298	0.0088209	0.00873257	0.00855973	0.00824486	0.00777668	

109	0.125	1	0	task-3:0.046	task-0:0.14	task-1:0.226	task-2:0.122	|	0.0587996	0.0579901	0.0569184	0.0568302	0.0566907	0.0563947	0.0558487	0.0548983	0.0539214	0.0598867	0.053756	0.0537027	0.0536453	0.0535827	0.0534574	0.0532591	0.0537025	0.0533773	0.0531176	0.0531111	0.0530941	0.0530584	0.0529965	0.0523283	0.0514995	0.0490931	0.0448561	0.0401552	0.0378795	0.038007	0.0361247	0.0348041	0.033175	0.0298647	0.0246633	0.024564	0.0344515	0.0191114	0.0174931	0.0165756	0.0162217	0.0155636	0.014441	0.0128713	0.0112017	0.0200935	0.011263	0.00909298	0.0088209	0.00873257	0.00855973	0.00824486	0.00777668	

109	0.093	1	0	task-3:0.046	task-0:0.14	task-1:0.226	task-2:0.122	|	0.0587996	0.0579901	0.0569184	0.0568302	0.0566907	0.0563947	0.0558487	0.0548983	0.0539214	0.0598867	0.053756	0.0537027	0.0536453	0.0535827	0.0534574	0.0532591	0.0537025	0.0533773	0.0531176	0.0531111	0.0530941	0.0530584	0.0529965	0.0523283	0.0514995	0.0490931	0.0448561	0.0401552	0.0378795	0.038007	0.0361247	0.0348041	0.033175	0.0298647	0.0246633	0.024564	0.0344515	0.0191114	0.0174931	0.0165756	0.0162217	0.0155636	0.014441	0.0128713	0.0112017	0.0200935	0.011263	0.00909298	0.0088209	0.00873257	0.00855973	0.00824486	0.00777668	

123	0.063	1	0	task-3:0.07	task-0:0.162	task-1:0.232	task-2:0.112	|	0.0684736	0.0646309	0.0585941	0.0579421	0.0572817	0.0561511	0.0548793	0.0555703	0.0545259	0.0543554	0.054284	0.0541635	0.0540258	0.053909	0.0536847	0.0533406	0.0542709	0.0542007	0.0531061	0.0530843	0.0530446	0.0530007	0.0529476	0.0530125	0.0529335	0.0529288	0.0529199	0.0523757	0.0515494	0.049298	0.0451435	0.0400323	0.0368215	0.0368995	0.0346521	0.0330987	0.032332	0.0306728	0.0279697	0.0281607	0.0324904	0.0238718	0.0228892	0.0224699	0.0220397	0.0215129	0.0205264	0.0192852	0.0176788	0.0172478	0.0262157	0.0145567	0.0132992	0.0128373	0.0127316	0.0125206	0.0122041	0.0118419	0.0111995	0.0103265	0.0100032	0.0138517	0.00941071	0.00904083	0.00896662	0.00886832	
