84	0	1	0	task-0:0.282	|	0.442812	0.223036	0.226046	0.216487	0.214999	0.21293	0.210789	0.223631	0.210318	0.210113	0.209022	0.207603	0.206753	0.206735	0.205594	0.205408	0.204897	0.204257	0.203163	0.202455	0.210621	0.201217	0.201045	0.20059	0.19966	0.199694	0.205739	0.198639	0.198548	0.19826	0.197711	0.197979	0.198094	0.197215	0.19716	0.197024	0.196852	0.196679	0.196777	0.196552	0.17123	0.162681	0.146969	0.134768	0.132037	0.122689	0.103671	0.0783043	0.059429	0.0549362	0.0444539	0.0279587	

74	0	1	0	task-0:0.298	|	0.446228	0.223751	0.2278	0.219037	0.218041	0.216436	0.213774	0.214581	0.214744	0.211543	0.210718	0.209412	0.20705	0.206147	0.228241	0.203248	0.202426	0.202136	0.201879	0.201705	0.201553	0.2012	0.200984	0.200592	0.200456	0.200351	0.2001	0.20006	0.174925	0.170992	0.156033	0.139595	0.116933	0.0803855	0.0581332	0.0490689	

98	0.016	1	0	task-0:0.292	|	0.335682	0.236471	0.233877	0.229217	0.224943	0.224146	0.221648	0.220374	0.21997	0.218752	0.21806	0.2169	0.216023	0.214321	0.213937	0.212643	0.21211	0.211343	0.210282	0.210296	0.209828	0.209648	0.20894	0.208803	0.208356	0.208294	0.207679	0.207439	0.207084	0.20694	0.206277	0.205235	0.204206	0.207273	0.203333	0.203106	0.202619	0.201793	0.200172	0.198924	0.230402	0.197978	0.198257	0.197577	0.197523	0.197408	0.197296	0.197122	0.196901	0.197832	0.196669	0.196608	0.196493	0.196316	0.170989	0.160123	0.147545	0.12426	0.0936748	0.0705071	0.0554963	0.0533848	0.0496853	0.0424277	0.0348064	0.0290838	

74	0	1	0	task-0:0.298	|	0.446228	0.223751	0.2278	0.219037	0.218041	0.216436	0.213774	0.214581	0.214744	0.211543	0.210718	0.209412	0.20705	0.206147	0.228241	0.203248	0.202426	0.202136	0.201879	0.201705	0.201553	0.2012	0.200984	0.200592	0.200456	0.200351	0.2001	0.20006	0.174925	0.170992	0.156033	0.139595	0.116933	0.0803855	0.0581332	0.0490689	

74	0.015	1	0	task-0:0.298	|	0.446228	0.223751	0.2278	0.219037	0.218041	0.216436	0.213774	0.214581	0.214744	0.211543	0.210718	0.209412	0.20705	0.206147	0.228241	0.203248	0.202426	0.202136	0.201879	0.201705	0.201553	0.2012	0.200984	0.200592	0.200456	0.200351	0.2001	0.20006	0.174925	0.170992	0.156033	0.139595	0.116933	0.0803855	0.0581332	0.0490689	

74	0	1	0	task-0:0.298	|	0.446228	0.223751	0.2278	0.219037	0.218041	0.216436	0.213774	0.214581	0.214744	0.211543	0.210718	0.209412	0.20705	0.206147	0.228241	0.203248	0.202426	0.202136	0.201879	0.201705	0.201553	0.2012	0.200984	0.200592	0.200456	0.200351	0.2001	0.20006	0.174925	0.170992	0.156033	0.139595	0.116933	0.0803855	0.0581332	0.0490689	
