95	0.015	1	0	task-0:0.196	|	0.225676	0.215756	0.214695	0.213607	0.212857	0.212282	0.21103	0.210285	0.209631	0.208968	0.208614	0.207915	0.207798	0.207409	0.207293	0.206675	0.206097	0.204752	0.202969	0.213235	0.202433	0.20207	0.202006	0.201717	0.201449	0.201223	0.202698	0.200713	0.200577	0.20016	0.199728	0.198965	0.200411	0.184512	0.220391	0.171504	0.190176	0.161534	0.158727	0.152201	0.147371	0.145907	0.138617	0.132686	0.12707	0.123859	0.121672	0.117626	0.12014	0.114065	0.110655	0.109509	0.108715	0.105853	0.104198	0.101848	0.103886	0.0973782	0.0963927	0.0939103	

108	0.016	1	0	task-0:0.248	|	0.265673	0.236743	0.235581	0.231032	0.224788	0.224007	0.220764	0.220024	0.217977	0.215854	0.216718	0.213505	0.212344	0.21203	0.21115	0.210339	0.208867	0.208652	0.210889	0.206669	0.206026	0.205386	0.204331	0.203191	0.210669	0.202687	0.202548	0.20213	0.201387	0.201177	0.202266	0.200348	0.200229	0.199926	0.199566	0.199148	0.199725	0.198903	0.172428	0.162394	0.145099	0.13157	0.127999	0.115172	0.0935423	0.0684036	0.051166	0.0475351	0.041566	0.0356969	0.026234	0.0132132	

154	0.016	1	0	task-0:0.298	|	0.283546	0.238458	0.235684	0.226571	0.217413	0.22247	0.215998	0.215183	0.214199	0.211765	0.207049	0.205427	0.306539	0.202001	0.20174	0.200989	0.200797	0.200416	0.20002	0.20001	0.199875	0.199718	0.199308	0.198707	0.199944	0.199458	0.191079	0.184063	0.180723	0.171384	0.168408	0.168806	0.160257	0.157366	0.156834	0.149818	0.147449	0.146376	0.140228	0.138183	0.136896	0.131509	0.129912	0.128685	0.123831	0.122572	0.121513	0.117091	0.116089	0.115216	0.1111	0.108209	0.107148	0.102417	0.0995828	0.0954502	0.0865741	

154	0.015	1	0	task-0:0.298	|	0.283546	0.238458	0.235684	0.226571	0.217413	0.22247	0.215998	0.215183	0.214199	0.211765	0.207049	0.205427	0.306539	0.202001	0.20174	0.200989	0.200797	0.200416	0.20002	0.20001	0.199875	0.199718	0.199308	0.198707	0.199944	0.199458	0.191079	0.184063	0.180723	0.171384	0.168408	0.168806	0.160257	0.157366	0.156834	0.149818	0.147449	0.146376	0.140228	0.138183	0.136896	0.131509	0.129912	0.128685	0.123831	0.122572	0.121513	0.117091	0.116089	0.115216	0.1111	0.108209	0.107148	0.102417	0.0995828	0.0954502	0.0865741	

154	0.016	1	0	task-0:0.298	|	0.283546	0.238458	0.235684	0.226571	0.217413	0.22247	0.215998	0.215183	0.214199	0.211765	0.207049	0.205427	0.306539	0.202001	0.20174	0.200989	0.200797	0.200416	0.20002	0.20001	0.199875	0.199718	0.199308	0.198707	0.199944	0.199458	0.191079	0.184063	0.180723	0.171384	0.168408	0.168806	0.160257	0.157366	0.156834	0.149818	0.147449	0.146376	0.140228	0.138183	0.136896	0.131509	0.129912	0.128685	0.123831	0.122572	0.121513	0.117091	0.116089	0.115216	0.1111	0.108209	0.107148	0.102417	0.0995828	0.0954502	0.0865741	

154	0.016	1	0	task-0:0.298	|	0.283546	0.238458	0.235684	0.226571	0.217413	0.22247	0.215998	0.215183	0.214199	0.211765	0.207049	0.205427	0.306539	0.202001	0.20174	0.200989	0.200797	0.200416	0.20002	0.20001	0.199875	0.199718	0.199308	0.198707	0.199944	0.199458	0.191079	0.184063	0.180723	0.171384	0.168408	0.168806	0.160257	0.157366	0.156834	0.149818	0.147449	0.146376	0.140228	0.138183	0.136896	0.131509	0.129912	0.128685	0.123831	0.122572	0.121513	0.117091	0.116089	0.115216	0.1111	0.108209	0.107148	0.102417	0.0995828	0.0954502	0.0865741	
