62	0.016	1	0	task-0:0.47	|	0.223974	0.289708	0.285331	0.22527	0.227438	0.227438	0.208542	0.216452	0.211521	0.20088	0.19579	0.192365	0.186715	0.180037	0.173409	0.167241	0.162958	0.15989	0.156967	0.157541	0.159107	0.161059	0.165423	0.163457	0.16462	0.167195	0.170284	0.174235	0.174595	0.175917	0.178338	0.181369	0.182152	0.183155	0.185078	0.185453	0.186953	0.188869	0.190229	0.190888	0.191371	0.192153	0.192164	0.192788	0.193371	0.19342	0.193301	0.193292	0.193322	0.193433	0.193433	0.193367	0.193311	0.193308	0.193332	0.19339	0.193471	0.193479	0.193452	0.193464	0.193497	0.193511	

75	0.031	1	0	task-0:0.47	|	0.262546	0.265717	0.265717	0.224415	0.283713	0.283713	0.232656	0.2272	0.2272	0.222763	0.222512	0.222372	0.221772	0.22094	0.220214	0.218652	0.215952	0.211969	0.207062	0.201708	0.196964	0.193653	0.190508	0.188503	0.186155	0.183487	0.178905	0.173273	0.169012	0.165917	0.163198	0.161467	0.160658	0.1607	0.161836	0.162812	0.165063	0.167174	0.169621	0.172712	0.176977	0.182182	0.185234	0.185784	0.189305	0.189305	0.186433	0.185816	0.185787	0.185774	0.186728	0.186728	0.186111	0.185731	0.185728	0.185877	0.185758	0.185467	0.185264	0.185111	0.184852	0.18481	0.184632	0.18442	0.184167	0.183866	0.183601	0.183329	0.182962	0.182944	0.182735	0.182484	0.182456	0.182546	0.182672	

56	0.016	1	0	task-0:0.47	|	0.227647	0.280716	0.273157	0.216692	0.23722	0.23722	0.214205	0.214392	0.212554	0.20272	0.197294	0.193259	0.187722	0.18183	0.175871	0.170436	0.16634	0.164546	0.162201	0.161346	0.164355	0.163068	0.162741	0.163601	0.164965	0.16836	0.172893	0.17149	0.169107	0.169544	0.170775	0.172336	0.174287	0.176728	0.179784	0.183596	0.1863	0.186801	0.187495	0.187495	0.186861	0.186681	0.186609	0.18658	0.187059	0.187159	0.187032	0.187193	0.187493	0.187854	0.188286	0.188805	0.189427	0.189869	0.190539	0.190595	

53	0.016	1	0	task-0:0.47	|	0.301198	0.223713	0.223207	0.229167	0.229162	0.222802	0.223946	0.223946	0.222314	0.223184	0.223184	0.222331	0.222405	0.222405	0.222225	0.222388	0.222388	0.222253	0.222232	0.222232	0.222224	0.222224	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222095	0.218592	0.217261	0.215939	0.214646	0.220739	0.221624	0.218969	0.21207	0.210208	0.209984	0.213231	0.217181	0.217087	0.216148	0.213966	0.210827	0.215127	

59	0.047	1	0	task-0:0.47	|	0.227688	0.260551	0.255524	0.233163	0.222556	0.22254	0.224476	0.224474	0.222461	0.222799	0.222801	0.22223	0.222614	0.222615	0.222287	0.222261	0.222261	0.222221	0.22222	0.222227	0.222227	0.222221	0.222221	0.222221	0.222218	0.222218	0.222216	0.222212	0.222207	0.222198	0.222182	0.222149	0.222076	0.221902	0.221433	0.219525	0.221249	0.221141	0.22071	0.219485	0.215993	0.219722	0.219833	0.219456	0.218254	0.220758	0.221178	0.221384	0.221433	0.221316	0.220905	0.219726	0.216196	0.220033	0.22019	0.219915	0.218909	0.22116	0.221516	

75	0.062	1	0	task-0:0.47	|	0.262546	0.265717	0.265717	0.224415	0.283713	0.283713	0.232656	0.2272	0.2272	0.222763	0.222512	0.222372	0.221772	0.22094	0.220214	0.218652	0.215952	0.211969	0.207062	0.201708	0.196964	0.193653	0.190508	0.188503	0.186155	0.183487	0.178905	0.173273	0.169012	0.165917	0.163198	0.161467	0.160658	0.1607	0.161836	0.162812	0.165063	0.167174	0.169621	0.172712	0.176977	0.182182	0.185234	0.185784	0.189305	0.189305	0.186433	0.185816	0.185787	0.185774	0.186728	0.186728	0.186111	0.185731	0.185728	0.185877	0.185758	0.185467	0.185264	0.185111	0.184852	0.18481	0.184632	0.18442	0.184167	0.183866	0.183601	0.183329	0.182962	0.182944	0.182735	0.182484	0.182456	0.182546	0.182672	

56	0.063	1	0	task-0:0.47	|	0.227647	0.280716	0.273157	0.216692	0.23722	0.23722	0.214205	0.214392	0.212554	0.20272	0.197294	0.193259	0.187722	0.18183	0.175871	0.170436	0.16634	0.164546	0.162201	0.161346	0.164355	0.163068	0.162741	0.163601	0.164965	0.16836	0.172893	0.17149	0.169107	0.169544	0.170775	0.172336	0.174287	0.176728	0.179784	0.183596	0.1863	0.186801	0.187495	0.187495	0.186861	0.186681	0.186609	0.18658	0.187059	0.187159	0.187032	0.187193	0.187493	0.187854	0.188286	0.188805	0.189427	0.189869	0.190539	0.190595	

59	0.047	1	0	task-0:0.47	|	0.227688	0.260551	0.255524	0.233163	0.222556	0.22254	0.224476	0.224474	0.222461	0.222799	0.222801	0.22223	0.222614	0.222615	0.222287	0.222261	0.222261	0.222221	0.22222	0.222227	0.222227	0.222221	0.222221	0.222221	0.222218	0.222218	0.222216	0.222212	0.222207	0.222198	0.222182	0.222149	0.222076	0.221902	0.221433	0.219525	0.221249	0.221141	0.22071	0.219485	0.215993	0.219722	0.219833	0.219456	0.218254	0.220758	0.221178	0.221384	0.221433	0.221316	0.220905	0.219726	0.216196	0.220033	0.22019	0.219915	0.218909	0.22116	0.221516	

75	0.062	1	0	task-0:0.47	|	0.262546	0.265717	0.265717	0.224415	0.283713	0.283713	0.232656	0.2272	0.2272	0.222763	0.222512	0.222372	0.221772	0.22094	0.220214	0.218652	0.215952	0.211969	0.207062	0.201708	0.196964	0.193653	0.190508	0.188503	0.186155	0.183487	0.178905	0.173273	0.169012	0.165917	0.163198	0.161467	0.160658	0.1607	0.161836	0.162812	0.165063	0.167174	0.169621	0.172712	0.176977	0.182182	0.185234	0.185784	0.189305	0.189305	0.186433	0.185816	0.185787	0.185774	0.186728	0.186728	0.186111	0.185731	0.185728	0.185877	0.185758	0.185467	0.185264	0.185111	0.184852	0.18481	0.184632	0.18442	0.184167	0.183866	0.183601	0.183329	0.182962	0.182944	0.182735	0.182484	0.182456	0.182546	0.182672	

