111	0	1	0	task-0:0.18	|	0.266532	0.220765	0.216503	0.212825	0.210506	0.208685	0.214121	0.207761	0.207467	0.206838	0.205521	0.205223	0.206272	0.203753	0.203535	0.203018	0.202455	0.201964	0.202702	0.201454	0.201187	0.200902	0.20039	0.199764	0.201136	0.199495	0.19938	0.199193	0.198743	0.197973	0.198112	0.206178	0.196857	0.196776	0.196746	0.196691	0.196621	0.196599	0.196541	0.196517	0.19643	0.196224	0.195793	0.195051	0.203994	0.194973	0.194956	0.194943	0.194901	0.194873	0.194804	0.194705	0.194778	0.194696	0.194672	0.194659	0.194623	0.194548	0.17289	0.16213	0.155342	0.146034	0.133257	0.125596	0.115854	0.111766	0.103598	0.0976715	0.0938301	0.0903122	0.0861923	0.0781333	0.0799936	0.0710575	0.0674868	0.0666755	0.0649991	0.0644254	0.0621509	0.0593128	0.0540827	

102	0.016	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

92	0	1	0	task-0:0.308	|	0.239311	0.224176	0.223047	0.221425	0.220077	0.219222	0.217205	0.215068	0.21638	0.21361	0.212919	0.211891	0.209737	0.211549	0.208932	0.207173	0.20691	0.206109	0.205131	0.203812	0.207895	0.203298	0.202907	0.202573	0.201874	0.202374	0.201494	0.201331	0.201107	0.200516	0.199329	0.199835	0.211971	0.197767	0.197686	0.197485	0.197348	0.197334	0.197132	0.197069	0.196965	0.196851	0.19664	0.196284	0.197468	0.196215	0.172028	0.164095	0.148634	0.136305	0.129376	0.113786	0.0880268	0.0534017	0.035033	

102	0	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0.016	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0.015	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0.015	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

102	0	1	0	task-0:0.27	|	0.387138	0.241555	0.237521	0.23001	0.224944	0.22378	0.221292	0.219957	0.218182	0.215959	0.215515	0.223093	0.212249	0.211699	0.210006	0.206937	0.209542	0.212729	0.204241	0.20398	0.20331	0.202772	0.202453	0.202128	0.201991	0.201669	0.201301	0.200545	0.201071	0.202655	0.199517	0.199304	0.199103	0.198778	0.198399	0.198888	0.198226	0.198167	0.198082	0.197884	0.197597	0.198444	0.197464	0.173625	0.165001	0.147862	0.135295	0.132476	0.122415	0.103805	0.079076	0.0606388	0.056274	0.0467416	0.0341321	0.0170917	

