94	0	1	0	task-0:0.292	|	0.241698	0.233733	0.223897	0.219413	0.218497	0.216966	0.214436	0.213764	0.212479	0.209958	0.210636	0.213523	0.206681	0.206343	0.205362	0.203343	0.202154	0.230551	0.200619	0.200453	0.19999	0.199097	0.199659	0.201644	0.198202	0.198127	0.197889	0.197355	0.196455	0.196746	0.216761	0.195216	0.19537	0.195114	0.195088	0.195066	0.195029	0.194968	0.1949	0.194879	0.195447	0.194453	0.194444	0.194422	0.170481	0.163358	0.15005	0.137481	0.128604	0.109965	0.0803946	0.0566334	0.0536013	0.0406046	0.0363605	0.0294831	

87	0.015	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0.047	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0.016	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0.047	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0.047	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

87	0.016	1	0	task-0:0.29	|	0.236259	0.233995	0.229908	0.22379	0.225639	0.226977	0.218457	0.217814	0.215789	0.212397	0.211671	0.226951	0.209151	0.208832	0.207801	0.207213	0.206258	0.205605	0.205204	0.205169	0.204632	0.204231	0.20368	0.202721	0.2017	0.208319	0.201144	0.200363	0.200258	0.199923	0.19925	0.200242	0.199362	0.198497	0.198427	0.198222	0.197964	0.197629	0.198489	0.197465	0.172087	0.162998	0.146575	0.134168	0.13131	0.121629	0.102613	0.0775597	0.0589385	0.0547447	0.044782	0.0299092	0.0162478	

72	0	1	0	task-0:0.28	|	0.26353	0.222646	0.218721	0.215507	0.214215	0.212376	0.210944	0.210475	0.209544	0.208932	0.208624	0.20759	0.207305	0.206426	0.205265	0.206075	0.204662	0.204098	0.204026	0.203588	0.203428	0.203157	0.203182	0.202801	0.202569	0.202371	0.176314	0.164677	0.145091	0.13137	0.12672	0.112984	0.0892199	0.0556488	0.0325368	

72	0.047	1	0	task-0:0.28	|	0.26353	0.222646	0.218721	0.215507	0.214215	0.212376	0.210944	0.210475	0.209544	0.208932	0.208624	0.20759	0.207305	0.206426	0.205265	0.206075	0.204662	0.204098	0.204026	0.203588	0.203428	0.203157	0.203182	0.202801	0.202569	0.202371	0.176314	0.164677	0.145091	0.13137	0.12672	0.112984	0.0892199	0.0556488	0.0325368	

72	0	1	0	task-0:0.28	|	0.26353	0.222646	0.218721	0.215507	0.214215	0.212376	0.210944	0.210475	0.209544	0.208932	0.208624	0.20759	0.207305	0.206426	0.205265	0.206075	0.204662	0.204098	0.204026	0.203588	0.203428	0.203157	0.203182	0.202801	0.202569	0.202371	0.176314	0.164677	0.145091	0.13137	0.12672	0.112984	0.0892199	0.0556488	0.0325368	

91	0.015	1	0	task-0:0.254	|	0.258549	0.229144	0.227137	0.224297	0.223177	0.221298	0.22057	0.219538	0.218199	0.216892	0.214814	0.211831	0.221882	0.209907	0.207764	0.207365	0.20694	0.206603	0.206294	0.20559	0.20518	0.204606	0.204412	0.204211	0.203751	0.203629	0.203415	0.203382	0.203027	0.202887	0.202703	0.202611	0.175684	0.162692	0.144009	0.127745	0.117618	0.0971732	0.0719858	0.0468589	0.0526959	0.0347488	0.0319341	0.0283855	0.0221116	

72	0.047	1	0	task-0:0.28	|	0.26353	0.222646	0.218721	0.215507	0.214215	0.212376	0.210944	0.210475	0.209544	0.208932	0.208624	0.20759	0.207305	0.206426	0.205265	0.206075	0.204662	0.204098	0.204026	0.203588	0.203428	0.203157	0.203182	0.202801	0.202569	0.202371	0.176314	0.164677	0.145091	0.13137	0.12672	0.112984	0.0892199	0.0556488	0.0325368	

72	0	1	0	task-0:0.28	|	0.26353	0.222646	0.218721	0.215507	0.214215	0.212376	0.210944	0.210475	0.209544	0.208932	0.208624	0.20759	0.207305	0.206426	0.205265	0.206075	0.204662	0.204098	0.204026	0.203588	0.203428	0.203157	0.203182	0.202801	0.202569	0.202371	0.176314	0.164677	0.145091	0.13137	0.12672	0.112984	0.0892199	0.0556488	0.0325368	

81	0.047	1	0	task-0:0.298	|	0.233998	0.217249	0.215451	0.214406	0.213511	0.212673	0.211071	0.211201	0.215112	0.207211	0.2068	0.205742	0.20414	0.206598	0.207565	0.202206	0.201833	0.20163	0.201368	0.200819	0.200357	0.204278	0.199557	0.199426	0.199105	0.198594	0.197611	0.199913	0.206083	0.196497	0.196468	0.196362	0.196329	0.196297	0.196282	0.196213	0.196187	0.196116	0.195949	0.196105	0.19587	0.19582	0.172103	0.163897	0.149081	0.137263	0.134278	0.124586	0.105976	0.0819975	0.0633626	0.059461	0.0504783	0.0361989	0.0240731	

85	0	1	0	task-0:0.272	|	0.375521	0.222996	0.220818	0.216928	0.213307	0.21	0.219673	0.20826	0.207673	0.207561	0.206974	0.206135	0.204762	0.205848	0.206843	0.203069	0.202655	0.202313	0.201788	0.20126	0.201478	0.200928	0.200816	0.200661	0.200269	0.199667	0.201127	0.199428	0.175175	0.165637	0.147485	0.13445	0.131216	0.119921	0.0995706	0.0682571	0.0466373	0.0388189	0.0341729	0.0280416	0.0195447	

72	0.016	1	0	task-0:0.28	|	0.26353	0.222646	0.218721	0.215507	0.214215	0.212376	0.210944	0.210475	0.209544	0.208932	0.208624	0.20759	0.207305	0.206426	0.205265	0.206075	0.204662	0.204098	0.204026	0.203588	0.203428	0.203157	0.203182	0.202801	0.202569	0.202371	0.176314	0.164677	0.145091	0.13137	0.12672	0.112984	0.0892199	0.0556488	0.0325368	

72	0	1	0	task-0:0.28	|	0.26353	0.222646	0.218721	0.215507	0.214215	0.212376	0.210944	0.210475	0.209544	0.208932	0.208624	0.20759	0.207305	0.206426	0.205265	0.206075	0.204662	0.204098	0.204026	0.203588	0.203428	0.203157	0.203182	0.202801	0.202569	0.202371	0.176314	0.164677	0.145091	0.13137	0.12672	0.112984	0.0892199	0.0556488	0.0325368	

