56	0.016	4	0	task-0:0.47	|	0.257384	0.3144	0.285634	0.236502	0.222653	0.222661	0.224403	0.224401	0.222348	0.222913	0.222897	0.222225	0.222443	0.222443	0.222188	0.222265	0.222267	0.222181	0.222206	0.222207	0.222178	0.222195	0.222201	0.222194	0.222203	0.22221	0.222213	0.22222	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222218	0.220677	0.209869	0.209864	0.218125	0.220707	0.218295	0.212018	0.216696	0.221562	0.221993	0.222074	0.222113	0.222128	0.222125	0.222097	

61	0.015	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

61	0.032	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

61	0.031	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

61	0.031	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

61	0.031	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

61	0.032	4	0	task-0:0.47	|	0.250664	0.49527	0.487672	0.331014	0.223925	0.253211	0.247888	0.230539	0.222152	0.236307	0.236133	0.225002	0.222006	0.22193	0.222039	0.221953	0.221447	0.221177	0.220828	0.220206	0.21922	0.217673	0.216402	0.216569	0.215764	0.214534	0.21401	0.213854	0.213778	0.213808	0.214635	0.21548	0.216213	0.216547	0.216907	0.217522	0.218342	0.219274	0.220196	0.220986	0.221543	0.221478	0.209863	0.209866	0.221433	0.221971	0.221533	0.219501	0.211718	0.216676	0.221736	0.222063	0.222107	0.222124	0.222121	0.222091	0.222003	0.221725	0.220624	0.215537	0.219481	

