84	0	1	0	task-0:0.278	|	0.251812	0.224879	0.22262	0.220739	0.218915	0.216346	0.217605	0.221356	0.214094	0.212693	0.211651	0.210918	0.210694	0.210004	0.209032	0.207277	0.205491	0.216054	0.204895	0.203176	0.202961	0.202692	0.20249	0.202398	0.201972	0.201172	0.20135	0.201505	0.20011	0.199995	0.199698	0.199398	0.199146	0.199283	0.198857	0.198717	0.198569	0.198333	0.1981	0.198148	0.197915	0.173981	0.164949	0.148634	0.136239	0.133475	0.123071	0.103441	0.0788407	0.0608205	0.0558477	0.0480629	0.0409611	0.0287987	

95	0.016	1	0	task-0:0.286	|	0.34149	0.220899	0.217529	0.216342	0.215376	0.214333	0.212052	0.210302	0.220337	0.20805	0.207704	0.206718	0.204583	0.200859	0.219337	0.220774	0.201505	0.201122	0.200294	0.199482	0.198047	0.198583	0.199105	0.197006	0.196919	0.196858	0.196811	0.196702	0.19655	0.196813	0.19631	0.196255	0.196162	0.196047	0.195929	0.195978	0.171377	0.160302	0.150334	0.133261	0.110454	0.0844999	0.0658618	0.0629324	0.0572152	0.0485364	0.0436966	0.0355125	0.0256219	0.0161622	

82	0.016	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0.016	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0.015	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0.016	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0.015	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

99	0	1	0	task-0:0.29	|	0.239913	0.233605	0.221537	0.214035	0.21996	0.221087	0.21027	0.209371	0.208832	0.207601	0.20681	0.209185	0.205787	0.205324	0.20482	0.204046	0.205537	0.203688	0.20354	0.203155	0.202306	0.201929	0.202719	0.201161	0.201017	0.200693	0.200314	0.199781	0.200917	0.199586	0.199405	0.199184	0.198679	0.197887	0.201732	0.197843	0.174241	0.170668	0.155519	0.139709	0.1203	0.0946925	0.0624962	0.0480363	0.0511412	0.0442919	0.0370031	0.0326801	

