57	0.016	1	0	task-0:0.47	|	0.225785	0.357613	0.357613	0.237332	0.22977	0.229282	0.22274	0.22599	0.225773	0.222508	0.223143	0.223142	0.222269	0.222709	0.222709	0.222275	0.222316	0.222313	0.222215	0.222294	0.22229	0.222216	0.2222	0.222196	0.222189	0.222186	0.22218	0.222173	0.222161	0.222143	0.222116	0.222073	0.222007	0.2219	0.221725	0.221413	0.220835	0.219728	0.217578	0.220099	0.220715	0.220999	0.22105	0.220853	0.220205	0.218418	0.220806	0.221039	0.221049	0.220792	0.220011	0.217847	0.220591	0.220868	0.220903	0.220653	0.219862	

53	0.047	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

53	0.015	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

53	0.015	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

53	0.047	1	0	task-0:0.47	|	0.295926	0.246824	0.246824	0.223409	0.22301	0.218599	0.213916	0.207092	0.200584	0.193411	0.18806	0.184158	0.179895	0.174878	0.169978	0.165525	0.159911	0.158462	0.15686	0.15689	0.158503	0.162438	0.165875	0.169294	0.173522	0.180045	0.186841	0.187309	0.188752	0.190918	0.187706	0.185197	0.185197	0.185903	0.186236	0.185625	0.185	0.184977	0.185178	0.185132	0.184987	0.184837	0.184661	0.184457	0.184526	0.184536	0.184565	0.184573	0.184617	0.184684	0.184765	0.184867	0.184969	

53	0.016	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

53	0.046	1	0	task-0:0.47	|	0.295926	0.246824	0.246824	0.223409	0.22301	0.218599	0.213916	0.207092	0.200584	0.193411	0.18806	0.184158	0.179895	0.174878	0.169978	0.165525	0.159911	0.158462	0.15686	0.15689	0.158503	0.162438	0.165875	0.169294	0.173522	0.180045	0.186841	0.187309	0.188752	0.190918	0.187706	0.185197	0.185197	0.185903	0.186236	0.185625	0.185	0.184977	0.185178	0.185132	0.184987	0.184837	0.184661	0.184457	0.184526	0.184536	0.184565	0.184573	0.184617	0.184684	0.184765	0.184867	0.184969	

53	0.016	1	0	task-0:0.47	|	0.281775	0.221413	0.219848	0.216827	0.190299	0.185766	0.168825	0.184105	0.177039	0.180214	0.180214	0.173052	0.173777	0.175276	0.177731	0.179592	0.182083	0.185808	0.187095	0.19019	0.191344	0.192121	0.193884	0.194827	0.195236	0.19481	0.194521	0.193991	0.193742	0.193578	0.193715	0.193951	0.194236	0.194579	0.194992	0.195463	0.195639	0.195801	0.195888	0.195914	0.195903	0.195886	0.195886	0.195892	0.195903	0.195874	0.195855	0.195837	0.195825	0.195809	0.195794	0.195777	0.195756	

53	0.031	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

53	0.047	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

53	0.015	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

53	0.047	1	0	task-0:0.47	|	0.327153	0.221933	0.220272	0.222868	0.207959	0.20656	0.20656	0.198598	0.198715	0.193829	0.188017	0.182114	0.180074	0.176839	0.171642	0.168939	0.167783	0.167604	0.16839	0.170547	0.174104	0.178122	0.184197	0.190807	0.19244	0.193729	0.197328	0.202013	0.202204	0.199943	0.19822	0.197627	0.197042	0.196696	0.197008	0.19757	0.197715	0.198122	0.198375	0.198471	0.198599	0.198551	0.198428	0.198349	0.198228	0.198193	0.198105	0.198051	0.19803	0.198057	0.198067	0.198094	0.198125	

