97	0.016	1	0	task-0:0.278	|	0.230698	0.225153	0.22453	0.222336	0.218145	0.222292	0.216188	0.215141	0.213996	0.211725	0.212179	0.210381	0.209108	0.208809	0.208014	0.207393	0.206279	0.204005	0.200208	0.20678	0.279869	0.206869	0.394092	0.196043	0.196233	0.195749	0.195707	0.195638	0.195526	0.195319	0.195137	0.196669	0.194961	0.194943	0.194907	0.19483	0.169416	0.161742	0.148342	0.134062	0.123234	0.102509	0.0745063	0.0444354	0.0570315	0.0360284	0.0301863	

87	0	1	0	task-0:0.276	|	0.222468	0.220041	0.214762	0.210773	0.220385	0.209882	0.209001	0.208412	0.20754	0.205689	0.204651	0.21951	0.202872	0.202668	0.202096	0.200901	0.201283	0.206486	0.199344	0.199227	0.1989	0.198211	0.19759	0.207866	0.197218	0.197144	0.19697	0.196654	0.196485	0.197434	0.196224	0.196178	0.196098	0.195963	0.195732	0.196026	0.195745	0.171533	0.167968	0.153488	0.13889	0.121723	0.0989747	0.0687079	0.0557794	0.0695482	0.0505778	0.0413032	0.038482	0.0337225	0.0314337	0.0265029	

87	0.015	1	0	task-0:0.276	|	0.222468	0.220041	0.214762	0.210773	0.220385	0.209882	0.209001	0.208412	0.20754	0.205689	0.204651	0.21951	0.202872	0.202668	0.202096	0.200901	0.201283	0.206486	0.199344	0.199227	0.1989	0.198211	0.19759	0.207866	0.197218	0.197144	0.19697	0.196654	0.196485	0.197434	0.196224	0.196178	0.196098	0.195963	0.195732	0.196026	0.195745	0.171533	0.167968	0.153488	0.13889	0.121723	0.0989747	0.0687079	0.0557794	0.0695482	0.0505778	0.0413032	0.038482	0.0337225	0.0314337	0.0265029	

87	0.016	1	0	task-0:0.276	|	0.222468	0.220041	0.214762	0.210773	0.220385	0.209882	0.209001	0.208412	0.20754	0.205689	0.204651	0.21951	0.202872	0.202668	0.202096	0.200901	0.201283	0.206486	0.199344	0.199227	0.1989	0.198211	0.19759	0.207866	0.197218	0.197144	0.19697	0.196654	0.196485	0.197434	0.196224	0.196178	0.196098	0.195963	0.195732	0.196026	0.195745	0.171533	0.167968	0.153488	0.13889	0.121723	0.0989747	0.0687079	0.0557794	0.0695482	0.0505778	0.0413032	0.038482	0.0337225	0.0314337	0.0265029	

87	0	1	0	task-0:0.276	|	0.222468	0.220041	0.214762	0.210773	0.220385	0.209882	0.209001	0.208412	0.20754	0.205689	0.204651	0.21951	0.202872	0.202668	0.202096	0.200901	0.201283	0.206486	0.199344	0.199227	0.1989	0.198211	0.19759	0.207866	0.197218	0.197144	0.19697	0.196654	0.196485	0.197434	0.196224	0.196178	0.196098	0.195963	0.195732	0.196026	0.195745	0.171533	0.167968	0.153488	0.13889	0.121723	0.0989747	0.0687079	0.0557794	0.0695482	0.0505778	0.0413032	0.038482	0.0337225	0.0314337	0.0265029	

87	0.016	1	0	task-0:0.276	|	0.222468	0.220041	0.214762	0.210773	0.220385	0.209882	0.209001	0.208412	0.20754	0.205689	0.204651	0.21951	0.202872	0.202668	0.202096	0.200901	0.201283	0.206486	0.199344	0.199227	0.1989	0.198211	0.19759	0.207866	0.197218	0.197144	0.19697	0.196654	0.196485	0.197434	0.196224	0.196178	0.196098	0.195963	0.195732	0.196026	0.195745	0.171533	0.167968	0.153488	0.13889	0.121723	0.0989747	0.0687079	0.0557794	0.0695482	0.0505778	0.0413032	0.038482	0.0337225	0.0314337	0.0265029	

87	0.015	1	0	task-0:0.276	|	0.222468	0.220041	0.214762	0.210773	0.220385	0.209882	0.209001	0.208412	0.20754	0.205689	0.204651	0.21951	0.202872	0.202668	0.202096	0.200901	0.201283	0.206486	0.199344	0.199227	0.1989	0.198211	0.19759	0.207866	0.197218	0.197144	0.19697	0.196654	0.196485	0.197434	0.196224	0.196178	0.196098	0.195963	0.195732	0.196026	0.195745	0.171533	0.167968	0.153488	0.13889	0.121723	0.0989747	0.0687079	0.0557794	0.0695482	0.0505778	0.0413032	0.038482	0.0337225	0.0314337	0.0265029	

87	0.016	1	0	task-0:0.276	|	0.222468	0.220041	0.214762	0.210773	0.220385	0.209882	0.209001	0.208412	0.20754	0.205689	0.204651	0.21951	0.202872	0.202668	0.202096	0.200901	0.201283	0.206486	0.199344	0.199227	0.1989	0.198211	0.19759	0.207866	0.197218	0.197144	0.19697	0.196654	0.196485	0.197434	0.196224	0.196178	0.196098	0.195963	0.195732	0.196026	0.195745	0.171533	0.167968	0.153488	0.13889	0.121723	0.0989747	0.0687079	0.0557794	0.0695482	0.0505778	0.0413032	0.038482	0.0337225	0.0314337	0.0265029	

87	0.031	1	0	task-0:0.276	|	0.222468	0.220041	0.214762	0.210773	0.220385	0.209882	0.209001	0.208412	0.20754	0.205689	0.204651	0.21951	0.202872	0.202668	0.202096	0.200901	0.201283	0.206486	0.199344	0.199227	0.1989	0.198211	0.19759	0.207866	0.197218	0.197144	0.19697	0.196654	0.196485	0.197434	0.196224	0.196178	0.196098	0.195963	0.195732	0.196026	0.195745	0.171533	0.167968	0.153488	0.13889	0.121723	0.0989747	0.0687079	0.0557794	0.0695482	0.0505778	0.0413032	0.038482	0.0337225	0.0314337	0.0265029	

