54	0.031	8	0	task-0:0.47	|	0.253573	0.328131	0.327156	0.289704	0.22886	0.228161	0.224133	0.215222	0.212895	0.211572	0.204294	0.198334	0.195103	0.190512	0.185187	0.180828	0.175588	0.17128	0.168489	0.165614	0.163186	0.161408	0.161216	0.16239	0.163597	0.165085	0.16612	0.165155	0.160045	0.162603	0.163813	0.162043	0.160066	0.155211	0.145274	0.133295	0.120613	0.10848	0.0981147	0.0892855	0.08121	0.0733237	0.0661483	0.0610531	0.0551398	0.0493103	0.0467358	0.0457053	0.0500652	0.0637184	0.0270027	0.0240304	0.0975501	0.0953792	

91	0.047	8	0	task-0:0.21	|	0.22339	0.665178	0.664898	0.617749	0.265322	0.248757	0.242068	0.223973	0.234515	0.234251	0.221417	0.224891	0.224644	0.220782	0.221143	0.220775	0.218786	0.217713	0.216293	0.214331	0.21189	0.208913	0.205273	0.201343	0.197347	0.19357	0.191344	0.187561	0.183668	0.180674	0.177036	0.173949	0.172124	0.171509	0.172755	0.174344	0.177059	0.179199	0.178708	0.173548	0.173837	0.129929	0.290586	0.276141	0.049191	0.0610896	0.264591	0.265211	0.0597284	0.0547405	0.161133	0.161212	0.0581432	0.0499226	0.0481606	0.0454265	0.12596	0.125867	0.0499981	0.0450392	0.0448036	0.0442051	0.0520372	0.0512028	0.0440741	0.0434684	0.0443065	0.0458793	0.04387	0.0410547	0.0394899	0.0380581	0.0364552	0.0346438	0.0325714	0.0301362	0.0271695	0.0238996	0.0205145	0.102744	0.0836071	0.052039	0.0517583	0.0202184	0.0960508	0.092977	0.0297073	0.0198029	0.0187537	0.0172013	0.0313469	

71	0.047	8	0	task-0:0.28	|	0.256879	0.33138	0.33118	0.301549	0.220409	0.219005	0.216039	0.204312	0.19733	0.194783	0.187653	0.176497	0.155919	0.148492	0.147007	0.154012	0.15033	0.135201	0.128799	0.121727	0.114323	0.0988514	0.075197	0.0461116	0.0416762	0.032415	0.0208094	0.0158628	0.023349	0.0200916	0.0119088	0.00964263	0.00915998	0.00831453	0.00682613	0.00562611	0.00457487	0.00366882	0.00291111	0.00218567	0.00159341	0.00105023	0.000585192	0.000283969	0.000121993	4.94559e-005	2.75663e-005	1.30494e-005	1.44647e-005	2.71274e-005	4.93741e-006	4.00247e-006	3.55532e-006	4.94955e-006	1.37267e-005	3.52515e-006	3.2618e-006	3.73157e-006	5.55568e-006	1.23339e-005	4.5271e-005	1.10494e-005	1.08607e-005	1.31846e-005	2.25511e-005	5.1778e-005	0.000155309	2.45742e-005	1.44393e-005	1.06853e-005	8.98727e-006	

79	0.047	8	0	task-0:0.226	|	0.231443	0.653439	0.64406	0.489092	0.239126	0.233266	0.230182	0.222214	0.234569	0.231771	0.222218	0.220329	0.215069	0.206517	0.193026	0.183567	0.170931	0.175836	0.170741	0.161315	0.158208	0.151905	0.145304	0.140452	0.131583	0.123751	0.113665	0.0987132	0.0810436	0.0653722	0.0512976	0.0367214	0.0232666	0.0126657	0.00597201	0.0028531	0.00598388	0.00202543	0.00125341	0.00084578	0.000763291	0.000568257	0.000658923	0.000611533	0.000501425	0.00047755	0.000412151	0.000344952	0.00029385	0.000241616	0.000186646	0.000133268	8.4138e-005	4.45261e-005	1.91549e-005	7.33182e-006	2.99555e-006	1.08734e-006	3.32673e-007	9.96125e-008	3.01811e-008	8.8415e-009	2.505e-009	8.6441e-010	1.08308e-009	2.10926e-010	7.36531e-011	2.07039e-011	3.09366e-011	1.03182e-011	4.73987e-012	2.21706e-012	2.18163e-012	4.01354e-012	2.66613e-012	2.00319e-012	1.3142e-012	1.09669e-012	3.3543e-013	

91	0.046	8	0	task-0:0.21	|	0.22339	0.665178	0.664898	0.617749	0.265322	0.248757	0.242068	0.223973	0.234515	0.234251	0.221417	0.224891	0.224644	0.220782	0.221143	0.220775	0.218786	0.217713	0.216293	0.214331	0.21189	0.208913	0.205273	0.201343	0.197347	0.19357	0.191344	0.187561	0.183668	0.180674	0.177036	0.173949	0.172124	0.171509	0.172755	0.174344	0.177059	0.179199	0.178708	0.173548	0.173837	0.129929	0.290586	0.276141	0.049191	0.0610896	0.264591	0.265211	0.0597284	0.0547405	0.161133	0.161212	0.0581432	0.0499226	0.0481606	0.0454265	0.12596	0.125867	0.0499981	0.0450392	0.0448036	0.0442051	0.0520372	0.0512028	0.0440741	0.0434684	0.0443065	0.0458793	0.04387	0.0410547	0.0394899	0.0380581	0.0364552	0.0346438	0.0325714	0.0301362	0.0271695	0.0238996	0.0205145	0.102744	0.0836071	0.052039	0.0517583	0.0202184	0.0960508	0.092977	0.0297073	0.0198029	0.0187537	0.0172013	0.0313469	

91	0.063	8	0	task-0:0.21	|	0.22339	0.665178	0.664898	0.617749	0.265322	0.248757	0.242068	0.223973	0.234515	0.234251	0.221417	0.224891	0.224644	0.220782	0.221143	0.220775	0.218786	0.217713	0.216293	0.214331	0.21189	0.208913	0.205273	0.201343	0.197347	0.19357	0.191344	0.187561	0.183668	0.180674	0.177036	0.173949	0.172124	0.171509	0.172755	0.174344	0.177059	0.179199	0.178708	0.173548	0.173837	0.129929	0.290586	0.276141	0.049191	0.0610896	0.264591	0.265211	0.0597284	0.0547405	0.161133	0.161212	0.0581432	0.0499226	0.0481606	0.0454265	0.12596	0.125867	0.0499981	0.0450392	0.0448036	0.0442051	0.0520372	0.0512028	0.0440741	0.0434684	0.0443065	0.0458793	0.04387	0.0410547	0.0394899	0.0380581	0.0364552	0.0346438	0.0325714	0.0301362	0.0271695	0.0238996	0.0205145	0.102744	0.0836071	0.052039	0.0517583	0.0202184	0.0960508	0.092977	0.0297073	0.0198029	0.0187537	0.0172013	0.0313469	
