105	0.078	1	0	task-3:0.06	task-0:0.134	task-1:0.204	task-2:0.132	|	0.0585418	0.0572306	0.0554092	0.0551528	0.0547938	0.0544642	0.0541182	0.0537802	0.0538804	0.053656	0.053616	0.0535475	0.0534785	0.0533661	0.0534019	0.0533119	0.0532962	0.0532665	0.0532305	0.0525891	0.0516128	0.0491419	0.0457065	0.0428999	0.0385723	0.0341659	0.0345249	0.0301743	0.0284406	0.0256564	0.0250785	0.0242104	0.0237834	0.0230165	0.0220396	0.0204394	0.0180098	0.01755	0.0154783	0.0148119	0.0137065	0.0122562	0.0114219	0.0112613	0.0105627	0.0103981	0.0100796	0.00951333	

165	0.141	1	0	task-3:0.05	task-0:0.158	task-1:0.224	task-2:0.126	|	0.0572638	0.0566787	0.0558197	0.0553392	0.0546935	0.0542274	0.0540908	0.0539189	0.053791	0.0535432	0.0532964	0.0536993	0.0532487	0.0532343	0.0532076	0.0531747	0.0531092	0.0529985	0.0528789	0.0556132	0.0528647	0.0528616	0.052856	0.0528456	0.0528413	0.0528438	0.0528333	0.0528324	0.0528308	0.0528288	0.0528281	0.0528281	0.0528277	0.0522991	0.0514961	0.0493786	0.0457842	0.0426642	0.0394732	0.0452434	0.0379215	0.0371889	0.0356458	0.0328363	0.030555	0.0314415	0.0289539	0.028704	0.0280853	0.0269626	0.0256989	0.0281546	0.0259529	0.0240583	0.0238803	0.0235459	0.0228796	0.0218845	0.0214319	0.0215555	0.0209135	0.0207716	0.0205725	0.0201425	0.0193446	0.0182251	0.0243187	0.0177522	0.017639	0.017404	0.0170034	0.0162538	0.0152717	0.0239659	0.0147751	0.0146883	0.0145201	0.0142544	0.0137725	0.0128629	0.0128043	0.0269785	0.0120767	0.0118348	0.011567	0.0114114	0.011303	0.0111383	0.0109382	0.0112452	0.0108206	0.0107386	0.0106867	0.0106233	0.0105702	0.0104789	0.0104126	0.010349	0.0105506	0.0101201	0.0100262	0.00986879	

125	0.062	1	0	task-3:0.07	task-0:0.146	task-1:0.214	task-2:0.13	|	0.0595762	0.0575498	0.0545564	0.0544057	0.0542962	0.0541803	0.0539505	0.053649	0.0537189	0.0541527	0.0533655	0.0533513	0.0533155	0.0532509	0.0531983	0.053104	0.0529874	0.0535388	0.0529655	0.0529595	0.0529527	0.0529388	0.0529156	0.0522904	0.0514036	0.049194	0.0457312	0.0427575	0.0388116	0.0357618	0.0511697	0.0330331	0.0318337	0.0298792	0.0279091	0.0272308	0.0269614	0.026556	0.0259337	0.0251635	0.0244792	0.0232317	0.0221796	0.0245353	0.0202585	0.0191504	0.0189147	0.0185596	0.0178293	0.0164894	0.0157783	0.022083	0.0151107	0.0148911	0.0147028	0.014385	0.0139337	0.0135494	0.0133117	0.0131607	0.0129706	0.0127675	0.0124277	0.012187	0.01236	0.0119371	0.0118387	0.0116778	0.0114155	0.0111246	0.010765	0.0103245	0.0101954	0.010493	0.00987536	

165	0.078	1	0	task-3:0.05	task-0:0.158	task-1:0.224	task-2:0.126	|	0.0572638	0.0566787	0.0558197	0.0553392	0.0546935	0.0542274	0.0540908	0.0539189	0.053791	0.0535432	0.0532964	0.0536993	0.0532487	0.0532343	0.0532076	0.0531747	0.0531092	0.0529985	0.0528789	0.0556132	0.0528647	0.0528616	0.052856	0.0528456	0.0528413	0.0528438	0.0528333	0.0528324	0.0528308	0.0528288	0.0528281	0.0528281	0.0528277	0.0522991	0.0514961	0.0493786	0.0457842	0.0426642	0.0394732	0.0452434	0.0379215	0.0371889	0.0356458	0.0328363	0.030555	0.0314415	0.0289539	0.028704	0.0280853	0.0269626	0.0256989	0.0281546	0.0259529	0.0240583	0.0238803	0.0235459	0.0228796	0.0218845	0.0214319	0.0215555	0.0209135	0.0207716	0.0205725	0.0201425	0.0193446	0.0182251	0.0243187	0.0177522	0.017639	0.017404	0.0170034	0.0162538	0.0152717	0.0239659	0.0147751	0.0146883	0.0145201	0.0142544	0.0137725	0.0128629	0.0128043	0.0269785	0.0120767	0.0118348	0.011567	0.0114114	0.011303	0.0111383	0.0109382	0.0112452	0.0108206	0.0107386	0.0106867	0.0106233	0.0105702	0.0104789	0.0104126	0.010349	0.0105506	0.0101201	0.0100262	0.00986879	

165	0.078	1	0	task-3:0.05	task-0:0.158	task-1:0.224	task-2:0.126	|	0.0572638	0.0566787	0.0558197	0.0553392	0.0546935	0.0542274	0.0540908	0.0539189	0.053791	0.0535432	0.0532964	0.0536993	0.0532487	0.0532343	0.0532076	0.0531747	0.0531092	0.0529985	0.0528789	0.0556132	0.0528647	0.0528616	0.052856	0.0528456	0.0528413	0.0528438	0.0528333	0.0528324	0.0528308	0.0528288	0.0528281	0.0528281	0.0528277	0.0522991	0.0514961	0.0493786	0.0457842	0.0426642	0.0394732	0.0452434	0.0379215	0.0371889	0.0356458	0.0328363	0.030555	0.0314415	0.0289539	0.028704	0.0280853	0.0269626	0.0256989	0.0281546	0.0259529	0.0240583	0.0238803	0.0235459	0.0228796	0.0218845	0.0214319	0.0215555	0.0209135	0.0207716	0.0205725	0.0201425	0.0193446	0.0182251	0.0243187	0.0177522	0.017639	0.017404	0.0170034	0.0162538	0.0152717	0.0239659	0.0147751	0.0146883	0.0145201	0.0142544	0.0137725	0.0128629	0.0128043	0.0269785	0.0120767	0.0118348	0.011567	0.0114114	0.011303	0.0111383	0.0109382	0.0112452	0.0108206	0.0107386	0.0106867	0.0106233	0.0105702	0.0104789	0.0104126	0.010349	0.0105506	0.0101201	0.0100262	0.00986879	

165	0.078	1	0	task-3:0.05	task-0:0.158	task-1:0.224	task-2:0.126	|	0.0572638	0.0566787	0.0558197	0.0553392	0.0546935	0.0542274	0.0540908	0.0539189	0.053791	0.0535432	0.0532964	0.0536993	0.0532487	0.0532343	0.0532076	0.0531747	0.0531092	0.0529985	0.0528789	0.0556132	0.0528647	0.0528616	0.052856	0.0528456	0.0528413	0.0528438	0.0528333	0.0528324	0.0528308	0.0528288	0.0528281	0.0528281	0.0528277	0.0522991	0.0514961	0.0493786	0.0457842	0.0426642	0.0394732	0.0452434	0.0379215	0.0371889	0.0356458	0.0328363	0.030555	0.0314415	0.0289539	0.028704	0.0280853	0.0269626	0.0256989	0.0281546	0.0259529	0.0240583	0.0238803	0.0235459	0.0228796	0.0218845	0.0214319	0.0215555	0.0209135	0.0207716	0.0205725	0.0201425	0.0193446	0.0182251	0.0243187	0.0177522	0.017639	0.017404	0.0170034	0.0162538	0.0152717	0.0239659	0.0147751	0.0146883	0.0145201	0.0142544	0.0137725	0.0128629	0.0128043	0.0269785	0.0120767	0.0118348	0.011567	0.0114114	0.011303	0.0111383	0.0109382	0.0112452	0.0108206	0.0107386	0.0106867	0.0106233	0.0105702	0.0104789	0.0104126	0.010349	0.0105506	0.0101201	0.0100262	0.00986879	
