105	0.047	1	0	task-3:0.458	task-0:0.168	task-1:0.188	task-2:0.468	|	0.0585418	0.0572306	0.0554092	0.0551528	0.0547938	0.0544642	0.0541182	0.0537802	0.0538804	0.053656	0.053616	0.0535475	0.0534785	0.0533661	0.0534019	0.0533119	0.0532962	0.0532665	0.0532305	0.0522885	0.0509899	0.0478528	0.0447129	0.04262	0.0396009	0.0369135	0.0347488	0.0321868	0.0286225	0.0238162	0.0265564	0.0241893	0.0187622	0.0184068	0.0179898	0.0171832	0.0160372	0.0142494	0.0154631	0.0162922	0.0121915	0.0119482	0.0115268	0.011016	0.0104992	0.00997247	

352	0.172	2	0	task-3:0.112	task-0:0.4	task-1:0.426	task-2:0.034	|	0.0536277	0.0535464	0.0534117	0.0533126	0.0531377	0.0530203	0.0529568	0.0529388	0.0529234	0.052901	0.052881	0.0528595	0.052849	0.0529522	0.052764	0.0525982	0.0522594	0.0517854	0.0518993	0.0515754	0.0515405	0.0515035	0.0514311	0.0513451	0.0512519	0.0511345	0.0511477	0.0510884	0.0510439	0.0510011	0.050715	0.0501663	0.0486454	0.0454917	0.050453	0.0437523	0.0425759	0.0419255	0.0405154	0.0379635	0.0375717	0.0436541	0.034813	0.0343236	0.034219	0.0339143	0.0333289	0.0325079	0.0317735	0.0313054	0.0309383	0.0307394	0.0302655	0.0293678	0.029442	0.0286407	0.0281093	0.0279918	0.0277354	0.0272635	0.0269117	0.0266768	0.0264802	0.0263297	0.0261782	0.0258537	0.0252842	0.0252243	0.0248538	0.024516	0.0244286	0.0242519	0.0238763	0.0231982	0.0228077	0.0276128	0.0220244	0.021936	0.0217442	0.0213806	0.0212457	0.0213701	0.0208428	0.0207598	0.0206363	0.0203914	0.019992	0.0197563	0.0221089	0.0194711	0.0193797	0.0193217	0.0192345	0.019084	0.0189836	0.0189157	0.0188761	0.0187691	0.0187265	0.0186851	0.0185956	0.018427	0.018186	0.0183485	0.018104	0.0180665	0.0179928	0.0178851	0.0176728	0.0174398	0.0178872	0.0172768	0.0172171	0.0171383	0.0170511	0.0169185	0.0166692	0.0169672	0.0165058	0.0164545	0.016454	0.0164211	0.0163606	0.0163054	0.0161917	0.015969	0.0156689	0.0172793	0.0155632	0.0155128	0.0154503	0.0154001	0.015327	0.0152167	0.0151965	0.0151792	0.015137	0.0150438	0.0148536	0.0144922	0.0150445	0.0198258	0.0139457	0.0139109	0.0138538	0.0138147	0.0137596	0.0136512	0.0134821	0.0133266	0.0145822	0.0132034	0.0131704	0.013122	0.0130708	0.012984	0.0129119	0.012956	0.0128432	0.0128178	0.0127894	0.0127303	0.0126147	0.0123979	0.0123213	0.0165598	0.0120545	0.0120337	0.011991	0.0119131	0.0117882	0.0116912	0.0136748	0.011552	0.0115365	0.0115031	0.0114389	0.0113302	0.011435	0.0113235	0.0113113	0.0112892	0.0112609	0.0112337	0.0111855	0.011115	0.0111522	0.0110878	0.0110649	0.0110392	0.0110091	0.0109569	0.01085	0.0108219	0.0111379	0.0106949	0.0106834	0.0106615	0.0106112	0.0105194	0.0105178	0.0106738	0.01038	0.0103693	0.0103481	0.0102994	0.0102063	0.0102037	0.0104508	0.010072	0.0100622	0.0100429	0.00999848	

97	0.046	1	0	task-3:0.46	task-0:0.186	task-1:0.14	task-2:0.474	|	0.0615866	0.0596666	0.0564495	0.0560801	0.0558684	0.0554334	0.0547659	0.0541256	0.0541514	0.0539047	0.0538081	0.0536698	0.0535128	0.0534592	0.0534364	0.0534137	0.0533697	0.0533081	0.0532586	0.0532045	0.0531466	0.0531217	0.0531205	0.053112	0.0522027	0.0508783	0.0473544	0.0411633	0.0342929	0.0297946	0.0285579	0.0274462	0.0253416	0.0226119	0.0177702	0.0136532	0.0193827	0.0115278	0.0107534	0.0103494	0.00986029	

97	0.047	1	0	task-3:0.46	task-0:0.186	task-1:0.14	task-2:0.474	|	0.0615866	0.0596666	0.0564495	0.0560801	0.0558684	0.0554334	0.0547659	0.0541256	0.0541514	0.0539047	0.0538081	0.0536698	0.0535128	0.0534592	0.0534364	0.0534137	0.0533697	0.0533081	0.0532586	0.0532045	0.0531466	0.0531217	0.0531205	0.053112	0.0522027	0.0508783	0.0473544	0.0411633	0.0342929	0.0297946	0.0285579	0.0274462	0.0253416	0.0226119	0.0177702	0.0136532	0.0193827	0.0115278	0.0107534	0.0103494	0.00986029	

97	0.047	1	0	task-3:0.46	task-0:0.186	task-1:0.14	task-2:0.474	|	0.0615866	0.0596666	0.0564495	0.0560801	0.0558684	0.0554334	0.0547659	0.0541256	0.0541514	0.0539047	0.0538081	0.0536698	0.0535128	0.0534592	0.0534364	0.0534137	0.0533697	0.0533081	0.0532586	0.0532045	0.0531466	0.0531217	0.0531205	0.053112	0.0522027	0.0508783	0.0473544	0.0411633	0.0342929	0.0297946	0.0285579	0.0274462	0.0253416	0.0226119	0.0177702	0.0136532	0.0193827	0.0115278	0.0107534	0.0103494	0.00986029	

97	0.047	1	0	task-3:0.46	task-0:0.186	task-1:0.14	task-2:0.474	|	0.0615866	0.0596666	0.0564495	0.0560801	0.0558684	0.0554334	0.0547659	0.0541256	0.0541514	0.0539047	0.0538081	0.0536698	0.0535128	0.0534592	0.0534364	0.0534137	0.0533697	0.0533081	0.0532586	0.0532045	0.0531466	0.0531217	0.0531205	0.053112	0.0522027	0.0508783	0.0473544	0.0411633	0.0342929	0.0297946	0.0285579	0.0274462	0.0253416	0.0226119	0.0177702	0.0136532	0.0193827	0.0115278	0.0107534	0.0103494	0.00986029	

97	0.047	1	0	task-3:0.46	task-0:0.186	task-1:0.14	task-2:0.474	|	0.0615866	0.0596666	0.0564495	0.0560801	0.0558684	0.0554334	0.0547659	0.0541256	0.0541514	0.0539047	0.0538081	0.0536698	0.0535128	0.0534592	0.0534364	0.0534137	0.0533697	0.0533081	0.0532586	0.0532045	0.0531466	0.0531217	0.0531205	0.053112	0.0522027	0.0508783	0.0473544	0.0411633	0.0342929	0.0297946	0.0285579	0.0274462	0.0253416	0.0226119	0.0177702	0.0136532	0.0193827	0.0115278	0.0107534	0.0103494	0.00986029	

