95	0	1	0	task-0:0.264	|	0.249724	0.233586	0.22954	0.223778	0.222267	0.219571	0.218206	0.216385	0.215455	0.215246	0.214649	0.213899	0.212067	0.210344	0.2129	0.209027	0.208574	0.207729	0.20616	0.20363	0.217539	0.20311	0.202889	0.20253	0.201654	0.199953	0.200062	0.233595	0.19826	0.198114	0.19778	0.197563	0.197187	0.19696	0.197325	0.196692	0.196632	0.196561	0.196424	0.196691	0.196418	0.17315	0.166949	0.156083	0.142081	0.122025	0.0879744	0.0464342	0.115285	0.0439116	0.0251251	0.0232216	0.0211943	0.0174205	0.0128096	0.0125706	0.0114842	0.0088335	

125	0.015	2	0	task-0:0.248	|	0.236684	0.231147	0.230678	0.229047	0.226059	0.221619	0.226183	0.221869	0.217154	0.215904	0.214739	0.213419	0.211806	0.209505	0.214612	0.208121	0.207255	0.207104	0.206436	0.205754	0.20444	0.20707	0.203877	0.20366	0.203263	0.202353	0.200894	0.206851	0.2006	0.200464	0.200289	0.19987	0.199703	0.199533	0.199302	0.199206	0.199004	0.198833	0.198481	0.197893	0.199911	0.197846	0.198118	0.197613	0.197572	0.197456	0.197432	0.197374	0.19728	0.197225	0.197209	0.197082	0.197032	0.196969	0.179656	0.173468	0.160292	0.147748	0.130716	0.110114	0.0904677	0.0777997	0.0650229	0.0463499	0.0434101	0.0322776	0.0289396	0.0252142	0.0214711	0.0191906	0.0169794	0.0137437	0.00997516	

175	0.016	3	0	task-0:0.274	|	0.243031	0.231107	0.228532	0.226121	0.22528	0.223858	0.222461	0.220712	0.219544	0.218263	0.217449	0.216581	0.215859	0.214729	0.213041	0.212569	0.211383	0.210459	0.210104	0.209282	0.209172	0.208723	0.208628	0.207984	0.207792	0.207415	0.207259	0.20654	0.205246	0.205603	0.205483	0.203649	0.203476	0.202954	0.202427	0.201765	0.202293	0.201457	0.201197	0.20093	0.200394	0.20118	0.200118	0.19999	0.199785	0.199285	0.198446	0.198822	0.200512	0.256899	0.20011	0.212419	0.198401	0.198317	0.198118	0.198074	0.197925	0.197757	0.197712	0.197576	0.197534	0.197549	0.19737	0.197318	0.197249	0.19699	0.198398	0.196876	0.196833	0.196738	0.196684	0.196678	0.196561	0.19651	0.196507	0.196405	0.196364	0.196346	0.179483	0.173621	0.158129	0.151354	0.13972	0.129367	0.114186	0.0850591	0.0510561	0.0452741	0.0450678	0.0370057	0.0348708	0.031628	0.027806	0.0210712	0.0121361	0.00784089	

175	0.016	3	0	task-0:0.274	|	0.243031	0.231107	0.228532	0.226121	0.22528	0.223858	0.222461	0.220712	0.219544	0.218263	0.217449	0.216581	0.215859	0.214729	0.213041	0.212569	0.211383	0.210459	0.210104	0.209282	0.209172	0.208723	0.208628	0.207984	0.207792	0.207415	0.207259	0.20654	0.205246	0.205603	0.205483	0.203649	0.203476	0.202954	0.202427	0.201765	0.202293	0.201457	0.201197	0.20093	0.200394	0.20118	0.200118	0.19999	0.199785	0.199285	0.198446	0.198822	0.200512	0.256899	0.20011	0.212419	0.198401	0.198317	0.198118	0.198074	0.197925	0.197757	0.197712	0.197576	0.197534	0.197549	0.19737	0.197318	0.197249	0.19699	0.198398	0.196876	0.196833	0.196738	0.196684	0.196678	0.196561	0.19651	0.196507	0.196405	0.196364	0.196346	0.179483	0.173621	0.158129	0.151354	0.13972	0.129367	0.114186	0.0850591	0.0510561	0.0452741	0.0450678	0.0370057	0.0348708	0.031628	0.027806	0.0210712	0.0121361	0.00784089	

175	0.016	3	0	task-0:0.274	|	0.243031	0.231107	0.228532	0.226121	0.22528	0.223858	0.222461	0.220712	0.219544	0.218263	0.217449	0.216581	0.215859	0.214729	0.213041	0.212569	0.211383	0.210459	0.210104	0.209282	0.209172	0.208723	0.208628	0.207984	0.207792	0.207415	0.207259	0.20654	0.205246	0.205603	0.205483	0.203649	0.203476	0.202954	0.202427	0.201765	0.202293	0.201457	0.201197	0.20093	0.200394	0.20118	0.200118	0.19999	0.199785	0.199285	0.198446	0.198822	0.200512	0.256899	0.20011	0.212419	0.198401	0.198317	0.198118	0.198074	0.197925	0.197757	0.197712	0.197576	0.197534	0.197549	0.19737	0.197318	0.197249	0.19699	0.198398	0.196876	0.196833	0.196738	0.196684	0.196678	0.196561	0.19651	0.196507	0.196405	0.196364	0.196346	0.179483	0.173621	0.158129	0.151354	0.13972	0.129367	0.114186	0.0850591	0.0510561	0.0452741	0.0450678	0.0370057	0.0348708	0.031628	0.027806	0.0210712	0.0121361	0.00784089	

175	0.015	3	0	task-0:0.274	|	0.243031	0.231107	0.228532	0.226121	0.22528	0.223858	0.222461	0.220712	0.219544	0.218263	0.217449	0.216581	0.215859	0.214729	0.213041	0.212569	0.211383	0.210459	0.210104	0.209282	0.209172	0.208723	0.208628	0.207984	0.207792	0.207415	0.207259	0.20654	0.205246	0.205603	0.205483	0.203649	0.203476	0.202954	0.202427	0.201765	0.202293	0.201457	0.201197	0.20093	0.200394	0.20118	0.200118	0.19999	0.199785	0.199285	0.198446	0.198822	0.200512	0.256899	0.20011	0.212419	0.198401	0.198317	0.198118	0.198074	0.197925	0.197757	0.197712	0.197576	0.197534	0.197549	0.19737	0.197318	0.197249	0.19699	0.198398	0.196876	0.196833	0.196738	0.196684	0.196678	0.196561	0.19651	0.196507	0.196405	0.196364	0.196346	0.179483	0.173621	0.158129	0.151354	0.13972	0.129367	0.114186	0.0850591	0.0510561	0.0452741	0.0450678	0.0370057	0.0348708	0.031628	0.027806	0.0210712	0.0121361	0.00784089	

175	0.016	3	0	task-0:0.274	|	0.243031	0.231107	0.228532	0.226121	0.22528	0.223858	0.222461	0.220712	0.219544	0.218263	0.217449	0.216581	0.215859	0.214729	0.213041	0.212569	0.211383	0.210459	0.210104	0.209282	0.209172	0.208723	0.208628	0.207984	0.207792	0.207415	0.207259	0.20654	0.205246	0.205603	0.205483	0.203649	0.203476	0.202954	0.202427	0.201765	0.202293	0.201457	0.201197	0.20093	0.200394	0.20118	0.200118	0.19999	0.199785	0.199285	0.198446	0.198822	0.200512	0.256899	0.20011	0.212419	0.198401	0.198317	0.198118	0.198074	0.197925	0.197757	0.197712	0.197576	0.197534	0.197549	0.19737	0.197318	0.197249	0.19699	0.198398	0.196876	0.196833	0.196738	0.196684	0.196678	0.196561	0.19651	0.196507	0.196405	0.196364	0.196346	0.179483	0.173621	0.158129	0.151354	0.13972	0.129367	0.114186	0.0850591	0.0510561	0.0452741	0.0450678	0.0370057	0.0348708	0.031628	0.027806	0.0210712	0.0121361	0.00784089	

175	0.031	3	0	task-0:0.274	|	0.243031	0.231107	0.228532	0.226121	0.22528	0.223858	0.222461	0.220712	0.219544	0.218263	0.217449	0.216581	0.215859	0.214729	0.213041	0.212569	0.211383	0.210459	0.210104	0.209282	0.209172	0.208723	0.208628	0.207984	0.207792	0.207415	0.207259	0.20654	0.205246	0.205603	0.205483	0.203649	0.203476	0.202954	0.202427	0.201765	0.202293	0.201457	0.201197	0.20093	0.200394	0.20118	0.200118	0.19999	0.199785	0.199285	0.198446	0.198822	0.200512	0.256899	0.20011	0.212419	0.198401	0.198317	0.198118	0.198074	0.197925	0.197757	0.197712	0.197576	0.197534	0.197549	0.19737	0.197318	0.197249	0.19699	0.198398	0.196876	0.196833	0.196738	0.196684	0.196678	0.196561	0.19651	0.196507	0.196405	0.196364	0.196346	0.179483	0.173621	0.158129	0.151354	0.13972	0.129367	0.114186	0.0850591	0.0510561	0.0452741	0.0450678	0.0370057	0.0348708	0.031628	0.027806	0.0210712	0.0121361	0.00784089	

175	0.016	3	0	task-0:0.274	|	0.243031	0.231107	0.228532	0.226121	0.22528	0.223858	0.222461	0.220712	0.219544	0.218263	0.217449	0.216581	0.215859	0.214729	0.213041	0.212569	0.211383	0.210459	0.210104	0.209282	0.209172	0.208723	0.208628	0.207984	0.207792	0.207415	0.207259	0.20654	0.205246	0.205603	0.205483	0.203649	0.203476	0.202954	0.202427	0.201765	0.202293	0.201457	0.201197	0.20093	0.200394	0.20118	0.200118	0.19999	0.199785	0.199285	0.198446	0.198822	0.200512	0.256899	0.20011	0.212419	0.198401	0.198317	0.198118	0.198074	0.197925	0.197757	0.197712	0.197576	0.197534	0.197549	0.19737	0.197318	0.197249	0.19699	0.198398	0.196876	0.196833	0.196738	0.196684	0.196678	0.196561	0.19651	0.196507	0.196405	0.196364	0.196346	0.179483	0.173621	0.158129	0.151354	0.13972	0.129367	0.114186	0.0850591	0.0510561	0.0452741	0.0450678	0.0370057	0.0348708	0.031628	0.027806	0.0210712	0.0121361	0.00784089	

175	0.016	3	0	task-0:0.274	|	0.243031	0.231107	0.228532	0.226121	0.22528	0.223858	0.222461	0.220712	0.219544	0.218263	0.217449	0.216581	0.215859	0.214729	0.213041	0.212569	0.211383	0.210459	0.210104	0.209282	0.209172	0.208723	0.208628	0.207984	0.207792	0.207415	0.207259	0.20654	0.205246	0.205603	0.205483	0.203649	0.203476	0.202954	0.202427	0.201765	0.202293	0.201457	0.201197	0.20093	0.200394	0.20118	0.200118	0.19999	0.199785	0.199285	0.198446	0.198822	0.200512	0.256899	0.20011	0.212419	0.198401	0.198317	0.198118	0.198074	0.197925	0.197757	0.197712	0.197576	0.197534	0.197549	0.19737	0.197318	0.197249	0.19699	0.198398	0.196876	0.196833	0.196738	0.196684	0.196678	0.196561	0.19651	0.196507	0.196405	0.196364	0.196346	0.179483	0.173621	0.158129	0.151354	0.13972	0.129367	0.114186	0.0850591	0.0510561	0.0452741	0.0450678	0.0370057	0.0348708	0.031628	0.027806	0.0210712	0.0121361	0.00784089	

