83	0.047	1	0	task-3:0.456	task-0:0.174	task-1:0.212	task-2:0.474	|	0.0548503	0.0543178	0.0537318	0.0536472	0.0534935	0.0533447	0.0532661	0.0532492	0.0532132	0.0531436	0.0530354	0.053104	0.0531087	0.0529529	0.0529485	0.0522689	0.051268	0.0485655	0.0437506	0.0390715	0.0357813	0.0490177	0.0337798	0.0332052	0.0318996	0.0292663	0.0254914	0.0212833	0.0221974	0.0221149	0.0176463	0.0172112	0.0163155	0.0148784	0.0148534	0.0140261	0.0131973	0.0129263	0.0126615	0.0121966	0.0115531	0.010546	0.00877106	

92	0.047	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.046	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.047	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.047	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.047	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.047	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.047	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.031	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.047	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

92	0.031	1	0	task-3:0.46	task-0:0.236	task-1:0.13	task-2:0.462	|	0.0654212	0.0616972	0.0544084	0.0540014	0.0537327	0.0537071	0.053664	0.0535848	0.0534859	0.0533917	0.0533415	0.0532755	0.0531954	0.0531383	0.0531093	0.053096	0.053082	0.0530708	0.0530461	0.0530006	0.0529497	0.0532503	0.052924	0.0529186	0.0521832	0.051105	0.0481729	0.0427738	0.0361494	0.0337503	0.032881	0.0312475	0.0284732	0.0245483	0.0203883	0.0187874	0.0192841	0.0168992	0.0160445	0.0155767	0.0147068	0.0130676	0.0107096	0.00930738	

108	0.062	1	0	task-3:0.456	task-0:0.148	task-1:0.118	task-2:0.468	|	0.0622306	0.060275	0.0569909	0.0560695	0.0552303	0.0539431	0.0530265	0.0593489	0.0529672	0.0529606	0.0529557	0.052947	0.0529298	0.0528992	0.052876	0.0530423	0.0528558	0.0528539	0.0528501	0.052845	0.0528417	0.0519405	0.0506454	0.0472371	0.0416046	0.0375476	0.0348901	0.0337177	0.0310084	0.030385	0.0289302	0.0258898	0.0203127	0.0129216	0.0515321	0.0135745	0.022144	0.0115067	0.0113009	0.0109821	0.0107864	0.0103555	0.00949605	

108	0.063	1	0	task-3:0.456	task-0:0.148	task-1:0.118	task-2:0.468	|	0.0622306	0.060275	0.0569909	0.0560695	0.0552303	0.0539431	0.0530265	0.0593489	0.0529672	0.0529606	0.0529557	0.052947	0.0529298	0.0528992	0.052876	0.0530423	0.0528558	0.0528539	0.0528501	0.052845	0.0528417	0.0519405	0.0506454	0.0472371	0.0416046	0.0375476	0.0348901	0.0337177	0.0310084	0.030385	0.0289302	0.0258898	0.0203127	0.0129216	0.0515321	0.0135745	0.022144	0.0115067	0.0113009	0.0109821	0.0107864	0.0103555	0.00949605	

108	0.047	1	0	task-3:0.456	task-0:0.148	task-1:0.118	task-2:0.468	|	0.0622306	0.060275	0.0569909	0.0560695	0.0552303	0.0539431	0.0530265	0.0593489	0.0529672	0.0529606	0.0529557	0.052947	0.0529298	0.0528992	0.052876	0.0530423	0.0528558	0.0528539	0.0528501	0.052845	0.0528417	0.0519405	0.0506454	0.0472371	0.0416046	0.0375476	0.0348901	0.0337177	0.0310084	0.030385	0.0289302	0.0258898	0.0203127	0.0129216	0.0515321	0.0135745	0.022144	0.0115067	0.0113009	0.0109821	0.0107864	0.0103555	0.00949605	

