154	0	1	0	task-0:0.146	|	0.241902	0.23683	0.226326	0.219481	0.21676	0.225178	0.213516	0.212814	0.211978	0.210144	0.209081	0.21111	0.207526	0.207166	0.206384	0.205376	0.204216	0.20734	0.203557	0.203165	0.202832	0.202182	0.201112	0.204641	0.200878	0.200625	0.200367	0.199833	0.199113	0.201873	0.198905	0.198757	0.198615	0.198303	0.198026	0.199921	0.197802	0.197676	0.19748	0.197078	0.173951	0.167339	0.157785	0.154805	0.147798	0.138217	0.127366	0.120956	0.112237	0.104047	0.0996832	0.0972776	0.093978	0.0902651	0.0857437	0.0758086	0.059551	0.0488935	0.219005	0.0564144	0.292046	0.0604065	0.262433	0.161587	0.312227	0.0796281	0.29978	0.179731	0.282566	0.0304434	0.0296091	0.0275573	0.0244865	0.0235156	0.0315362	0.0224102	0.0222546	0.0218335	0.0210089	0.0198424	0.0239135	0.0196573	0.0189595	0.0188095	0.0183738	0.0175886	0.0172219	0.0175017	0.0166745	0.0165385	0.0163254	0.0159688	0.0157227	0.015659	0.0153495	0.0152158	0.01491	0.0143152	0.013877	0.0158161	0.0132723	0.0131788	0.0129763	0.0125817	0.0120477	0.0127058	0.0119149	0.0113813	0.0113138	0.0112121	0.0110527	0.0108325	0.0107307	0.0106096	0.0103691	0.0101493	0.010006	0.00986191	

116	0.016	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0.046	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0.032	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0.015	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

116	0.047	1	0	task-0:0.25	|	0.230412	0.229219	0.227787	0.225558	0.223889	0.220776	0.219923	0.228692	0.214334	0.213677	0.212286	0.211699	0.210892	0.210304	0.210174	0.209425	0.209029	0.208423	0.207831	0.20658	0.206314	0.206555	0.20478	0.20454	0.203988	0.203485	0.202805	0.203169	0.202499	0.202177	0.201838	0.201092	0.201179	0.202247	0.199986	0.199794	0.199635	0.199401	0.199076	0.198819	0.199202	0.198496	0.198365	0.198213	0.19796	0.197728	0.197971	0.172564	0.168461	0.153311	0.136754	0.115848	0.087383	0.057076	0.0482087	0.0397289	0.0362384	0.0330319	0.0267519	0.0181889	0.00835256	

