115	0.062	1	0	task-3:0.068	task-0:0.144	task-1:0.24	task-2:0.13	|	0.0568823	0.0562898	0.0555737	0.0554774	0.0552963	0.0549463	0.054485	0.0537894	0.0567883	0.0539449	0.0534739	0.0534425	0.0533793	0.0532765	0.0531592	0.05325	0.0531267	0.0531186	0.0531061	0.0530925	0.053063	0.0530102	0.052464	0.051492	0.0491826	0.0456268	0.0423313	0.037694	0.0338718	0.0337673	0.0305077	0.029117	0.0265094	0.0234925	0.0231567	0.0221366	0.0197946	0.0189387	0.0186515	0.0182424	0.0178292	0.0170967	0.0157674	0.0144856	0.0134093	0.0150757	0.0127711	0.0122268	0.0119883	0.0115083	0.0106229	0.00917687	

104	0.063	1	0	task-3:0.048	task-0:0.128	task-1:0.214	task-2:0.124	|	0.0634596	0.0601582	0.0541215	0.0538428	0.0537251	0.0536946	0.0536524	0.0535647	0.0534195	0.0531734	0.0528855	0.053463	0.0547145	0.0528216	0.0528195	0.0528178	0.0528154	0.0528116	0.0528111	0.0528106	0.0528102	0.0528107	0.0528138	0.0528107	0.0528107	0.0528107	0.0522444	0.051392	0.049208	0.0456118	0.0418273	0.0374779	0.0359374	0.0331355	0.0319175	0.0305065	0.0286582	0.0267811	0.0249688	0.0238564	0.0232824	0.0225711	0.0211108	0.0189214	0.0164463	0.017453	0.0141138	0.012709	0.0122257	0.011986	0.0114886	0.0106668	0.00955147	

91	0.047	1	0	task-3:0.028	task-0:0.13	task-1:0.234	task-2:0.136	|	0.0584098	0.0569836	0.0550353	0.0547006	0.0541839	0.0537473	0.0535244	0.0534272	0.0533893	0.0533449	0.053309	0.0532447	0.0531632	0.0531181	0.0531111	0.0530757	0.0530648	0.0530483	0.0524766	0.0515669	0.0491177	0.0447133	0.039399	0.0345922	0.0336968	0.0326543	0.0312882	0.0294282	0.0273357	0.0247918	0.023193	0.022041	0.0212844	0.0202314	0.0196711	0.0185763	0.016706	0.0143075	0.0160871	0.0136648	0.0132582	0.0126503	0.0122616	0.0116152	0.0104977	0.00903424	

91	0.063	1	0	task-3:0.028	task-0:0.13	task-1:0.234	task-2:0.136	|	0.0584098	0.0569836	0.0550353	0.0547006	0.0541839	0.0537473	0.0535244	0.0534272	0.0533893	0.0533449	0.053309	0.0532447	0.0531632	0.0531181	0.0531111	0.0530757	0.0530648	0.0530483	0.0524766	0.0515669	0.0491177	0.0447133	0.039399	0.0345922	0.0336968	0.0326543	0.0312882	0.0294282	0.0273357	0.0247918	0.023193	0.022041	0.0212844	0.0202314	0.0196711	0.0185763	0.016706	0.0143075	0.0160871	0.0136648	0.0132582	0.0126503	0.0122616	0.0116152	0.0104977	0.00903424	

91	0.062	1	0	task-3:0.028	task-0:0.13	task-1:0.234	task-2:0.136	|	0.0584098	0.0569836	0.0550353	0.0547006	0.0541839	0.0537473	0.0535244	0.0534272	0.0533893	0.0533449	0.053309	0.0532447	0.0531632	0.0531181	0.0531111	0.0530757	0.0530648	0.0530483	0.0524766	0.0515669	0.0491177	0.0447133	0.039399	0.0345922	0.0336968	0.0326543	0.0312882	0.0294282	0.0273357	0.0247918	0.023193	0.022041	0.0212844	0.0202314	0.0196711	0.0185763	0.016706	0.0143075	0.0160871	0.0136648	0.0132582	0.0126503	0.0122616	0.0116152	0.0104977	0.00903424	

91	0.047	1	0	task-3:0.028	task-0:0.13	task-1:0.234	task-2:0.136	|	0.0584098	0.0569836	0.0550353	0.0547006	0.0541839	0.0537473	0.0535244	0.0534272	0.0533893	0.0533449	0.053309	0.0532447	0.0531632	0.0531181	0.0531111	0.0530757	0.0530648	0.0530483	0.0524766	0.0515669	0.0491177	0.0447133	0.039399	0.0345922	0.0336968	0.0326543	0.0312882	0.0294282	0.0273357	0.0247918	0.023193	0.022041	0.0212844	0.0202314	0.0196711	0.0185763	0.016706	0.0143075	0.0160871	0.0136648	0.0132582	0.0126503	0.0122616	0.0116152	0.0104977	0.00903424	

