128	0.063	1	0	task-3:0.456	task-0:0.16	task-1:0.164	task-2:0.468	|	0.0568823	0.0562898	0.0555737	0.0554774	0.0552963	0.0549463	0.054485	0.0537894	0.0567883	0.0539449	0.0534739	0.0534425	0.0533793	0.0532765	0.0531592	0.05325	0.0531267	0.0531186	0.0531061	0.0530925	0.053063	0.0530102	0.0521605	0.0511135	0.0485107	0.0443892	0.0412537	0.0383736	0.036662	0.0356214	0.0336188	0.030158	0.0263824	0.0286554	0.0240938	0.0231556	0.0225762	0.0214455	0.0195113	0.0193198	0.0182631	0.0172162	0.0169135	0.0165806	0.016114	0.0155157	0.0148093	0.0139514	0.0132913	0.0129175	0.01278	0.0123892	0.0115413	0.0100235	0.010526	0.0123915	0.00823254	

108	0.062	1	0	task-3:0.46	task-0:0.232	task-1:0.186	task-2:0.472	|	0.0615561	0.0589529	0.0559313	0.0557713	0.0554242	0.0548052	0.0540723	0.0563167	0.0539141	0.0537062	0.0536846	0.0536331	0.0535292	0.0533875	0.0534768	0.0534421	0.0532805	0.0532641	0.0532277	0.0531574	0.0530552	0.051887	0.051465	0.0462699	0.0409053	0.0332788	0.0279329	0.0257954	0.0240311	0.0208172	0.0160316	0.0102308	0.00802099	

108	0.047	1	0	task-3:0.46	task-0:0.232	task-1:0.186	task-2:0.472	|	0.0615561	0.0589529	0.0559313	0.0557713	0.0554242	0.0548052	0.0540723	0.0563167	0.0539141	0.0537062	0.0536846	0.0536331	0.0535292	0.0533875	0.0534768	0.0534421	0.0532805	0.0532641	0.0532277	0.0531574	0.0530552	0.051887	0.051465	0.0462699	0.0409053	0.0332788	0.0279329	0.0257954	0.0240311	0.0208172	0.0160316	0.0102308	0.00802099	

108	0.047	1	0	task-3:0.46	task-0:0.232	task-1:0.186	task-2:0.472	|	0.0615561	0.0589529	0.0559313	0.0557713	0.0554242	0.0548052	0.0540723	0.0563167	0.0539141	0.0537062	0.0536846	0.0536331	0.0535292	0.0533875	0.0534768	0.0534421	0.0532805	0.0532641	0.0532277	0.0531574	0.0530552	0.051887	0.051465	0.0462699	0.0409053	0.0332788	0.0279329	0.0257954	0.0240311	0.0208172	0.0160316	0.0102308	0.00802099	

108	0.062	1	0	task-3:0.46	task-0:0.232	task-1:0.186	task-2:0.472	|	0.0615561	0.0589529	0.0559313	0.0557713	0.0554242	0.0548052	0.0540723	0.0563167	0.0539141	0.0537062	0.0536846	0.0536331	0.0535292	0.0533875	0.0534768	0.0534421	0.0532805	0.0532641	0.0532277	0.0531574	0.0530552	0.051887	0.051465	0.0462699	0.0409053	0.0332788	0.0279329	0.0257954	0.0240311	0.0208172	0.0160316	0.0102308	0.00802099	

108	0.063	1	0	task-3:0.46	task-0:0.232	task-1:0.186	task-2:0.472	|	0.0615561	0.0589529	0.0559313	0.0557713	0.0554242	0.0548052	0.0540723	0.0563167	0.0539141	0.0537062	0.0536846	0.0536331	0.0535292	0.0533875	0.0534768	0.0534421	0.0532805	0.0532641	0.0532277	0.0531574	0.0530552	0.051887	0.051465	0.0462699	0.0409053	0.0332788	0.0279329	0.0257954	0.0240311	0.0208172	0.0160316	0.0102308	0.00802099	
