40	0.094	16	0	task-3:0.47	task-0:0.378	task-1:0.25	task-2:0.52	|	0.0673154	0.0999527	0.0998674	0.0922318	0.0571846	0.0611638	0.054156	0.0543424	0.0562367	0.0575566	0.0564979	0.0548637	0.0547921	0.0549118	0.0546122	0.0548414	0.054977	0.0553204	0.0577051	0.0581896	0.0572017	0.074434	0.0582175	0.0534052	0.0537142	0.0517808	0.0482639	0.0518895	0.0492989	0.0451876	0.0452673	0.0440627	0.0429408	0.0430149	0.0424006	0.0417355	0.0410328	0.0405801	0.0403546	0.0398241	

47	0.094	16	0	task-3:0.492	task-0:0.216	task-1:0.214	task-2:0.494	|	0.0815259	0.0992831	0.0977795	0.069353	0.0694362	0.0661394	0.0544241	0.0618897	0.0633966	0.0589992	0.0555339	0.0548443	0.0549804	0.0547349	0.0546189	0.0546294	0.0545071	0.0541442	0.0534857	0.0522905	0.0509183	0.0500467	0.0495696	0.0494805	0.0496114	0.0487796	0.0490264	0.0485873	0.0486392	0.0483859	0.0479673	0.0479586	0.0478203	0.0477381	0.0474658	0.0467754	0.0462526	0.0455737	0.0448921	0.0441958	0.044018	0.0437057	0.0435507	0.0435331	0.0431719	0.041098	0.0363639	

28	0.062	16	0	task-3:0.406	task-0:0.362	task-1:0.382	task-2:0.226	|	0.0646003	0.0985724	0.093724	0.0568265	0.0800685	0.0712561	0.0572046	0.0546035	0.054555	0.054958	0.0549555	0.0546005	0.0545286	0.0545055	0.0549646	0.0642323	0.0595325	0.0558389	0.0579655	0.0554101	0.0537715	0.0532833	0.0510376	0.0481554	0.0441139	0.0438714	0.0420035	0.0395649	

28	0.063	16	0	task-3:0.406	task-0:0.362	task-1:0.382	task-2:0.226	|	0.0646003	0.0985724	0.093724	0.0568265	0.0800685	0.0712561	0.0572046	0.0546035	0.054555	0.054958	0.0549555	0.0546005	0.0545286	0.0545055	0.0549646	0.0642323	0.0595325	0.0558389	0.0579655	0.0554101	0.0537715	0.0532833	0.0510376	0.0481554	0.0441139	0.0438714	0.0420035	0.0395649	

28	0.046	16	0	task-3:0.406	task-0:0.362	task-1:0.382	task-2:0.226	|	0.0646003	0.0985724	0.093724	0.0568265	0.0800685	0.0712561	0.0572046	0.0546035	0.054555	0.054958	0.0549555	0.0546005	0.0545286	0.0545055	0.0549646	0.0642323	0.0595325	0.0558389	0.0579655	0.0554101	0.0537715	0.0532833	0.0510376	0.0481554	0.0441139	0.0438714	0.0420035	0.0395649	

14	0.032	16	0	task-3:0.45	task-0:0.356	task-1:0.276	task-2:0.494	|	0.0871293	0.099989	0.0999797	0.0972351	0.0532903	0.0859814	0.0799962	0.0574592	0.0548035	0.0536027	0.0495076	0.0456697	0.0412289	0.0331847	

29	0.047	16	0	task-3:0.402	task-0:0.416	task-1:0.35	task-2:0.47	|	0.0774462	0.0998328	0.0995116	0.0804552	0.0638775	0.0601129	0.0569609	0.0559407	0.0544638	0.0537631	0.053223	0.0530744	0.0527679	0.0522131	0.0516954	0.0536137	0.053608	0.0511297	0.0508268	0.0753421	0.0466289	0.0449199	0.0442122	0.0421616	0.042409	0.0422639	0.0447433	0.0423688	0.0384354	

14	0.031	16	0	task-3:0.45	task-0:0.356	task-1:0.276	task-2:0.494	|	0.0871293	0.099989	0.0999797	0.0972351	0.0532903	0.0859814	0.0799962	0.0574592	0.0548035	0.0536027	0.0495076	0.0456697	0.0412289	0.0331847	

29	0.063	16	0	task-3:0.402	task-0:0.416	task-1:0.35	task-2:0.47	|	0.0774462	0.0998328	0.0995116	0.0804552	0.0638775	0.0601129	0.0569609	0.0559407	0.0544638	0.0537631	0.053223	0.0530744	0.0527679	0.0522131	0.0516954	0.0536137	0.053608	0.0511297	0.0508268	0.0753421	0.0466289	0.0449199	0.0442122	0.0421616	0.042409	0.0422639	0.0447433	0.0423688	0.0384354	

14	0.031	16	0	task-3:0.45	task-0:0.356	task-1:0.276	task-2:0.494	|	0.0871293	0.099989	0.0999797	0.0972351	0.0532903	0.0859814	0.0799962	0.0574592	0.0548035	0.0536027	0.0495076	0.0456697	0.0412289	0.0331847	

29	0.047	16	0	task-3:0.402	task-0:0.416	task-1:0.35	task-2:0.47	|	0.0774462	0.0998328	0.0995116	0.0804552	0.0638775	0.0601129	0.0569609	0.0559407	0.0544638	0.0537631	0.053223	0.0530744	0.0527679	0.0522131	0.0516954	0.0536137	0.053608	0.0511297	0.0508268	0.0753421	0.0466289	0.0449199	0.0442122	0.0421616	0.042409	0.0422639	0.0447433	0.0423688	0.0384354	

14	0.031	16	0	task-3:0.45	task-0:0.356	task-1:0.276	task-2:0.494	|	0.0871293	0.099989	0.0999797	0.0972351	0.0532903	0.0859814	0.0799962	0.0574592	0.0548035	0.0536027	0.0495076	0.0456697	0.0412289	0.0331847	

29	0.062	16	0	task-3:0.402	task-0:0.416	task-1:0.35	task-2:0.47	|	0.0774462	0.0998328	0.0995116	0.0804552	0.0638775	0.0601129	0.0569609	0.0559407	0.0544638	0.0537631	0.053223	0.0530744	0.0527679	0.0522131	0.0516954	0.0536137	0.053608	0.0511297	0.0508268	0.0753421	0.0466289	0.0449199	0.0442122	0.0421616	0.042409	0.0422639	0.0447433	0.0423688	0.0384354	

14	0.032	16	0	task-3:0.45	task-0:0.356	task-1:0.276	task-2:0.494	|	0.0871293	0.099989	0.0999797	0.0972351	0.0532903	0.0859814	0.0799962	0.0574592	0.0548035	0.0536027	0.0495076	0.0456697	0.0412289	0.0331847	

29	0.062	16	0	task-3:0.402	task-0:0.416	task-1:0.35	task-2:0.47	|	0.0774462	0.0998328	0.0995116	0.0804552	0.0638775	0.0601129	0.0569609	0.0559407	0.0544638	0.0537631	0.053223	0.0530744	0.0527679	0.0522131	0.0516954	0.0536137	0.053608	0.0511297	0.0508268	0.0753421	0.0466289	0.0449199	0.0442122	0.0421616	0.042409	0.0422639	0.0447433	0.0423688	0.0384354	

14	0.016	16	0	task-3:0.45	task-0:0.356	task-1:0.276	task-2:0.494	|	0.0871293	0.099989	0.0999797	0.0972351	0.0532903	0.0859814	0.0799962	0.0574592	0.0548035	0.0536027	0.0495076	0.0456697	0.0412289	0.0331847	

