73	0.047	1	0	task-0:0.47	|	0.231702	0.279749	0.279749	0.233556	0.240679	0.240679	0.222827	0.236674	0.235936	0.224393	0.222891	0.222647	0.220264	0.220446	0.218717	0.216039	0.213689	0.211034	0.207975	0.205118	0.202329	0.199864	0.198059	0.197049	0.19216	0.184332	0.178274	0.173184	0.171393	0.171496	0.172863	0.171466	0.168872	0.166834	0.165866	0.167109	0.17227	0.180127	0.190407	0.202114	0.208198	0.208083	0.212469	0.208812	0.202625	0.205565	0.205565	0.202585	0.202962	0.202962	0.202278	0.201403	0.200015	0.198354	0.196367	0.193998	0.191877	0.18921	0.187103	0.185925	0.186636	0.186563	0.186291	0.186291	0.186354	0.186354	0.186304	0.186279	0.186273	0.186274	0.186267	0.186251	0.186235	

56	0.015	1	0	task-0:0.47	|	0.240517	0.237768	0.236678	0.222799	0.23568	0.235679	0.224108	0.223569	0.223569	0.222227	0.222227	0.222531	0.222531	0.222283	0.22224	0.22224	0.222225	0.222226	0.222224	0.222224	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	0.222201	0.221662	0.211068	0.215094	0.221894	0.222108	0.222092	0.222036	0.221868	0.22129	0.218795	0.220944	0.220731	0.220035	0.218133	0.220676	0.220927	0.220938	0.220663	0.219826	0.221362	0.221588	0.221692	0.221699	0.221591	

71	0.031	1	0	task-0:0.47	|	0.239371	0.272723	0.272723	0.227965	0.250612	0.250612	0.224886	0.230182	0.229475	0.221768	0.226395	0.2263	0.221079	0.218385	0.216193	0.212444	0.20803	0.202639	0.196927	0.191255	0.186219	0.182612	0.177003	0.172547	0.168381	0.165984	0.162731	0.160983	0.160788	0.162983	0.166024	0.170044	0.176372	0.185065	0.196997	0.245185	0.228607	0.240709	0.240709	0.213729	0.213492	0.207907	0.208281	0.208281	0.20636	0.205616	0.20475	0.203566	0.202222	0.200705	0.199977	0.199326	0.19851	0.197491	0.196394	0.195264	0.194082	0.194488	0.193731	0.19393	0.194528	0.194571	0.195028	0.195697	0.195784	0.196044	0.196292	0.196637	0.197123	0.197316	0.197422	

56	0.016	1	0	task-0:0.47	|	0.240517	0.237768	0.236678	0.222799	0.23568	0.235679	0.224108	0.223569	0.223569	0.222227	0.222227	0.222531	0.222531	0.222283	0.22224	0.22224	0.222225	0.222226	0.222224	0.222224	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	0.222201	0.221662	0.211068	0.215094	0.221894	0.222108	0.222092	0.222036	0.221868	0.22129	0.218795	0.220944	0.220731	0.220035	0.218133	0.220676	0.220927	0.220938	0.220663	0.219826	0.221362	0.221588	0.221692	0.221699	0.221591	

71	0.031	1	0	task-0:0.47	|	0.239371	0.272723	0.272723	0.227965	0.250612	0.250612	0.224886	0.230182	0.229475	0.221768	0.226395	0.2263	0.221079	0.218385	0.216193	0.212444	0.20803	0.202639	0.196927	0.191255	0.186219	0.182612	0.177003	0.172547	0.168381	0.165984	0.162731	0.160983	0.160788	0.162983	0.166024	0.170044	0.176372	0.185065	0.196997	0.245185	0.228607	0.240709	0.240709	0.213729	0.213492	0.207907	0.208281	0.208281	0.20636	0.205616	0.20475	0.203566	0.202222	0.200705	0.199977	0.199326	0.19851	0.197491	0.196394	0.195264	0.194082	0.194488	0.193731	0.19393	0.194528	0.194571	0.195028	0.195697	0.195784	0.196044	0.196292	0.196637	0.197123	0.197316	0.197422	

71	0.016	1	0	task-0:0.47	|	0.239371	0.272723	0.272723	0.227965	0.250612	0.250612	0.224886	0.230182	0.229475	0.221768	0.226395	0.2263	0.221079	0.218385	0.216193	0.212444	0.20803	0.202639	0.196927	0.191255	0.186219	0.182612	0.177003	0.172547	0.168381	0.165984	0.162731	0.160983	0.160788	0.162983	0.166024	0.170044	0.176372	0.185065	0.196997	0.245185	0.228607	0.240709	0.240709	0.213729	0.213492	0.207907	0.208281	0.208281	0.20636	0.205616	0.20475	0.203566	0.202222	0.200705	0.199977	0.199326	0.19851	0.197491	0.196394	0.195264	0.194082	0.194488	0.193731	0.19393	0.194528	0.194571	0.195028	0.195697	0.195784	0.196044	0.196292	0.196637	0.197123	0.197316	0.197422	

71	0.031	1	0	task-0:0.47	|	0.239371	0.272723	0.272723	0.227965	0.250612	0.250612	0.224886	0.230182	0.229475	0.221768	0.226395	0.2263	0.221079	0.218385	0.216193	0.212444	0.20803	0.202639	0.196927	0.191255	0.186219	0.182612	0.177003	0.172547	0.168381	0.165984	0.162731	0.160983	0.160788	0.162983	0.166024	0.170044	0.176372	0.185065	0.196997	0.245185	0.228607	0.240709	0.240709	0.213729	0.213492	0.207907	0.208281	0.208281	0.20636	0.205616	0.20475	0.203566	0.202222	0.200705	0.199977	0.199326	0.19851	0.197491	0.196394	0.195264	0.194082	0.194488	0.193731	0.19393	0.194528	0.194571	0.195028	0.195697	0.195784	0.196044	0.196292	0.196637	0.197123	0.197316	0.197422	

56	0.016	1	0	task-0:0.47	|	0.240517	0.237768	0.236678	0.222799	0.23568	0.235679	0.224108	0.223569	0.223569	0.222227	0.222227	0.222531	0.222531	0.222283	0.22224	0.22224	0.222225	0.222226	0.222224	0.222224	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	0.222201	0.221662	0.211068	0.215094	0.221894	0.222108	0.222092	0.222036	0.221868	0.22129	0.218795	0.220944	0.220731	0.220035	0.218133	0.220676	0.220927	0.220938	0.220663	0.219826	0.221362	0.221588	0.221692	0.221699	0.221591	

71	0.031	1	0	task-0:0.47	|	0.239371	0.272723	0.272723	0.227965	0.250612	0.250612	0.224886	0.230182	0.229475	0.221768	0.226395	0.2263	0.221079	0.218385	0.216193	0.212444	0.20803	0.202639	0.196927	0.191255	0.186219	0.182612	0.177003	0.172547	0.168381	0.165984	0.162731	0.160983	0.160788	0.162983	0.166024	0.170044	0.176372	0.185065	0.196997	0.245185	0.228607	0.240709	0.240709	0.213729	0.213492	0.207907	0.208281	0.208281	0.20636	0.205616	0.20475	0.203566	0.202222	0.200705	0.199977	0.199326	0.19851	0.197491	0.196394	0.195264	0.194082	0.194488	0.193731	0.19393	0.194528	0.194571	0.195028	0.195697	0.195784	0.196044	0.196292	0.196637	0.197123	0.197316	0.197422	

56	0.016	1	0	task-0:0.47	|	0.240517	0.237768	0.236678	0.222799	0.23568	0.235679	0.224108	0.223569	0.223569	0.222227	0.222227	0.222531	0.222531	0.222283	0.22224	0.22224	0.222225	0.222226	0.222224	0.222224	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222221	0.222201	0.221662	0.211068	0.215094	0.221894	0.222108	0.222092	0.222036	0.221868	0.22129	0.218795	0.220944	0.220731	0.220035	0.218133	0.220676	0.220927	0.220938	0.220663	0.219826	0.221362	0.221588	0.221692	0.221699	0.221591	

56	0.031	1	0	task-0:0.47	|	0.228526	0.286862	0.275531	0.211569	0.241243	0.241243	0.212104	0.207867	0.205006	0.195579	0.189772	0.184037	0.177032	0.171829	0.168694	0.166568	0.165388	0.165616	0.167307	0.169396	0.173128	0.17717	0.181752	0.187318	0.193878	0.202676	0.201593	0.202418	0.202418	0.199948	0.1992	0.19821	0.198034	0.198034	0.197953	0.197639	0.197405	0.197353	0.197135	0.197017	0.196776	0.19661	0.196365	0.196075	0.195736	0.19567	0.195523	0.195575	0.195693	0.195841	0.195912	0.196046	0.196094	0.1962	0.196257	0.196287	

73	0.016	1	0	task-0:0.47	|	0.234648	0.275766	0.275766	0.231952	0.243213	0.243213	0.224992	0.234341	0.233614	0.224626	0.22555	0.225413	0.222352	0.221649	0.220432	0.218703	0.217193	0.214839	0.211923	0.209103	0.206499	0.204224	0.202484	0.201357	0.200812	0.200863	0.201496	0.202584	0.203921	0.205265	0.206758	0.207717	0.208149	0.208295	0.208326	0.208333	0.208334	0.208333	0.208353	0.210931	0.2157	0.218118	0.219487	0.220078	0.220049	0.219325	0.21743	0.213363	0.213131	0.214162	0.214187	0.213014	0.220616	0.220907	0.219997	0.217641	0.212209	0.218045	0.218279	0.217693	0.215845	0.214596	0.219946	0.220825	0.221128	0.221167	0.220931	0.220185	0.218072	0.220875	0.221132	0.221151	0.220902	

