93	0.047	1	0	task-3:0.456	task-0:0.154	task-1:0.13	task-2:0.474	|	0.0573498	0.0561176	0.0545314	0.0543955	0.0541414	0.053775	0.0535949	0.0538998	0.0533846	0.0533645	0.0533305	0.0532854	0.0532559	0.0532128	0.0531361	0.0531053	0.0530964	0.0530448	0.0530359	0.053021	0.0529945	0.0520983	0.0508402	0.0477828	0.0446094	0.0420094	0.0382313	0.0354994	0.0342042	0.0328007	0.0318439	0.0305036	0.0277898	0.0230326	0.0256241	0.0206237	0.0191098	0.0187825	0.0180071	0.0165139	0.016563	0.0154193	0.0146242	0.0143615	0.0140219	0.0135015	0.0128642	0.0121064	0.0108482	0.00938126	

267	0.125	1	0	task-3:0.124	task-0:0.422	task-1:0.438	task-2:0.036	|	0.0690366	0.0637804	0.0559939	0.0557661	0.0555215	0.0551773	0.0548931	0.0543458	0.0536892	0.0543149	0.0536288	0.0534469	0.053434	0.0533965	0.0533173	0.0531851	0.0530008	0.052919	0.055745	0.0528626	0.0528596	0.0528544	0.0528451	0.0528336	0.0528731	0.0528429	0.0528277	0.0528274	0.0528266	0.0528247	0.0528213	0.0528157	0.0523975	0.0518949	0.0507588	0.0491553	0.0467586	0.0448228	0.0423433	0.0389281	0.0393529	0.0395056	0.0350672	0.0345251	0.0340928	0.0332625	0.0319887	0.0298418	0.027447	0.0473329	0.0264529	0.0262353	0.0262061	0.0261121	0.0259372	0.0257509	0.0255044	0.0252541	0.0247664	0.0239583	0.0246157	0.0237707	0.0230459	0.0229736	0.0228094	0.0225001	0.0221509	0.0219258	0.0218004	0.0215982	0.0214935	0.0213696	0.0211326	0.0208517	0.0207859	0.0206297	0.0205438	0.0203699	0.0200938	0.0197371	0.0202113	0.0195143	0.0194539	0.0193256	0.0190859	0.018849	0.0186857	0.0186104	0.0184934	0.0184276	0.0183745	0.0183179	0.0182298	0.0181362	0.0180578	0.0179858	0.0178468	0.0177283	0.0174794	0.0169971	0.017144	0.0194933	0.0163184	0.0162	0.0161782	0.0161432	0.0161144	0.016065	0.0159877	0.0159274	0.0158175	0.0156605	0.015657	0.0155942	0.0155383	0.015468	0.0153401	0.0151086	0.0147922	0.0168547	0.0145777	0.014537	0.0145196	0.0144669	0.0143579	0.0141667	0.0140764	0.0145086	0.013838	0.013805	0.0137451	0.0136186	0.0135748	0.0135023	0.0133747	0.0133756	0.0132367	0.0132141	0.0132243	0.013195	0.0131487	0.0130955	0.0130611	0.0130219	0.012927	0.0128541	0.0127187	0.01268	0.0126716	0.0125129	0.0124771	0.0124392	0.0123669	0.0122375	0.012087	0.0126371	0.0119821	0.0119621	0.0119249	0.0118437	0.011702	0.0117746	0.0115932	0.011553	0.0115457	0.0115141	0.0114458	0.0113087	0.0110454	0.0116873	0.0113627	0.010783	0.010759	0.0107103	0.010625	0.01055	0.0105019	0.010464	0.0104545	0.0104473	0.0104241	0.0103731	0.0102684	0.0100608	0.00966287	

90	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.156	task-2:0.474	|	0.0550609	0.0550252	0.0549329	0.0547792	0.0545972	0.0543525	0.0541414	0.0540712	0.053997	0.0539275	0.0538598	0.0537139	0.0534436	0.0530543	0.0552036	0.0555146	0.0528572	0.0528512	0.0528471	0.0528404	0.0528313	0.0528432	0.0528334	0.0528252	0.052825	0.0528243	0.0528227	0.0528221	0.0528216	0.0520751	0.0510143	0.0482542	0.0436035	0.0387884	0.0348342	0.0332773	0.0303558	0.0269379	0.0223435	0.0186725	0.014835	0.0153062	0.0119906	0.0111901	0.0102534	0.00886101	

267	0.125	1	0	task-3:0.124	task-0:0.422	task-1:0.438	task-2:0.036	|	0.0690366	0.0637804	0.0559939	0.0557661	0.0555215	0.0551773	0.0548931	0.0543458	0.0536892	0.0543149	0.0536288	0.0534469	0.053434	0.0533965	0.0533173	0.0531851	0.0530008	0.052919	0.055745	0.0528626	0.0528596	0.0528544	0.0528451	0.0528336	0.0528731	0.0528429	0.0528277	0.0528274	0.0528266	0.0528247	0.0528213	0.0528157	0.0523975	0.0518949	0.0507588	0.0491553	0.0467586	0.0448228	0.0423433	0.0389281	0.0393529	0.0395056	0.0350672	0.0345251	0.0340928	0.0332625	0.0319887	0.0298418	0.027447	0.0473329	0.0264529	0.0262353	0.0262061	0.0261121	0.0259372	0.0257509	0.0255044	0.0252541	0.0247664	0.0239583	0.0246157	0.0237707	0.0230459	0.0229736	0.0228094	0.0225001	0.0221509	0.0219258	0.0218004	0.0215982	0.0214935	0.0213696	0.0211326	0.0208517	0.0207859	0.0206297	0.0205438	0.0203699	0.0200938	0.0197371	0.0202113	0.0195143	0.0194539	0.0193256	0.0190859	0.018849	0.0186857	0.0186104	0.0184934	0.0184276	0.0183745	0.0183179	0.0182298	0.0181362	0.0180578	0.0179858	0.0178468	0.0177283	0.0174794	0.0169971	0.017144	0.0194933	0.0163184	0.0162	0.0161782	0.0161432	0.0161144	0.016065	0.0159877	0.0159274	0.0158175	0.0156605	0.015657	0.0155942	0.0155383	0.015468	0.0153401	0.0151086	0.0147922	0.0168547	0.0145777	0.014537	0.0145196	0.0144669	0.0143579	0.0141667	0.0140764	0.0145086	0.013838	0.013805	0.0137451	0.0136186	0.0135748	0.0135023	0.0133747	0.0133756	0.0132367	0.0132141	0.0132243	0.013195	0.0131487	0.0130955	0.0130611	0.0130219	0.012927	0.0128541	0.0127187	0.01268	0.0126716	0.0125129	0.0124771	0.0124392	0.0123669	0.0122375	0.012087	0.0126371	0.0119821	0.0119621	0.0119249	0.0118437	0.011702	0.0117746	0.0115932	0.011553	0.0115457	0.0115141	0.0114458	0.0113087	0.0110454	0.0116873	0.0113627	0.010783	0.010759	0.0107103	0.010625	0.01055	0.0105019	0.010464	0.0104545	0.0104473	0.0104241	0.0103731	0.0102684	0.0100608	0.00966287	

267	0.125	1	0	task-3:0.124	task-0:0.422	task-1:0.438	task-2:0.036	|	0.0690366	0.0637804	0.0559939	0.0557661	0.0555215	0.0551773	0.0548931	0.0543458	0.0536892	0.0543149	0.0536288	0.0534469	0.053434	0.0533965	0.0533173	0.0531851	0.0530008	0.052919	0.055745	0.0528626	0.0528596	0.0528544	0.0528451	0.0528336	0.0528731	0.0528429	0.0528277	0.0528274	0.0528266	0.0528247	0.0528213	0.0528157	0.0523975	0.0518949	0.0507588	0.0491553	0.0467586	0.0448228	0.0423433	0.0389281	0.0393529	0.0395056	0.0350672	0.0345251	0.0340928	0.0332625	0.0319887	0.0298418	0.027447	0.0473329	0.0264529	0.0262353	0.0262061	0.0261121	0.0259372	0.0257509	0.0255044	0.0252541	0.0247664	0.0239583	0.0246157	0.0237707	0.0230459	0.0229736	0.0228094	0.0225001	0.0221509	0.0219258	0.0218004	0.0215982	0.0214935	0.0213696	0.0211326	0.0208517	0.0207859	0.0206297	0.0205438	0.0203699	0.0200938	0.0197371	0.0202113	0.0195143	0.0194539	0.0193256	0.0190859	0.018849	0.0186857	0.0186104	0.0184934	0.0184276	0.0183745	0.0183179	0.0182298	0.0181362	0.0180578	0.0179858	0.0178468	0.0177283	0.0174794	0.0169971	0.017144	0.0194933	0.0163184	0.0162	0.0161782	0.0161432	0.0161144	0.016065	0.0159877	0.0159274	0.0158175	0.0156605	0.015657	0.0155942	0.0155383	0.015468	0.0153401	0.0151086	0.0147922	0.0168547	0.0145777	0.014537	0.0145196	0.0144669	0.0143579	0.0141667	0.0140764	0.0145086	0.013838	0.013805	0.0137451	0.0136186	0.0135748	0.0135023	0.0133747	0.0133756	0.0132367	0.0132141	0.0132243	0.013195	0.0131487	0.0130955	0.0130611	0.0130219	0.012927	0.0128541	0.0127187	0.01268	0.0126716	0.0125129	0.0124771	0.0124392	0.0123669	0.0122375	0.012087	0.0126371	0.0119821	0.0119621	0.0119249	0.0118437	0.011702	0.0117746	0.0115932	0.011553	0.0115457	0.0115141	0.0114458	0.0113087	0.0110454	0.0116873	0.0113627	0.010783	0.010759	0.0107103	0.010625	0.01055	0.0105019	0.010464	0.0104545	0.0104473	0.0104241	0.0103731	0.0102684	0.0100608	0.00966287	

90	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.156	task-2:0.474	|	0.0550609	0.0550252	0.0549329	0.0547792	0.0545972	0.0543525	0.0541414	0.0540712	0.053997	0.0539275	0.0538598	0.0537139	0.0534436	0.0530543	0.0552036	0.0555146	0.0528572	0.0528512	0.0528471	0.0528404	0.0528313	0.0528432	0.0528334	0.0528252	0.052825	0.0528243	0.0528227	0.0528221	0.0528216	0.0520751	0.0510143	0.0482542	0.0436035	0.0387884	0.0348342	0.0332773	0.0303558	0.0269379	0.0223435	0.0186725	0.014835	0.0153062	0.0119906	0.0111901	0.0102534	0.00886101	
