90	0.031	1	0	task-0:0.258	|	0.225426	0.222847	0.221232	0.218304	0.216903	0.217047	0.214734	0.214256	0.213116	0.211692	0.209044	0.215969	0.212348	0.206615	0.205943	0.205712	0.205177	0.204732	0.205028	0.204286	0.203908	0.203335	0.202214	0.202707	0.205396	0.20099	0.200709	0.200561	0.200373	0.200163	0.200089	0.199938	0.199761	0.199567	0.199232	0.173607	0.160285	0.145946	0.120408	0.0895776	0.0678515	0.0519999	0.0488228	0.0458235	0.0451355	0.0419103	0.0372867	0.0329007	0.0250728	0.0146332	0.00849503	

160	0.016	1	0	task-0:0.134	|	0.228976	0.225066	0.22145	0.217174	0.220046	0.215132	0.214408	0.212682	0.211738	0.212574	0.209914	0.209226	0.208595	0.207745	0.206568	0.206106	0.207258	0.204659	0.204223	0.203864	0.203315	0.202734	0.20226	0.202661	0.201699	0.201433	0.20118	0.20077	0.200413	0.200402	0.200062	0.199934	0.199709	0.199286	0.199142	0.199533	0.198603	0.198515	0.198322	0.198107	0.197846	0.173449	0.168557	0.157413	0.154231	0.145919	0.134622	0.131013	0.12097	0.116404	0.106896	0.0898471	0.0969409	0.133659	0.0679838	0.0689002	0.0650109	0.0632215	0.0612036	0.0575115	0.05048	0.0407003	0.148935	0.0402367	0.0439636	0.0374978	0.0370407	0.0359527	0.034592	0.0341	0.0335363	0.0330809	0.0327865	0.0322985	0.032141	0.0316033	0.0312964	0.0306666	0.0305208	0.0299273	0.029098	0.0289047	0.0288506	0.0277655	0.0275292	0.0269797	0.0258032	0.02457	0.0286737	0.0237299	0.0235012	0.0230544	0.0226186	0.0222613	0.0220585	0.021908	0.0216797	0.0215248	0.0212187	0.0207876	0.0205503	0.0201459	0.0200101	0.0197062	0.0191607	0.0180639	0.0172157	0.0277226	0.0162162	0.016095	0.0158019	0.0151844	0.0139917	0.0118926	0.00866005	

160	0.015	1	0	task-0:0.134	|	0.228976	0.225066	0.22145	0.217174	0.220046	0.215132	0.214408	0.212682	0.211738	0.212574	0.209914	0.209226	0.208595	0.207745	0.206568	0.206106	0.207258	0.204659	0.204223	0.203864	0.203315	0.202734	0.20226	0.202661	0.201699	0.201433	0.20118	0.20077	0.200413	0.200402	0.200062	0.199934	0.199709	0.199286	0.199142	0.199533	0.198603	0.198515	0.198322	0.198107	0.197846	0.173449	0.168557	0.157413	0.154231	0.145919	0.134622	0.131013	0.12097	0.116404	0.106896	0.0898471	0.0969409	0.133659	0.0679838	0.0689002	0.0650109	0.0632215	0.0612036	0.0575115	0.05048	0.0407003	0.148935	0.0402367	0.0439636	0.0374978	0.0370407	0.0359527	0.034592	0.0341	0.0335363	0.0330809	0.0327865	0.0322985	0.032141	0.0316033	0.0312964	0.0306666	0.0305208	0.0299273	0.029098	0.0289047	0.0288506	0.0277655	0.0275292	0.0269797	0.0258032	0.02457	0.0286737	0.0237299	0.0235012	0.0230544	0.0226186	0.0222613	0.0220585	0.021908	0.0216797	0.0215248	0.0212187	0.0207876	0.0205503	0.0201459	0.0200101	0.0197062	0.0191607	0.0180639	0.0172157	0.0277226	0.0162162	0.016095	0.0158019	0.0151844	0.0139917	0.0118926	0.00866005	

201	0	1	0	task-0:0.194	|	0.22442	0.218713	0.218114	0.217125	0.21595	0.214661	0.212855	0.214027	0.213764	0.210162	0.209175	0.208183	0.206674	0.206255	0.208761	0.204668	0.204453	0.203855	0.202878	0.201515	0.211122	0.201158	0.200993	0.200592	0.200021	0.199023	0.19959	0.205577	0.198061	0.197902	0.197747	0.197528	0.197841	0.197436	0.197366	0.197337	0.197257	0.197168	0.197016	0.196686	0.19609	0.182136	0.201616	0.167111	0.166928	0.157913	0.155167	0.147251	0.139895	0.132942	0.128737	0.126942	0.121443	0.118267	0.117626	0.112866	0.111709	0.111267	0.106429	0.105297	0.105551	0.101227	0.0999285	0.0994597	0.0960298	0.095132	0.094607	0.0915122	0.0907975	0.0904016	0.0875354	0.0869044	0.08662	0.0839233	0.083347	0.083156	0.0806007	0.0800708	0.0799793	0.0775442	0.0770361	0.0765584	0.0743879	0.0729913	0.0725852	0.0704243	0.0694411	0.0697242	0.0675152	0.0670197	0.0673122	0.0651335	0.0646261	0.0650404	0.0629452	0.0624267	0.0626649	0.0608499	0.0603951	0.0604272	0.0588079	0.0583615	0.0583902	0.0568818	0.0565088	0.0564804	0.0550381	0.0546436	0.0546806	0.053311	0.0529741	0.0529139	0.0516259	0.0512912	0.0513725	0.0500815	0.0497648	0.0494439	0.0484452	0.0481346	0.0479064	0.0469373	0.0467245	0.0459466	0.0447881	0.0447206	0.0435639	0.043097	0.0429668	0.0421443	0.0419658	0.041305	0.0402873	0.0398049	0.0395357	0.038596	0.0383079	0.0376547	0.0370881	0.035911	0.0353288	0.039408	0.0336835	0.0332928	0.03275	0.0317093	0.0295875	0.0273577	0.071353	0.0258678	0.0256635	0.0252895	0.0244406	0.022811	0.0216486	0.052019	0.0200933	0.0199461	0.0196451	0.0189457	0.0175326	0.0149967	0.030697	0.0511632	0.0123274	0.0122548	0.0120675	0.0116634	0.0108706	0.00945101	

169	0	1	0	task-0:0.138	|	0.295888	0.22792	0.223584	0.21954	0.217539	0.216382	0.21453	0.214032	0.213498	0.212539	0.212185	0.211546	0.211303	0.210515	0.209443	0.207831	0.208896	0.206998	0.206602	0.205552	0.203416	0.205802	0.218149	0.200947	0.200817	0.200338	0.200231	0.199981	0.199782	0.199406	0.198661	0.197785	0.218077	0.197109	0.197038	0.196849	0.19665	0.196898	0.196491	0.196434	0.196357	0.196213	0.195915	0.195361	0.199199	0.195282	0.176056	0.164085	0.156791	0.139703	0.123542	0.137427	0.112608	0.108701	0.104491	0.101924	0.0986508	0.0947376	0.0868204	0.0899933	0.0803971	0.0776443	0.0723773	0.0652902	0.0815518	0.0622866	0.0610347	0.060008	0.0573402	0.053979	0.0503057	0.0584125	0.0480885	0.0470283	0.0457619	0.042974	0.0390902	0.0660415	0.0367226	0.0361016	0.0355433	0.034192	0.0317862	0.0365558	0.0393738	0.0281611	0.0277798	0.027397	0.0270068	0.0264586	0.0259963	0.0255322	0.024547	0.0238663	0.0263798	0.0228539	0.0226418	0.0221971	0.0216439	0.021448	0.0211455	0.0208925	0.0206534	0.0201277	0.0191463	0.0172793	0.0165018	0.0673915	0.0143766	0.014226	0.0140928	0.0139538	0.0139044	0.0136999	0.0135127	0.0133536	0.0132239	0.0129205	0.01236	0.0134763	0.0120184	0.0118855	0.0118841	0.0117664	0.0116297	0.0115243	0.0114847	0.0113981	0.0112371	0.0111064	0.0108865	0.0104945	0.0097683	

160	0.015	1	0	task-0:0.134	|	0.228976	0.225066	0.22145	0.217174	0.220046	0.215132	0.214408	0.212682	0.211738	0.212574	0.209914	0.209226	0.208595	0.207745	0.206568	0.206106	0.207258	0.204659	0.204223	0.203864	0.203315	0.202734	0.20226	0.202661	0.201699	0.201433	0.20118	0.20077	0.200413	0.200402	0.200062	0.199934	0.199709	0.199286	0.199142	0.199533	0.198603	0.198515	0.198322	0.198107	0.197846	0.173449	0.168557	0.157413	0.154231	0.145919	0.134622	0.131013	0.12097	0.116404	0.106896	0.0898471	0.0969409	0.133659	0.0679838	0.0689002	0.0650109	0.0632215	0.0612036	0.0575115	0.05048	0.0407003	0.148935	0.0402367	0.0439636	0.0374978	0.0370407	0.0359527	0.034592	0.0341	0.0335363	0.0330809	0.0327865	0.0322985	0.032141	0.0316033	0.0312964	0.0306666	0.0305208	0.0299273	0.029098	0.0289047	0.0288506	0.0277655	0.0275292	0.0269797	0.0258032	0.02457	0.0286737	0.0237299	0.0235012	0.0230544	0.0226186	0.0222613	0.0220585	0.021908	0.0216797	0.0215248	0.0212187	0.0207876	0.0205503	0.0201459	0.0200101	0.0197062	0.0191607	0.0180639	0.0172157	0.0277226	0.0162162	0.016095	0.0158019	0.0151844	0.0139917	0.0118926	0.00866005	
