280	0.218	1	0	task-3:0.414	task-0:0.446	task-1:0.438	task-2:0.412	|	0.0567168	0.0555634	0.0541337	0.0540446	0.0538648	0.0535601	0.053238	0.0552511	0.0532151	0.0532092	0.053191	0.0531526	0.0530974	0.0530697	0.0530464	0.0530184	0.0529942	0.0529778	0.0529766	0.0529714	0.052964	0.052666	0.0521936	0.0509292	0.0485677	0.0457715	0.0447633	0.0432297	0.0425111	0.0409929	0.0382314	0.0341283	0.0482231	0.041703	0.0312794	0.030999	0.0308713	0.0307006	0.0305635	0.0302701	0.0297288	0.0294848	0.029526	0.028953	0.0288474	0.0286763	0.0283252	0.0276465	0.0264975	0.0261373	0.0417513	0.0250172	0.0248587	0.0244685	0.0244027	0.0242786	0.0240164	0.0236268	0.0239017	0.0235031	0.0234505	0.0233551	0.0232379	0.0229987	0.0225221	0.0220285	0.026293	0.0217359	0.0216402	0.0215994	0.0215498	0.0214808	0.0213983	0.0212796	0.021204	0.0211451	0.0210547	0.0209767	0.0208553	0.0207522	0.0207298	0.0206879	0.0206521	0.0205935	0.0205266	0.0204854	0.0204206	0.0203385	0.0201855	0.0200384	0.0199451	0.0198961	0.0198504	0.0197901	0.019683	0.0196667	0.0196086	0.019498	0.0193451	0.0191985	0.019129	0.0190555	0.0190123	0.0189268	0.0187773	0.0186554	0.0185595	0.0185061	0.0184627	0.0183726	0.0182037	0.0179882	0.017952	0.0180504	0.0176799	0.0176345	0.017563	0.0174075	0.0170899	0.0164834	0.0198012	0.0184838	0.0159295	0.0158567	0.0158285	0.0157653	0.0156627	0.0155982	0.0155613	0.0155361	0.0154913	0.0154069	0.0152746	0.0150423	0.0146212	0.0163912	0.0149313	0.0142949	0.0142658	0.0142226	0.0141934	0.0141289	0.0140035	0.0137946	0.013562	0.017477	0.0134294	0.0134064	0.0133576	0.0132611	0.0131174	0.0130445	0.0143665	0.0129683	0.0129624	0.0129327	0.0128687	0.0127428	0.0125227	0.0127208	0.012492	0.0124802	0.0124546	0.0124117	0.0123765	0.0123237	0.0122483	0.0122393	0.0122208	0.0121821	0.0120935	0.0119304	0.0121419	0.0119998	0.0117472	0.0117324	0.0117016	0.0116308	0.0115994	0.0115589	0.0114809	0.0114079	0.011305	0.0114236	0.0112808	0.0112621	0.0112276	0.0111819	0.0110894	0.0109097	0.0105754	0.0130348	0.0105199	0.0104603	0.0104534	0.0104367	0.0104097	0.0103881	0.0103439	0.010255	0.0100945	0.0104951	0.0101604	0.00994865	

105	0.063	1	0	task-3:0.064	task-0:0.126	task-1:0.216	task-2:0.136	|	0.0615373	0.0605741	0.058737	0.0574778	0.0566724	0.0552981	0.0537121	0.0547217	0.0532378	0.053125	0.0531157	0.0530853	0.0530533	0.053026	0.0530087	0.0529764	0.0529298	0.0529088	0.0533195	0.0523046	0.0514157	0.0492616	0.045971	0.0428771	0.0388918	0.0367481	0.0355324	0.033139	0.0314338	0.0282587	0.0243444	0.0206584	0.0234153	0.0203998	0.0167566	0.0155015	0.0151946	0.0145834	0.0135529	0.0122371	0.0100685	0.00696644	

86	0.078	1	0	task-3:0.068	task-0:0.148	task-1:0.23	task-2:0.14	|	0.0570304	0.0562632	0.055249	0.0549136	0.054346	0.0538079	0.0538319	0.0535106	0.0534221	0.0533806	0.0533176	0.0532477	0.0531912	0.0531677	0.0531573	0.05314	0.0531276	0.0531022	0.0524567	0.0514229	0.0488098	0.0450378	0.0420572	0.0379609	0.0339061	0.0306348	0.0295549	0.0269671	0.0228521	0.0184973	0.0160084	0.0127522	0.015051	0.0137514	0.0117507	0.0112006	0.0108104	0.0100884	0.00924043	

105	0.063	1	0	task-3:0.064	task-0:0.126	task-1:0.216	task-2:0.136	|	0.0615373	0.0605741	0.058737	0.0574778	0.0566724	0.0552981	0.0537121	0.0547217	0.0532378	0.053125	0.0531157	0.0530853	0.0530533	0.053026	0.0530087	0.0529764	0.0529298	0.0529088	0.0533195	0.0523046	0.0514157	0.0492616	0.045971	0.0428771	0.0388918	0.0367481	0.0355324	0.033139	0.0314338	0.0282587	0.0243444	0.0206584	0.0234153	0.0203998	0.0167566	0.0155015	0.0151946	0.0145834	0.0135529	0.0122371	0.0100685	0.00696644	

86	0.047	1	0	task-3:0.068	task-0:0.148	task-1:0.23	task-2:0.14	|	0.0570304	0.0562632	0.055249	0.0549136	0.054346	0.0538079	0.0538319	0.0535106	0.0534221	0.0533806	0.0533176	0.0532477	0.0531912	0.0531677	0.0531573	0.05314	0.0531276	0.0531022	0.0524567	0.0514229	0.0488098	0.0450378	0.0420572	0.0379609	0.0339061	0.0306348	0.0295549	0.0269671	0.0228521	0.0184973	0.0160084	0.0127522	0.015051	0.0137514	0.0117507	0.0112006	0.0108104	0.0100884	0.00924043	

86	0.047	1	0	task-3:0.068	task-0:0.148	task-1:0.23	task-2:0.14	|	0.0570304	0.0562632	0.055249	0.0549136	0.054346	0.0538079	0.0538319	0.0535106	0.0534221	0.0533806	0.0533176	0.0532477	0.0531912	0.0531677	0.0531573	0.05314	0.0531276	0.0531022	0.0524567	0.0514229	0.0488098	0.0450378	0.0420572	0.0379609	0.0339061	0.0306348	0.0295549	0.0269671	0.0228521	0.0184973	0.0160084	0.0127522	0.015051	0.0137514	0.0117507	0.0112006	0.0108104	0.0100884	0.00924043	
