231	0.109	1	0	task-3:0.12	task-0:0.4	task-1:0.424	task-2:0.042	|	0.0567168	0.0555634	0.0541337	0.0540446	0.0538648	0.0535601	0.053238	0.0552511	0.0532151	0.0532092	0.053191	0.0531526	0.0530974	0.0530697	0.0530464	0.0530184	0.0529942	0.0529778	0.0529766	0.0529714	0.052964	0.052676	0.0522462	0.0510835	0.0488309	0.0457924	0.0441865	0.0430862	0.0417557	0.0411594	0.040136	0.0379677	0.0342642	0.0360072	0.0534816	0.0291697	0.0288987	0.0283734	0.0278109	0.0275647	0.0273992	0.0271785	0.0270437	0.0266968	0.0259679	0.0246701	0.0244396	0.0339562	0.0229717	0.0226838	0.0225224	0.0224527	0.0223619	0.022171	0.02182	0.0214239	0.0218422	0.021173	0.0210998	0.0209924	0.0208376	0.0207597	0.0205833	0.0202763	0.0203457	0.0200313	0.0199331	0.0198273	0.0196161	0.0192098	0.0188835	0.0213909	0.0185745	0.0184797	0.0184043	0.018311	0.0181849	0.0180944	0.0180471	0.0180196	0.0179679	0.0178822	0.017846	0.0177159	0.01765	0.0175764	0.0174369	0.0172435	0.0171006	0.0173118	0.0169702	0.0169467	0.016905	0.0168086	0.0167107	0.0165226	0.0162208	0.0168237	0.0165136	0.0159483	0.0158934	0.0157997	0.0156434	0.015509	0.0154917	0.0153903	0.015369	0.0153449	0.0152837	0.0152049	0.0151478	0.0150623	0.0149383	0.0147953	0.0149517	0.0146779	0.0146544	0.0146183	0.0145405	0.0144391	0.0143639	0.0142708	0.0142618	0.0142446	0.0142375	0.0141963	0.014138	0.0141021	0.0140505	0.0139445	0.0139253	0.013909	0.013859	0.0137559	0.0135594	0.0135773	0.0138398	0.0132775	0.0132546	0.0132065	0.0131002	0.0128887	0.0124876	0.0134753	0.0192289	0.011881	0.0118396	0.011799	0.0117772	0.0117349	0.0116562	0.0115164	0.0113122	0.0111793	0.0170131	0.0108653	0.0107025	0.010641	0.0105959	0.010553	0.0105071	0.0104489	0.0104784	0.0104929	0.0103963	0.0103869	0.010373	0.0103426	0.0102801	0.0101464	0.00988223	

107	0.047	1	0	task-3:0.44	task-0:0.206	task-1:0.15	task-2:0.474	|	0.0573415	0.0558017	0.0542667	0.054176	0.0540167	0.053837	0.0535693	0.0533882	0.0540615	0.0532693	0.0532502	0.0532187	0.0531799	0.0531392	0.0531021	0.0530406	0.0530387	0.0532268	0.0529809	0.0529746	0.0529608	0.0529353	0.052907	0.0529015	0.0528912	0.0520116	0.050717	0.0472025	0.040841	0.0332927	0.0297016	0.0284918	0.0268734	0.0237266	0.0187223	0.0187711	0.0160042	0.0152151	0.0145937	0.0135932	0.012086	0.0105656	0.00826057	

107	0.047	1	0	task-3:0.46	task-0:0.188	task-1:0.15	task-2:0.464	|	0.0708084	0.0646245	0.0550198	0.0548175	0.0548076	0.0547502	0.0546325	0.0544967	0.0543496	0.0542456	0.0540462	0.0537037	0.0534222	0.0584299	0.053231	0.0532058	0.0531585	0.053071	0.0529503	0.0534326	0.0529425	0.0529111	0.0529098	0.0529059	0.0528971	0.0528811	0.0528662	0.0520842	0.050931	0.048118	0.0437199	0.0399106	0.036254	0.0339825	0.0306014	0.0268976	0.0254215	0.0242765	0.0231346	0.0223061	0.020604	0.0175427	0.013246	0.0112013	0.0131646	0.00999598	

107	0.063	1	0	task-3:0.44	task-0:0.206	task-1:0.15	task-2:0.474	|	0.0573415	0.0558017	0.0542667	0.054176	0.0540167	0.053837	0.0535693	0.0533882	0.0540615	0.0532693	0.0532502	0.0532187	0.0531799	0.0531392	0.0531021	0.0530406	0.0530387	0.0532268	0.0529809	0.0529746	0.0529608	0.0529353	0.052907	0.0529015	0.0528912	0.0520116	0.050717	0.0472025	0.040841	0.0332927	0.0297016	0.0284918	0.0268734	0.0237266	0.0187223	0.0187711	0.0160042	0.0152151	0.0145937	0.0135932	0.012086	0.0105656	0.00826057	

107	0.047	1	0	task-3:0.44	task-0:0.206	task-1:0.15	task-2:0.474	|	0.0573415	0.0558017	0.0542667	0.054176	0.0540167	0.053837	0.0535693	0.0533882	0.0540615	0.0532693	0.0532502	0.0532187	0.0531799	0.0531392	0.0531021	0.0530406	0.0530387	0.0532268	0.0529809	0.0529746	0.0529608	0.0529353	0.052907	0.0529015	0.0528912	0.0520116	0.050717	0.0472025	0.040841	0.0332927	0.0297016	0.0284918	0.0268734	0.0237266	0.0187223	0.0187711	0.0160042	0.0152151	0.0145937	0.0135932	0.012086	0.0105656	0.00826057	

107	0.047	1	0	task-3:0.46	task-0:0.188	task-1:0.15	task-2:0.464	|	0.0708084	0.0646245	0.0550198	0.0548175	0.0548076	0.0547502	0.0546325	0.0544967	0.0543496	0.0542456	0.0540462	0.0537037	0.0534222	0.0584299	0.053231	0.0532058	0.0531585	0.053071	0.0529503	0.0534326	0.0529425	0.0529111	0.0529098	0.0529059	0.0528971	0.0528811	0.0528662	0.0520842	0.050931	0.048118	0.0437199	0.0399106	0.036254	0.0339825	0.0306014	0.0268976	0.0254215	0.0242765	0.0231346	0.0223061	0.020604	0.0175427	0.013246	0.0112013	0.0131646	0.00999598	
