188	0.016	1	0	task-0:0.25	|	0.271329	0.230978	0.22858	0.226036	0.225398	0.223722	0.22313	0.222262	0.220888	0.21941	0.216601	0.214977	0.227857	0.211118	0.210581	0.209202	0.206985	0.21077	0.210732	0.204424	0.203908	0.203679	0.203644	0.203261	0.203115	0.202924	0.202862	0.202498	0.202099	0.201208	0.199555	0.209328	0.206025	0.198139	0.197971	0.197892	0.197813	0.197678	0.197552	0.197262	0.197112	0.197661	0.196808	0.196747	0.196668	0.196544	0.188758	0.179045	0.173376	0.169361	0.164931	0.159364	0.15414	0.141005	0.140204	0.151793	0.117651	0.11484	0.110459	0.108183	0.103022	0.106584	0.10053	0.0976537	0.095839	0.0933236	0.0916692	0.0888888	0.0872746	0.0839115	0.0889946	0.0827036	0.0808063	0.0798533	0.0781383	0.0784976	0.0756681	0.0749629	0.0732046	0.0730149	0.0724262	0.0707349	0.0704561	0.0691795	0.0674759	0.0674465	0.0664833	0.0651871	0.0643647	0.0629131	0.062109	0.0607857	0.0607579	0.0601929	0.0598731	0.0584892	0.0572656	0.0562966	0.0558849	0.0546635	0.0539688	0.0535861	0.0529362	0.0522302	0.0518681	0.0516431	0.0507691	0.0500147	0.0484758	0.0451493	0.0390512	0.0394996	0.278453	0.0304147	0.0331541	0.0285153	0.0282217	0.0276563	0.026636	0.0273614	0.0272995	0.0251937	0.0249301	0.0245147	0.0238069	0.0246983	0.0234359	0.0230084	0.022894	0.0226305	0.0222573	0.021628	0.0217676	0.0211124	0.0209534	0.020951	0.0206533	0.0205214	0.0203266	0.0200893	0.0195048	0.0182738	0.0159959	0.0205695	0.0831177	0.0131376	0.0130043	0.012747	0.0124497	0.0119718	0.0127558	0.0120173	0.0115055	0.0114507	0.0113414	0.0111496	0.0109752	0.010847	0.0107746	0.0105981	0.0102273	0.00951285	

203	0.016	2	0	task-0:0.152	|	0.225421	0.218411	0.217687	0.216654	0.215472	0.214198	0.212594	0.214769	0.211491	0.210965	0.209926	0.208117	0.20853	0.208579	0.205831	0.205574	0.204866	0.204067	0.20353	0.204222	0.202717	0.202402	0.202118	0.201672	0.201238	0.201197	0.20085	0.2007	0.200449	0.199901	0.199966	0.199833	0.215853	0.198372	0.198281	0.197995	0.197382	0.19669	0.208593	0.196403	0.19634	0.196269	0.196255	0.196204	0.19614	0.196105	0.196003	0.195989	0.195928	0.195873	0.195831	0.195809	0.17769	0.170815	0.161682	0.155027	0.144592	0.14655	0.135052	0.133034	0.127023	0.119838	0.106445	0.0959858	0.116087	0.0828259	0.0788809	0.0748074	0.0732014	0.0687516	0.0670294	0.0628128	0.0588086	0.0680654	0.0551453	0.0544917	0.0528008	0.0523734	0.0513457	0.0501182	0.0486672	0.0481568	0.0467111	0.0458389	0.044676	0.0445393	0.0429837	0.042556	0.0415606	0.0409291	0.0397023	0.0392637	0.0379053	0.0373982	0.0364422	0.0357475	0.0347315	0.034951	0.0336863	0.0332659	0.0326979	0.0324266	0.0317267	0.0310899	0.0307502	0.0303271	0.0297463	0.0295351	0.0290363	0.0286178	0.0283824	0.0280559	0.0275648	0.0273742	0.0268878	0.0264236	0.0258601	0.0253582	0.0251358	0.0246924	0.0244027	0.0238984	0.0228489	0.0237254	0.0239404	0.0213167	0.0211448	0.0206459	0.0195884	0.0196353	0.0268225	0.017847	0.0177008	0.0173271	0.0165628	0.0168949	0.0177796	0.0152973	0.0151761	0.0148592	0.0141709	0.0129105	0.0106799	0.00785357	

203	0.015	2	0	task-0:0.152	|	0.225421	0.218411	0.217687	0.216654	0.215472	0.214198	0.212594	0.214769	0.211491	0.210965	0.209926	0.208117	0.20853	0.208579	0.205831	0.205574	0.204866	0.204067	0.20353	0.204222	0.202717	0.202402	0.202118	0.201672	0.201238	0.201197	0.20085	0.2007	0.200449	0.199901	0.199966	0.199833	0.215853	0.198372	0.198281	0.197995	0.197382	0.19669	0.208593	0.196403	0.19634	0.196269	0.196255	0.196204	0.19614	0.196105	0.196003	0.195989	0.195928	0.195873	0.195831	0.195809	0.17769	0.170815	0.161682	0.155027	0.144592	0.14655	0.135052	0.133034	0.127023	0.119838	0.106445	0.0959858	0.116087	0.0828259	0.0788809	0.0748074	0.0732014	0.0687516	0.0670294	0.0628128	0.0588086	0.0680654	0.0551453	0.0544917	0.0528008	0.0523734	0.0513457	0.0501182	0.0486672	0.0481568	0.0467111	0.0458389	0.044676	0.0445393	0.0429837	0.042556	0.0415606	0.0409291	0.0397023	0.0392637	0.0379053	0.0373982	0.0364422	0.0357475	0.0347315	0.034951	0.0336863	0.0332659	0.0326979	0.0324266	0.0317267	0.0310899	0.0307502	0.0303271	0.0297463	0.0295351	0.0290363	0.0286178	0.0283824	0.0280559	0.0275648	0.0273742	0.0268878	0.0264236	0.0258601	0.0253582	0.0251358	0.0246924	0.0244027	0.0238984	0.0228489	0.0237254	0.0239404	0.0213167	0.0211448	0.0206459	0.0195884	0.0196353	0.0268225	0.017847	0.0177008	0.0173271	0.0165628	0.0168949	0.0177796	0.0152973	0.0151761	0.0148592	0.0141709	0.0129105	0.0106799	0.00785357	

203	0.016	2	0	task-0:0.152	|	0.225421	0.218411	0.217687	0.216654	0.215472	0.214198	0.212594	0.214769	0.211491	0.210965	0.209926	0.208117	0.20853	0.208579	0.205831	0.205574	0.204866	0.204067	0.20353	0.204222	0.202717	0.202402	0.202118	0.201672	0.201238	0.201197	0.20085	0.2007	0.200449	0.199901	0.199966	0.199833	0.215853	0.198372	0.198281	0.197995	0.197382	0.19669	0.208593	0.196403	0.19634	0.196269	0.196255	0.196204	0.19614	0.196105	0.196003	0.195989	0.195928	0.195873	0.195831	0.195809	0.17769	0.170815	0.161682	0.155027	0.144592	0.14655	0.135052	0.133034	0.127023	0.119838	0.106445	0.0959858	0.116087	0.0828259	0.0788809	0.0748074	0.0732014	0.0687516	0.0670294	0.0628128	0.0588086	0.0680654	0.0551453	0.0544917	0.0528008	0.0523734	0.0513457	0.0501182	0.0486672	0.0481568	0.0467111	0.0458389	0.044676	0.0445393	0.0429837	0.042556	0.0415606	0.0409291	0.0397023	0.0392637	0.0379053	0.0373982	0.0364422	0.0357475	0.0347315	0.034951	0.0336863	0.0332659	0.0326979	0.0324266	0.0317267	0.0310899	0.0307502	0.0303271	0.0297463	0.0295351	0.0290363	0.0286178	0.0283824	0.0280559	0.0275648	0.0273742	0.0268878	0.0264236	0.0258601	0.0253582	0.0251358	0.0246924	0.0244027	0.0238984	0.0228489	0.0237254	0.0239404	0.0213167	0.0211448	0.0206459	0.0195884	0.0196353	0.0268225	0.017847	0.0177008	0.0173271	0.0165628	0.0168949	0.0177796	0.0152973	0.0151761	0.0148592	0.0141709	0.0129105	0.0106799	0.00785357	

203	0.015	2	0	task-0:0.152	|	0.225421	0.218411	0.217687	0.216654	0.215472	0.214198	0.212594	0.214769	0.211491	0.210965	0.209926	0.208117	0.20853	0.208579	0.205831	0.205574	0.204866	0.204067	0.20353	0.204222	0.202717	0.202402	0.202118	0.201672	0.201238	0.201197	0.20085	0.2007	0.200449	0.199901	0.199966	0.199833	0.215853	0.198372	0.198281	0.197995	0.197382	0.19669	0.208593	0.196403	0.19634	0.196269	0.196255	0.196204	0.19614	0.196105	0.196003	0.195989	0.195928	0.195873	0.195831	0.195809	0.17769	0.170815	0.161682	0.155027	0.144592	0.14655	0.135052	0.133034	0.127023	0.119838	0.106445	0.0959858	0.116087	0.0828259	0.0788809	0.0748074	0.0732014	0.0687516	0.0670294	0.0628128	0.0588086	0.0680654	0.0551453	0.0544917	0.0528008	0.0523734	0.0513457	0.0501182	0.0486672	0.0481568	0.0467111	0.0458389	0.044676	0.0445393	0.0429837	0.042556	0.0415606	0.0409291	0.0397023	0.0392637	0.0379053	0.0373982	0.0364422	0.0357475	0.0347315	0.034951	0.0336863	0.0332659	0.0326979	0.0324266	0.0317267	0.0310899	0.0307502	0.0303271	0.0297463	0.0295351	0.0290363	0.0286178	0.0283824	0.0280559	0.0275648	0.0273742	0.0268878	0.0264236	0.0258601	0.0253582	0.0251358	0.0246924	0.0244027	0.0238984	0.0228489	0.0237254	0.0239404	0.0213167	0.0211448	0.0206459	0.0195884	0.0196353	0.0268225	0.017847	0.0177008	0.0173271	0.0165628	0.0168949	0.0177796	0.0152973	0.0151761	0.0148592	0.0141709	0.0129105	0.0106799	0.00785357	

203	0.016	2	0	task-0:0.152	|	0.225421	0.218411	0.217687	0.216654	0.215472	0.214198	0.212594	0.214769	0.211491	0.210965	0.209926	0.208117	0.20853	0.208579	0.205831	0.205574	0.204866	0.204067	0.20353	0.204222	0.202717	0.202402	0.202118	0.201672	0.201238	0.201197	0.20085	0.2007	0.200449	0.199901	0.199966	0.199833	0.215853	0.198372	0.198281	0.197995	0.197382	0.19669	0.208593	0.196403	0.19634	0.196269	0.196255	0.196204	0.19614	0.196105	0.196003	0.195989	0.195928	0.195873	0.195831	0.195809	0.17769	0.170815	0.161682	0.155027	0.144592	0.14655	0.135052	0.133034	0.127023	0.119838	0.106445	0.0959858	0.116087	0.0828259	0.0788809	0.0748074	0.0732014	0.0687516	0.0670294	0.0628128	0.0588086	0.0680654	0.0551453	0.0544917	0.0528008	0.0523734	0.0513457	0.0501182	0.0486672	0.0481568	0.0467111	0.0458389	0.044676	0.0445393	0.0429837	0.042556	0.0415606	0.0409291	0.0397023	0.0392637	0.0379053	0.0373982	0.0364422	0.0357475	0.0347315	0.034951	0.0336863	0.0332659	0.0326979	0.0324266	0.0317267	0.0310899	0.0307502	0.0303271	0.0297463	0.0295351	0.0290363	0.0286178	0.0283824	0.0280559	0.0275648	0.0273742	0.0268878	0.0264236	0.0258601	0.0253582	0.0251358	0.0246924	0.0244027	0.0238984	0.0228489	0.0237254	0.0239404	0.0213167	0.0211448	0.0206459	0.0195884	0.0196353	0.0268225	0.017847	0.0177008	0.0173271	0.0165628	0.0168949	0.0177796	0.0152973	0.0151761	0.0148592	0.0141709	0.0129105	0.0106799	0.00785357	
