94	0.047	1	0	task-3:0.438	task-0:0.094	task-1:0.062	task-2:0.424	|	0.0726171	0.0660262	0.0542887	0.0539144	0.0538532	0.0538121	0.0537131	0.0535249	0.0532639	0.0533274	0.05325	0.0531256	0.053112	0.0530894	0.0530638	0.0530406	0.0529971	0.0529473	0.0531715	0.0529315	0.0529273	0.0529189	0.0529051	0.0528808	0.0523812	0.0516778	0.0497015	0.0459187	0.0410555	0.0380096	0.0350211	0.0327635	0.0289322	0.0242162	0.0215129	0.0198189	0.0191687	0.0184893	0.0179786	0.0170503	0.0154386	0.0132787	0.0161317	0.0127514	0.0121128	0.0119842	0.0117057	0.0111647	0.010328	0.00906672	0.00717405	0.0112148	0.0128646	0.00594221	

182	0.094	1	0	task-3:0.13	task-0:0.432	task-1:0.442	task-2:0.068	|	0.0640208	0.0601156	0.0553459	0.0552025	0.0549103	0.054529	0.0543536	0.0542721	0.0540951	0.0537832	0.0535071	0.0548701	0.0533918	0.0533654	0.0533161	0.0532535	0.0532052	0.0531586	0.0531262	0.0530976	0.0530784	0.0526911	0.0520768	0.0505514	0.0482755	0.0459329	0.044493	0.042184	0.0407951	0.0397116	0.0390473	0.0375728	0.0347962	0.0306398	0.0265315	0.0530521	0.0286803	0.0968508	0.0280472	0.0418294	0.0268148	0.0285682	0.0254867	0.0254207	0.0252608	0.0249372	0.0243033	0.0232318	0.0229585	0.0270249	0.0220779	0.0220204	0.0218809	0.0215919	0.0211535	0.0207298	0.0206415	0.0204545	0.0203147	0.0201826	0.0198998	0.0194161	0.0200748	0.0195977	0.0189083	0.0188166	0.0186464	0.0183587	0.0178654	0.0173986	0.0238066	0.01697	0.0169003	0.0167677	0.0165071	0.0160663	0.0155419	0.0149527	0.0166282	0.0146678	0.014628	0.0145783	0.0144726	0.0142642	0.0138862	0.0133045	0.0164488	0.0190342	0.0125653	0.0124344	0.0123797	0.0123295	0.0122344	0.0121729	0.01217	

182	0.078	1	0	task-3:0.13	task-0:0.432	task-1:0.442	task-2:0.068	|	0.0640208	0.0601156	0.0553459	0.0552025	0.0549103	0.054529	0.0543536	0.0542721	0.0540951	0.0537832	0.0535071	0.0548701	0.0533918	0.0533654	0.0533161	0.0532535	0.0532052	0.0531586	0.0531262	0.0530976	0.0530784	0.0526911	0.0520768	0.0505514	0.0482755	0.0459329	0.044493	0.042184	0.0407951	0.0397116	0.0390473	0.0375728	0.0347962	0.0306398	0.0265315	0.0530521	0.0286803	0.0968508	0.0280472	0.0418294	0.0268148	0.0285682	0.0254867	0.0254207	0.0252608	0.0249372	0.0243033	0.0232318	0.0229585	0.0270249	0.0220779	0.0220204	0.0218809	0.0215919	0.0211535	0.0207298	0.0206415	0.0204545	0.0203147	0.0201826	0.0198998	0.0194161	0.0200748	0.0195977	0.0189083	0.0188166	0.0186464	0.0183587	0.0178654	0.0173986	0.0238066	0.01697	0.0169003	0.0167677	0.0165071	0.0160663	0.0155419	0.0149527	0.0166282	0.0146678	0.014628	0.0145783	0.0144726	0.0142642	0.0138862	0.0133045	0.0164488	0.0190342	0.0125653	0.0124344	0.0123797	0.0123295	0.0122344	0.0121729	0.01217	

182	0.094	1	0	task-3:0.13	task-0:0.432	task-1:0.442	task-2:0.068	|	0.0640208	0.0601156	0.0553459	0.0552025	0.0549103	0.054529	0.0543536	0.0542721	0.0540951	0.0537832	0.0535071	0.0548701	0.0533918	0.0533654	0.0533161	0.0532535	0.0532052	0.0531586	0.0531262	0.0530976	0.0530784	0.0526911	0.0520768	0.0505514	0.0482755	0.0459329	0.044493	0.042184	0.0407951	0.0397116	0.0390473	0.0375728	0.0347962	0.0306398	0.0265315	0.0530521	0.0286803	0.0968508	0.0280472	0.0418294	0.0268148	0.0285682	0.0254867	0.0254207	0.0252608	0.0249372	0.0243033	0.0232318	0.0229585	0.0270249	0.0220779	0.0220204	0.0218809	0.0215919	0.0211535	0.0207298	0.0206415	0.0204545	0.0203147	0.0201826	0.0198998	0.0194161	0.0200748	0.0195977	0.0189083	0.0188166	0.0186464	0.0183587	0.0178654	0.0173986	0.0238066	0.01697	0.0169003	0.0167677	0.0165071	0.0160663	0.0155419	0.0149527	0.0166282	0.0146678	0.014628	0.0145783	0.0144726	0.0142642	0.0138862	0.0133045	0.0164488	0.0190342	0.0125653	0.0124344	0.0123797	0.0123295	0.0122344	0.0121729	0.01217	

182	0.093	1	0	task-3:0.13	task-0:0.432	task-1:0.442	task-2:0.068	|	0.0640208	0.0601156	0.0553459	0.0552025	0.0549103	0.054529	0.0543536	0.0542721	0.0540951	0.0537832	0.0535071	0.0548701	0.0533918	0.0533654	0.0533161	0.0532535	0.0532052	0.0531586	0.0531262	0.0530976	0.0530784	0.0526911	0.0520768	0.0505514	0.0482755	0.0459329	0.044493	0.042184	0.0407951	0.0397116	0.0390473	0.0375728	0.0347962	0.0306398	0.0265315	0.0530521	0.0286803	0.0968508	0.0280472	0.0418294	0.0268148	0.0285682	0.0254867	0.0254207	0.0252608	0.0249372	0.0243033	0.0232318	0.0229585	0.0270249	0.0220779	0.0220204	0.0218809	0.0215919	0.0211535	0.0207298	0.0206415	0.0204545	0.0203147	0.0201826	0.0198998	0.0194161	0.0200748	0.0195977	0.0189083	0.0188166	0.0186464	0.0183587	0.0178654	0.0173986	0.0238066	0.01697	0.0169003	0.0167677	0.0165071	0.0160663	0.0155419	0.0149527	0.0166282	0.0146678	0.014628	0.0145783	0.0144726	0.0142642	0.0138862	0.0133045	0.0164488	0.0190342	0.0125653	0.0124344	0.0123797	0.0123295	0.0122344	0.0121729	0.01217	

182	0.079	1	0	task-3:0.13	task-0:0.432	task-1:0.442	task-2:0.068	|	0.0640208	0.0601156	0.0553459	0.0552025	0.0549103	0.054529	0.0543536	0.0542721	0.0540951	0.0537832	0.0535071	0.0548701	0.0533918	0.0533654	0.0533161	0.0532535	0.0532052	0.0531586	0.0531262	0.0530976	0.0530784	0.0526911	0.0520768	0.0505514	0.0482755	0.0459329	0.044493	0.042184	0.0407951	0.0397116	0.0390473	0.0375728	0.0347962	0.0306398	0.0265315	0.0530521	0.0286803	0.0968508	0.0280472	0.0418294	0.0268148	0.0285682	0.0254867	0.0254207	0.0252608	0.0249372	0.0243033	0.0232318	0.0229585	0.0270249	0.0220779	0.0220204	0.0218809	0.0215919	0.0211535	0.0207298	0.0206415	0.0204545	0.0203147	0.0201826	0.0198998	0.0194161	0.0200748	0.0195977	0.0189083	0.0188166	0.0186464	0.0183587	0.0178654	0.0173986	0.0238066	0.01697	0.0169003	0.0167677	0.0165071	0.0160663	0.0155419	0.0149527	0.0166282	0.0146678	0.014628	0.0145783	0.0144726	0.0142642	0.0138862	0.0133045	0.0164488	0.0190342	0.0125653	0.0124344	0.0123797	0.0123295	0.0122344	0.0121729	0.01217	

