94	0	1	0	task-0:0.284	|	0.23785	0.23096	0.218664	0.212302	0.235793	0.211298	0.210347	0.209869	0.209026	0.208329	0.207917	0.207709	0.207098	0.206399	0.205439	0.205561	0.205058	0.204612	0.204164	0.20314	0.20218	0.207945	0.201417	0.201104	0.2009	0.20053	0.199724	0.198452	0.204604	0.20616	0.197226	0.197108	0.197015	0.196949	0.196841	0.196743	0.196521	0.196435	0.196582	0.196206	0.196165	0.196106	0.196013	0.171607	0.165255	0.153621	0.140826	0.126601	0.108445	0.0794549	0.0568555	0.0627503	0.0405577	0.0366953	0.0297131	

100	0.015	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

100	0	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

100	0	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

80	0.016	1	0	task-0:0.276	|	0.224991	0.215411	0.214383	0.212851	0.211046	0.210218	0.209686	0.208782	0.208564	0.207884	0.207187	0.205731	0.205846	0.208542	0.203933	0.203495	0.203106	0.20242	0.203175	0.202814	0.201741	0.201427	0.200941	0.200036	0.200432	0.20325	0.199173	0.198993	0.198843	0.198632	0.198631	0.198739	0.198301	0.198189	0.173598	0.163319	0.146945	0.133897	0.129194	0.115469	0.0937852	0.0619208	0.0338112	0.0408756	0.0320541	0.029029	0.0261817	

100	0	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

100	0.015	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

100	0.016	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

100	0	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

100	0.015	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

100	0.016	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

100	0	1	0	task-0:0.272	|	0.291159	0.241458	0.239828	0.235234	0.230088	0.22929	0.226652	0.225146	0.223233	0.220078	0.225194	0.218675	0.217831	0.216487	0.213788	0.212959	0.222056	0.209927	0.209476	0.208243	0.20575	0.202125	0.249325	0.201673	0.201489	0.201152	0.200467	0.200624	0.200737	0.199629	0.199532	0.199294	0.19907	0.198791	0.19888	0.19863	0.17303	0.16332	0.146249	0.132707	0.129404	0.116878	0.0955384	0.0732017	0.0559517	0.0507169	0.0418787	0.0324432	0.0186714	

