106	0.046	1	0	task-3:0.456	task-0:0.19	task-1:0.122	task-2:0.474	|	0.0593863	0.0575934	0.0555954	0.0555029	0.0552968	0.0549174	0.054273	0.0535868	0.0583199	0.0535066	0.0534775	0.0534372	0.0533891	0.0533143	0.0531874	0.0531681	0.053455	0.0530684	0.0530615	0.0530481	0.0530231	0.0529804	0.051974	0.050969	0.0473034	0.0424969	0.0388081	0.0348025	0.0314919	0.0284157	0.0248483	0.0181218	0.0161045	0.017318	0.0127301	0.0120979	0.0114837	0.0111624	0.0105828	0.00965495	0.00808298	0.00623224	

124	0.063	1	0	task-3:0.442	task-0:0.122	task-1:0.154	task-2:0.448	|	0.056404	0.0563362	0.056178	0.0560001	0.0558257	0.055559	0.0553182	0.0550368	0.0547258	0.0545107	0.0544076	0.0543437	0.0542582	0.0540902	0.0538601	0.0534637	0.0534325	0.0573895	0.0530294	0.0530114	0.0530045	0.0529893	0.052965	0.0529444	0.0529698	0.0529297	0.0529246	0.0529141	0.0529014	0.0528953	0.0528945	0.0524274	0.0518266	0.0503923	0.0483085	0.04633	0.045084	0.044462	0.0428501	0.0397092	0.0350915	0.0428526	0.0590309	0.0320448	0.0363957	0.0297252	0.0292817	0.0283673	0.026714	0.0247867	0.0259909	0.0245135	0.0237141	0.0235757	0.02328	0.0226283	0.0214468	0.020171	0.0318786	0.0196085	0.0194272	0.0192907	0.0190015	0.0184239	0.0174055	0.0169522	0.0325306	0.0157246	0.0155869	0.0155582	0.015471	0.0152971	0.0150376	0.0145289	0.0136178	0.0146666	0.0288744	0.012292	0.0121945	

103	0.047	1	0	task-3:0.462	task-0:0.176	task-1:0.132	task-2:0.474	|	0.0582489	0.0578302	0.0570341	0.0561829	0.0555146	0.054665	0.0541158	0.0534274	0.053133	0.0550864	0.0530773	0.0530676	0.0530519	0.0530335	0.0529986	0.0529617	0.0529931	0.0529479	0.052943	0.0529341	0.0529233	0.0529082	0.0528824	0.0529016	0.0528998	0.0528571	0.0528554	0.0520521	0.0508954	0.047836	0.0425683	0.0370006	0.0333844	0.0323022	0.0300285	0.0259038	0.020123	0.018661	0.0223761	0.0173628	0.0167203	0.0156102	0.01409	0.0131848	0.013211	0.0123531	0.0110427	0.00911563	

124	0.047	1	0	task-3:0.442	task-0:0.122	task-1:0.154	task-2:0.448	|	0.056404	0.0563362	0.056178	0.0560001	0.0558257	0.055559	0.0553182	0.0550368	0.0547258	0.0545107	0.0544076	0.0543437	0.0542582	0.0540902	0.0538601	0.0534637	0.0534325	0.0573895	0.0530294	0.0530114	0.0530045	0.0529893	0.052965	0.0529444	0.0529698	0.0529297	0.0529246	0.0529141	0.0529014	0.0528953	0.0528945	0.0524274	0.0518266	0.0503923	0.0483085	0.04633	0.045084	0.044462	0.0428501	0.0397092	0.0350915	0.0428526	0.0590309	0.0320448	0.0363957	0.0297252	0.0292817	0.0283673	0.026714	0.0247867	0.0259909	0.0245135	0.0237141	0.0235757	0.02328	0.0226283	0.0214468	0.020171	0.0318786	0.0196085	0.0194272	0.0192907	0.0190015	0.0184239	0.0174055	0.0169522	0.0325306	0.0157246	0.0155869	0.0155582	0.015471	0.0152971	0.0150376	0.0145289	0.0136178	0.0146666	0.0288744	0.012292	0.0121945	

124	0.047	1	0	task-3:0.442	task-0:0.122	task-1:0.154	task-2:0.448	|	0.056404	0.0563362	0.056178	0.0560001	0.0558257	0.055559	0.0553182	0.0550368	0.0547258	0.0545107	0.0544076	0.0543437	0.0542582	0.0540902	0.0538601	0.0534637	0.0534325	0.0573895	0.0530294	0.0530114	0.0530045	0.0529893	0.052965	0.0529444	0.0529698	0.0529297	0.0529246	0.0529141	0.0529014	0.0528953	0.0528945	0.0524274	0.0518266	0.0503923	0.0483085	0.04633	0.045084	0.044462	0.0428501	0.0397092	0.0350915	0.0428526	0.0590309	0.0320448	0.0363957	0.0297252	0.0292817	0.0283673	0.026714	0.0247867	0.0259909	0.0245135	0.0237141	0.0235757	0.02328	0.0226283	0.0214468	0.020171	0.0318786	0.0196085	0.0194272	0.0192907	0.0190015	0.0184239	0.0174055	0.0169522	0.0325306	0.0157246	0.0155869	0.0155582	0.015471	0.0152971	0.0150376	0.0145289	0.0136178	0.0146666	0.0288744	0.012292	0.0121945	

124	0.063	1	0	task-3:0.442	task-0:0.122	task-1:0.154	task-2:0.448	|	0.056404	0.0563362	0.056178	0.0560001	0.0558257	0.055559	0.0553182	0.0550368	0.0547258	0.0545107	0.0544076	0.0543437	0.0542582	0.0540902	0.0538601	0.0534637	0.0534325	0.0573895	0.0530294	0.0530114	0.0530045	0.0529893	0.052965	0.0529444	0.0529698	0.0529297	0.0529246	0.0529141	0.0529014	0.0528953	0.0528945	0.0524274	0.0518266	0.0503923	0.0483085	0.04633	0.045084	0.044462	0.0428501	0.0397092	0.0350915	0.0428526	0.0590309	0.0320448	0.0363957	0.0297252	0.0292817	0.0283673	0.026714	0.0247867	0.0259909	0.0245135	0.0237141	0.0235757	0.02328	0.0226283	0.0214468	0.020171	0.0318786	0.0196085	0.0194272	0.0192907	0.0190015	0.0184239	0.0174055	0.0169522	0.0325306	0.0157246	0.0155869	0.0155582	0.015471	0.0152971	0.0150376	0.0145289	0.0136178	0.0146666	0.0288744	0.012292	0.0121945	
