75	0	1	0	task-0:0.292	|	0.364962	0.22659	0.224872	0.222641	0.220969	0.220678	0.21917	0.216608	0.217613	0.215006	0.214287	0.212353	0.208399	0.202006	0.210727	0.384232	0.200872	0.202212	0.198643	0.197844	0.196934	0.195797	0.195844	0.195711	0.195462	0.195434	0.19539	0.195337	0.195252	0.195083	0.196571	0.195037	0.194997	0.194932	0.170999	0.162541	0.148827	0.137584	0.133636	0.122803	0.10403	0.0779	0.0570307	0.0479878	0.0365481	0.0223313	

95	0.015	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

100	0.016	1	0	task-0:0.252	|	0.248522	0.238357	0.225789	0.215482	0.21906	0.21457	0.213899	0.213206	0.213132	0.212406	0.211458	0.210851	0.20985	0.209555	0.209513	0.208634	0.208225	0.207278	0.205929	0.207409	0.205597	0.205165	0.20493	0.204684	0.204581	0.2041	0.203447	0.202045	0.199535	0.21106	0.231037	0.198289	0.200621	0.196831	0.196778	0.196632	0.196375	0.195917	0.197638	0.196122	0.195535	0.195516	0.195462	0.195386	0.170131	0.162113	0.14804	0.134001	0.124249	0.104478	0.0755736	0.0412199	0.0373418	0.043478	0.0278295	0.0265966	

95	0.016	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	

95	0	1	0	task-0:0.262	|	0.294744	0.218914	0.213336	0.211125	0.210122	0.208454	0.207841	0.207368	0.206975	0.206459	0.205617	0.204825	0.205487	0.203936	0.203693	0.203202	0.202526	0.201169	0.198743	0.195356	0.265591	0.195289	0.195699	0.195223	0.195202	0.195163	0.195104	0.194982	0.194868	0.19513	0.194769	0.194755	0.194727	0.19466	0.169904	0.162817	0.149778	0.13309	0.116132	0.0889072	0.0675221	0.0674219	0.0545906	0.0501126	0.042258	0.0383086	0.03438	0.0292737	0.0204987	
