97	0	1	0	task-0:0.286	|	0.283516	0.226798	0.223657	0.221822	0.220544	0.219809	0.218247	0.216897	0.215378	0.214479	0.213414	0.213069	0.212261	0.211365	0.210208	0.207672	0.203391	0.219206	0.225565	0.201593	0.200944	0.200229	0.19965	0.198711	0.199424	0.200623	0.197861	0.197747	0.197699	0.197613	0.197536	0.19755	0.197405	0.197325	0.197189	0.196898	0.197063	0.196799	0.196753	0.196715	0.196647	0.196567	0.196479	0.171932	0.163385	0.14791	0.135831	0.133	0.12337	0.104485	0.0804171	0.0619087	0.0565395	0.044906	0.028313	0.0132405	

97	0.015	1	0	task-0:0.264	|	0.245895	0.219654	0.216808	0.214069	0.212945	0.211447	0.210499	0.209751	0.208917	0.208205	0.207523	0.206822	0.206632	0.206101	0.205582	0.20508	0.204348	0.203689	0.204088	0.203173	0.203007	0.202671	0.201996	0.202224	0.201611	0.201114	0.201012	0.200704	0.200484	0.200059	0.199237	0.200078	0.200142	0.198804	0.198802	0.198619	0.198174	0.197627	0.198516	0.197475	0.17224	0.163497	0.147045	0.13437	0.131691	0.121527	0.101761	0.0801223	0.0618044	0.0549253	0.0434228	0.0315552	0.0195397	

97	0.016	1	0	task-0:0.264	|	0.245895	0.219654	0.216808	0.214069	0.212945	0.211447	0.210499	0.209751	0.208917	0.208205	0.207523	0.206822	0.206632	0.206101	0.205582	0.20508	0.204348	0.203689	0.204088	0.203173	0.203007	0.202671	0.201996	0.202224	0.201611	0.201114	0.201012	0.200704	0.200484	0.200059	0.199237	0.200078	0.200142	0.198804	0.198802	0.198619	0.198174	0.197627	0.198516	0.197475	0.17224	0.163497	0.147045	0.13437	0.131691	0.121527	0.101761	0.0801223	0.0618044	0.0549253	0.0434228	0.0315552	0.0195397	

97	0	1	0	task-0:0.264	|	0.245895	0.219654	0.216808	0.214069	0.212945	0.211447	0.210499	0.209751	0.208917	0.208205	0.207523	0.206822	0.206632	0.206101	0.205582	0.20508	0.204348	0.203689	0.204088	0.203173	0.203007	0.202671	0.201996	0.202224	0.201611	0.201114	0.201012	0.200704	0.200484	0.200059	0.199237	0.200078	0.200142	0.198804	0.198802	0.198619	0.198174	0.197627	0.198516	0.197475	0.17224	0.163497	0.147045	0.13437	0.131691	0.121527	0.101761	0.0801223	0.0618044	0.0549253	0.0434228	0.0315552	0.0195397	

97	0.016	1	0	task-0:0.264	|	0.245895	0.219654	0.216808	0.214069	0.212945	0.211447	0.210499	0.209751	0.208917	0.208205	0.207523	0.206822	0.206632	0.206101	0.205582	0.20508	0.204348	0.203689	0.204088	0.203173	0.203007	0.202671	0.201996	0.202224	0.201611	0.201114	0.201012	0.200704	0.200484	0.200059	0.199237	0.200078	0.200142	0.198804	0.198802	0.198619	0.198174	0.197627	0.198516	0.197475	0.17224	0.163497	0.147045	0.13437	0.131691	0.121527	0.101761	0.0801223	0.0618044	0.0549253	0.0434228	0.0315552	0.0195397	

97	0.015	1	0	task-0:0.264	|	0.245895	0.219654	0.216808	0.214069	0.212945	0.211447	0.210499	0.209751	0.208917	0.208205	0.207523	0.206822	0.206632	0.206101	0.205582	0.20508	0.204348	0.203689	0.204088	0.203173	0.203007	0.202671	0.201996	0.202224	0.201611	0.201114	0.201012	0.200704	0.200484	0.200059	0.199237	0.200078	0.200142	0.198804	0.198802	0.198619	0.198174	0.197627	0.198516	0.197475	0.17224	0.163497	0.147045	0.13437	0.131691	0.121527	0.101761	0.0801223	0.0618044	0.0549253	0.0434228	0.0315552	0.0195397	
