29	0.062	16	0	task-3:0.348	task-0:0.328	task-1:0.24	task-2:0.392	|	0.0586732	0.118938	0.117608	0.0839802	0.0611277	0.0629474	0.0565992	0.0540836	0.0542499	0.0543362	0.0544142	0.0538436	0.0535963	0.0537886	0.0608306	0.0579639	0.0522271	0.0508634	0.0504354	0.049549	0.0498265	0.0483773	0.0473639	0.0460436	0.045126	0.0433194	0.042189	0.0420571	0.0397806	

41	0.203	16	0	task-3:0.378	task-0:0.374	task-1:0.33	task-2:0.452	|	0.0760937	0.116212	0.110024	0.0619995	0.0730976	0.0695833	0.0548273	0.0607162	0.0619429	0.0573175	0.0542623	0.0554946	0.0548117	0.0534864	0.0529874	0.0520631	0.05181	0.0516828	0.0515453	0.0509014	0.050134	0.0493553	0.0481033	0.04712	0.0439538	0.0434016	0.0454325	0.0442079	0.0430296	0.042596	0.0419699	0.0413452	0.0407684	0.0404543	0.0404791	0.0412503	0.0409896	0.0409428	0.0407027	0.0401149	0.0399366	

41	0.188	16	0	task-3:0.378	task-0:0.374	task-1:0.33	task-2:0.452	|	0.0760937	0.116212	0.110024	0.0619995	0.0730976	0.0695833	0.0548273	0.0607162	0.0619429	0.0573175	0.0542623	0.0554946	0.0548117	0.0534864	0.0529874	0.0520631	0.05181	0.0516828	0.0515453	0.0509014	0.050134	0.0493553	0.0481033	0.04712	0.0439538	0.0434016	0.0454325	0.0442079	0.0430296	0.042596	0.0419699	0.0413452	0.0407684	0.0404543	0.0404791	0.0412503	0.0409896	0.0409428	0.0407027	0.0401149	0.0399366	

40	0.14	16	0	task-3:0.278	task-0:0.264	task-1:0.152	task-2:0.362	|	0.0765907	0.119123	0.116826	0.0784112	0.062167	0.0550779	0.061828	0.062905	0.0597431	0.0567604	0.0549518	0.0547681	0.0547228	0.0547131	0.0547168	0.0545825	0.0545258	0.0512296	0.0519903	0.0650179	0.0612315	0.056122	0.0536293	0.0491827	0.0455226	0.0443345	0.0434515	0.0414715	0.040906	0.0451376	0.0451392	0.0785613	0.0855728	0.0566581	0.0525947	0.0546886	0.0524982	0.0482049	0.0435883	0.0395666	

28	0.063	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

27	0.062	16	0	task-3:0.412	task-0:0.33	task-1:0.306	task-2:0.416	|	0.0564746	0.0999483	0.0997628	0.0889033	0.0585238	0.0588128	0.0550655	0.0544909	0.0552313	0.0546914	0.0532812	0.052305	0.0513954	0.0509438	0.0509791	0.050825	0.0507101	0.044323	0.042018	0.0647545	0.064262	0.0546961	0.0402146	0.0438517	0.0514407	0.0480865	0.0391997	

28	0.079	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

28	0.062	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

28	0.078	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

28	0.063	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

26	0.062	16	0	task-3:0.254	task-0:0.31	task-1:0.248	task-2:0.448	|	0.103726	0.0994199	0.0981293	0.063847	0.0819813	0.0705256	0.055064	0.0574865	0.05541	0.0541934	0.054826	0.0539738	0.0523965	0.0513837	0.0500995	0.0486917	0.0471937	0.046208	0.0463381	0.0439642	0.0441235	0.0435115	0.0429604	0.0420611	0.0410308	0.0387337	

28	0.063	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

28	0.062	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

28	0.062	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

28	0.078	16	0	task-3:0.464	task-0:0.362	task-1:0.376	task-2:0.466	|	0.103205	0.0997572	0.0994541	0.0834538	0.0635591	0.0619732	0.0551703	0.0554159	0.0546515	0.0551062	0.0553228	0.0548765	0.0548526	0.0548872	0.0547429	0.0544544	0.0540301	0.0536056	0.0547703	0.0532645	0.0511922	0.0499172	0.048649	0.0450218	0.0420374	0.0535694	0.0405524	0.0393783	

30	0.063	16	0	task-3:0.308	task-0:0.42	task-1:0.342	task-2:0.362	|	0.0738432	0.0999567	0.0998971	0.0929967	0.0594561	0.0587706	0.0567364	0.0549833	0.0529289	0.0516465	0.050685	0.0497534	0.0494905	0.0481624	0.0459434	0.0440787	0.0446835	0.0428313	0.0419984	0.0425361	0.0425299	0.0423216	0.0443805	0.042655	0.0438548	0.041169	0.0479719	0.0447518	0.042476	0.0362729	

28	0.062	16	0	task-3:0.488	task-0:0.23	task-1:0.216	task-2:0.492	|	0.0625289	0.119491	0.11891	0.106518	0.0607004	0.0604188	0.0553012	0.0567677	0.0559267	0.0546116	0.0544567	0.054528	0.0545144	0.0542062	0.0541359	0.0540435	0.0539206	0.0538588	0.0550025	0.0541841	0.0550534	0.0539788	0.0541426	0.0510332	0.0470749	0.0434377	0.043191	0.0393733	

27	0.047	16	0	task-3:0.384	task-0:0.388	task-1:0.412	task-2:0.398	|	0.088109	0.0999112	0.0996414	0.0915066	0.0589062	0.0657169	0.0588288	0.0544222	0.0545149	0.0543194	0.0542072	0.0540056	0.0536732	0.0534235	0.055286	0.0681369	0.0620744	0.0657045	0.0583667	0.0520365	0.0482524	0.0447049	0.0436108	0.0436686	0.0433682	0.0421099	0.0399584	

38	0.078	16	0	task-3:0.436	task-0:0.384	task-1:0.358	task-2:0.436	|	0.0646124	0.0999103	0.0994095	0.076967	0.0788807	0.0747491	0.0629432	0.0562513	0.056811	0.0565871	0.0545982	0.0546797	0.0546116	0.0547554	0.054746	0.0547134	0.0547292	0.0547398	0.0549144	0.0566407	0.0561245	0.0550235	0.0558314	0.0557819	0.0541353	0.0524532	0.0534415	0.0508564	0.0537728	0.0713008	0.0753675	0.0821649	0.0814193	0.0745055	0.0718251	0.0707264	0.069042	0.0346917	

27	0.062	16	0	task-3:0.384	task-0:0.388	task-1:0.412	task-2:0.398	|	0.088109	0.0999112	0.0996414	0.0915066	0.0589062	0.0657169	0.0588288	0.0544222	0.0545149	0.0543194	0.0542072	0.0540056	0.0536732	0.0534235	0.055286	0.0681369	0.0620744	0.0657045	0.0583667	0.0520365	0.0482524	0.0447049	0.0436108	0.0436686	0.0433682	0.0421099	0.0399584	

38	0.078	16	0	task-3:0.436	task-0:0.384	task-1:0.358	task-2:0.436	|	0.0646124	0.0999103	0.0994095	0.076967	0.0788807	0.0747491	0.0629432	0.0562513	0.056811	0.0565871	0.0545982	0.0546797	0.0546116	0.0547554	0.054746	0.0547134	0.0547292	0.0547398	0.0549144	0.0566407	0.0561245	0.0550235	0.0558314	0.0557819	0.0541353	0.0524532	0.0534415	0.0508564	0.0537728	0.0713008	0.0753675	0.0821649	0.0814193	0.0745055	0.0718251	0.0707264	0.069042	0.0346917	

