81	0.047	1	0	task-3:0.45	task-0:0.164	task-1:0.32	task-2:0.47	|	0.0545163	0.0543245	0.0540849	0.0539496	0.0537034	0.0533972	0.0533131	0.0546288	0.0531154	0.053105	0.0530852	0.0530478	0.0529829	0.0529423	0.0533099	0.0529122	0.0529104	0.052906	0.0528981	0.0528858	0.0528788	0.0521616	0.0511262	0.0483839	0.0436379	0.0391931	0.0340562	0.0399574	0.0317986	0.0310046	0.0292	0.0257311	0.0208972	0.0297069	0.0201178	0.0194767	0.0190282	0.0180431	0.0161145	0.0129617	

436	0.265	4	0	task-3:0.12	task-0:0.34	task-1:0.22	task-2:0.038	|	0.0607047	0.0581943	0.0540387	0.0538322	0.0537745	0.0536734	0.0535531	0.0534211	0.0532691	0.0537436	0.0531931	0.0531688	0.0531547	0.0531268	0.0530815	0.0529817	0.0528196	0.0524683	0.051966	0.0515825	0.0511261	0.051076	0.0509253	0.0507444	0.0507132	0.0506627	0.0505592	0.0503614	0.049994	0.0509011	0.0506032	0.0496224	0.0496031	0.0495572	0.0494704	0.0494065	0.0493544	0.0493231	0.0492798	0.0492149	0.0490877	0.0488792	0.0488923	0.0496067	0.0486073	0.0485862	0.0485411	0.0484537	0.0483538	0.0481878	0.0484837	0.048191	0.0480475	0.0480216	0.0479676	0.047887	0.0477513	0.0476505	0.0486682	0.0475086	0.0474708	0.0474351	0.0473576	0.0472599	0.0472432	0.0471928	0.0471619	0.0471044	0.0470277	0.0469755	0.046943	0.0469238	0.0468899	0.04683	0.0467828	0.0465258	0.0460309	0.044634	0.041812	0.0378417	0.0356748	0.034758	0.0336939	0.0326444	0.0321416	0.031459	0.0303662	0.02992	0.0299139	0.0283799	0.028039	0.0276471	0.0273182	0.0272649	0.0270805	0.0266967	0.026266	0.0265721	0.0258971	0.0257438	0.0254383	0.0248982	0.0241439	0.0252909	0.0236847	0.0235746	0.023338	0.0228774	0.0221638	0.0245015	0.0219794	0.0215828	0.0215352	0.021446	0.0213251	0.0212107	0.0213151	0.0210192	0.0208843	0.0207729	0.0206501	0.0205163	0.0203702	0.020911	0.0201973	0.020136	0.0200772	0.0199802	0.0198724	0.0199955	0.0199439	0.0196972	0.0196869	0.0196645	0.0196123	0.0195057	0.0193063	0.0196961	0.0192022	0.0191594	0.0190836	0.0190078	0.01895	0.0189062	0.0188391	0.0187783	0.0187847	0.0186503	0.0186209	0.018582	0.018511	0.0183906	0.0183481	0.0189182	0.0181535	0.0181255	0.0180917	0.0180552	0.0180062	0.0179239	0.0179552	0.0178716	0.0178539	0.0178168	0.0177608	0.0176503	0.0174415	0.0170814	0.0197296	0.0208034	0.0168119	0.0167416	0.016688	0.0166172	0.0165627	0.0165898	0.0165366	0.0165291	0.0165134	0.0164814	0.0164402	0.0164132	0.0164176	0.0163689	0.0163586	0.0163511	0.0163367	0.0163063	0.0162598	0.0162331	0.0163795	0.0161381	0.0161238	0.0160173	0.0158768	0.0155286	0.01492	0.0138823	0.0128422	0.0126104	0.0121522	0.0116767	0.0115516	0.0113162	0.0108153	0.00984693	0.00818996	0.00589554	

87	0.031	1	0	task-3:0.452	task-0:0.166	task-1:0.186	task-2:0.472	|	0.0602144	0.0586316	0.0566744	0.0565745	0.056372	0.0559423	0.0551648	0.054035	0.0555974	0.0567349	0.0532792	0.0532553	0.0532171	0.0531775	0.0531372	0.0530764	0.053162	0.0530409	0.0530189	0.0530171	0.0530104	0.0529984	0.0529872	0.0522439	0.0511741	0.0482766	0.0430904	0.0381138	0.0351771	0.0461091	0.0332503	0.0325871	0.0312027	0.0283105	0.023808	0.0294575	0.0225236	0.0221661	0.0215225	0.0202413	0.0178376	0.0141815	

87	0.047	1	0	task-3:0.452	task-0:0.166	task-1:0.186	task-2:0.472	|	0.0602144	0.0586316	0.0566744	0.0565745	0.056372	0.0559423	0.0551648	0.054035	0.0555974	0.0567349	0.0532792	0.0532553	0.0532171	0.0531775	0.0531372	0.0530764	0.053162	0.0530409	0.0530189	0.0530171	0.0530104	0.0529984	0.0529872	0.0522439	0.0511741	0.0482766	0.0430904	0.0381138	0.0351771	0.0461091	0.0332503	0.0325871	0.0312027	0.0283105	0.023808	0.0294575	0.0225236	0.0221661	0.0215225	0.0202413	0.0178376	0.0141815	

87	0.046	1	0	task-3:0.452	task-0:0.166	task-1:0.186	task-2:0.472	|	0.0602144	0.0586316	0.0566744	0.0565745	0.056372	0.0559423	0.0551648	0.054035	0.0555974	0.0567349	0.0532792	0.0532553	0.0532171	0.0531775	0.0531372	0.0530764	0.053162	0.0530409	0.0530189	0.0530171	0.0530104	0.0529984	0.0529872	0.0522439	0.0511741	0.0482766	0.0430904	0.0381138	0.0351771	0.0461091	0.0332503	0.0325871	0.0312027	0.0283105	0.023808	0.0294575	0.0225236	0.0221661	0.0215225	0.0202413	0.0178376	0.0141815	

87	0.047	1	0	task-3:0.452	task-0:0.166	task-1:0.186	task-2:0.472	|	0.0602144	0.0586316	0.0566744	0.0565745	0.056372	0.0559423	0.0551648	0.054035	0.0555974	0.0567349	0.0532792	0.0532553	0.0532171	0.0531775	0.0531372	0.0530764	0.053162	0.0530409	0.0530189	0.0530171	0.0530104	0.0529984	0.0529872	0.0522439	0.0511741	0.0482766	0.0430904	0.0381138	0.0351771	0.0461091	0.0332503	0.0325871	0.0312027	0.0283105	0.023808	0.0294575	0.0225236	0.0221661	0.0215225	0.0202413	0.0178376	0.0141815	

