54	0.031	1	0	task-0:0.47	|	0.272136	0.224519	0.223731	0.227822	0.227824	0.222468	0.224511	0.224487	0.222454	0.22272	0.22272	0.222184	0.222591	0.222593	0.222256	0.222213	0.222218	0.222201	0.222207	0.22221	0.222215	0.222217	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222215	0.222083	0.216935	0.220176	0.22216	0.222201	0.222198	0.222186	0.222149	0.222014	0.221351	0.217096	0.220344	0.222087	0.22218	0.222194	0.2222	

75	0.016	1	0	task-0:0.47	|	0.272888	0.260563	0.260563	0.224484	0.286859	0.28487	0.233262	0.226399	0.226399	0.222972	0.222958	0.223046	0.222963	0.222595	0.22267	0.222705	0.222612	0.221462	0.217452	0.210027	0.202471	0.19766	0.195426	0.194067	0.192789	0.191559	0.189012	0.185477	0.182001	0.178078	0.173627	0.16877	0.163645	0.159405	0.157378	0.154075	0.150609	0.14935	0.150266	0.149973	0.14796	0.14799	0.148484	0.149271	0.149852	0.150883	0.152223	0.154156	0.156909	0.160947	0.166551	0.174243	0.184614	0.188965	0.191838	0.19335	0.196703	0.198742	0.199253	0.198707	0.197084	0.194561	0.191575	0.18898	0.187746	0.186969	0.18785	0.18785	0.187138	0.186768	0.186675	0.18672	0.18662	0.186379	0.1861	

75	0.062	1	0	task-0:0.47	|	0.272888	0.260563	0.260563	0.224484	0.286859	0.28487	0.233262	0.226399	0.226399	0.222972	0.222958	0.223046	0.222963	0.222595	0.22267	0.222705	0.222612	0.221462	0.217452	0.210027	0.202471	0.19766	0.195426	0.194067	0.192789	0.191559	0.189012	0.185477	0.182001	0.178078	0.173627	0.16877	0.163645	0.159405	0.157378	0.154075	0.150609	0.14935	0.150266	0.149973	0.14796	0.14799	0.148484	0.149271	0.149852	0.150883	0.152223	0.154156	0.156909	0.160947	0.166551	0.174243	0.184614	0.188965	0.191838	0.19335	0.196703	0.198742	0.199253	0.198707	0.197084	0.194561	0.191575	0.18898	0.187746	0.186969	0.18785	0.18785	0.187138	0.186768	0.186675	0.18672	0.18662	0.186379	0.1861	

75	0.063	1	0	task-0:0.47	|	0.272888	0.260563	0.260563	0.224484	0.286859	0.28487	0.233262	0.226399	0.226399	0.222972	0.222958	0.223046	0.222963	0.222595	0.22267	0.222705	0.222612	0.221462	0.217452	0.210027	0.202471	0.19766	0.195426	0.194067	0.192789	0.191559	0.189012	0.185477	0.182001	0.178078	0.173627	0.16877	0.163645	0.159405	0.157378	0.154075	0.150609	0.14935	0.150266	0.149973	0.14796	0.14799	0.148484	0.149271	0.149852	0.150883	0.152223	0.154156	0.156909	0.160947	0.166551	0.174243	0.184614	0.188965	0.191838	0.19335	0.196703	0.198742	0.199253	0.198707	0.197084	0.194561	0.191575	0.18898	0.187746	0.186969	0.18785	0.18785	0.187138	0.186768	0.186675	0.18672	0.18662	0.186379	0.1861	

59	0.016	1	0	task-0:0.47	|	0.39601	0.245285	0.237197	0.234351	0.222395	0.222442	0.22421	0.224056	0.222013	0.22248	0.222407	0.221626	0.221797	0.221796	0.221576	0.221649	0.221648	0.221564	0.221605	0.221643	0.221671	0.221749	0.221839	0.221928	0.222021	0.222101	0.222159	0.222193	0.222211	0.222219	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222116	

56	0.031	1	0	task-0:0.47	|	0.23852	0.233569	0.232606	0.222221	0.242476	0.242473	0.226899	0.222257	0.222201	0.222772	0.222738	0.221952	0.221979	0.221885	0.221659	0.221691	0.22159	0.221358	0.22109	0.220684	0.22005	0.219048	0.218277	0.218555	0.219268	0.219753	0.219863	0.219919	0.220062	0.220292	0.220772	0.221186	0.221558	0.221849	0.222042	0.222133	0.222181	0.222201	0.222211	0.222216	0.222219	0.222222	0.222222	0.222222	0.222222	0.222218	0.222211	0.222177	0.221932	0.219085	0.221209	0.220374	0.217736	0.220733	0.220896	0.220771	
