186	0.078	1	0	task-3:0.148	task-0:0.428	task-1:0.438	task-2:0.04	|	0.0568958	0.0557477	0.0545787	0.0545208	0.0544371	0.0543249	0.0541551	0.053863	0.0535111	0.056111	0.0533865	0.0533127	0.0533073	0.0532854	0.0532401	0.0531699	0.0530716	0.0530809	0.0532445	0.0529845	0.05298	0.052971	0.0529543	0.0526091	0.0520947	0.0509148	0.0499487	0.0485853	0.0473512	0.0461618	0.0458018	0.0447705	0.043371	0.0424729	0.0417388	0.0411719	0.0407165	0.0401549	0.0395905	0.038424	0.0369627	0.0358497	0.0354247	0.034758	0.0343114	0.0339083	0.0330705	0.0316516	0.029143	0.0263597	0.0670774	0.025544	0.0257293	0.0249432	0.0248089	0.0245916	0.0241174	0.0232416	0.025664	0.0228983	0.0227621	0.0226194	0.02233	0.0219476	0.0219508	0.0216531	0.02157	0.0214198	0.0212366	0.0211749	0.0211183	0.0210768	0.0209824	0.0208309	0.0206854	0.0205201	0.0202248	0.0201924	0.01993	0.0198333	0.0198163	0.0197646	0.0196785	0.0196055	0.0194972	0.0193638	0.0191822	0.019092	0.0190412	0.0189232	0.0187008	0.0184594	0.0184186	0.0182507	0.0181825	0.0180341	0.0177235	0.0170987	0.0159116	0.0138427	0.0313037	0.0440845	0.0147375	0.012147	0.0120942	0.0120068	0.0118407	0.0115664	0.0113622	0.0124292	

105	0.062	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.063	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

135	0.078	2	0	task-3:0.458	task-0:0.194	task-1:0.15	task-2:0.482	|	0.0660394	0.0622178	0.0567774	0.0564018	0.0558621	0.0549523	0.054062	0.0539717	0.054187	0.0538511	0.0538216	0.0537647	0.0537124	0.0536232	0.0535179	0.0533573	0.0533265	0.0534444	0.0531672	0.0531494	0.0531165	0.0530756	0.0530445	0.0530316	0.0530267	0.0530158	0.0529992	0.052971	0.0529478	0.0529551	0.0529295	0.0529235	0.0529122	0.0529019	0.0528952	0.05233	0.0511199	0.048042	0.0429504	0.0377436	0.0342358	0.0341672	0.03188	0.0284363	0.0229989	0.0161816	0.0245299	0.0159873	0.0138993	0.0120449	0.0119061	0.0115954	0.0110025	0.00991721	0.00848111	0.00696845	

105	0.062	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.063	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.046	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.063	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.062	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

105	0.047	1	0	task-3:0.456	task-0:0.172	task-1:0.12	task-2:0.464	|	0.0583787	0.0568468	0.0547415	0.0545871	0.054347	0.0540937	0.053749	0.0536525	0.0540367	0.0534437	0.0534233	0.0533807	0.0533057	0.0531914	0.0531307	0.0532212	0.0530674	0.0530574	0.0530395	0.0530232	0.053016	0.0530036	0.052154	0.0509145	0.0476988	0.042469	0.0374422	0.0325533	0.0301791	0.027982	0.0264011	0.0238107	0.0217809	0.0199025	0.0187698	0.0175631	0.0162505	0.0155398	0.0141098	0.012052	0.0107387	0.0100479	0.00949732	0.00907467	0.00852046	0.00756472	0.00598042	

101	0.047	1	0	task-3:0.456	task-0:0.164	task-1:0.188	task-2:0.47	|	0.0706504	0.0667344	0.0569779	0.0572525	0.0544778	0.0543873	0.0542048	0.0538874	0.0535121	0.0541821	0.0535774	0.0533518	0.053339	0.0533054	0.0532346	0.0531088	0.0529746	0.0540123	0.0529496	0.0529452	0.0529367	0.0529253	0.0529096	0.0528824	0.0520005	0.051098	0.0479974	0.0448888	0.040159	0.0374186	0.035873	0.0340026	0.0324463	0.0306238	0.026885	0.0254602	0.0234828	0.0216857	0.0210981	0.0198579	0.017505	0.0138267	

101	0.047	1	0	task-3:0.456	task-0:0.164	task-1:0.188	task-2:0.47	|	0.0706504	0.0667344	0.0569779	0.0572525	0.0544778	0.0543873	0.0542048	0.0538874	0.0535121	0.0541821	0.0535774	0.0533518	0.053339	0.0533054	0.0532346	0.0531088	0.0529746	0.0540123	0.0529496	0.0529452	0.0529367	0.0529253	0.0529096	0.0528824	0.0520005	0.051098	0.0479974	0.0448888	0.040159	0.0374186	0.035873	0.0340026	0.0324463	0.0306238	0.026885	0.0254602	0.0234828	0.0216857	0.0210981	0.0198579	0.017505	0.0138267	

101	0.047	1	0	task-3:0.456	task-0:0.164	task-1:0.188	task-2:0.47	|	0.0706504	0.0667344	0.0569779	0.0572525	0.0544778	0.0543873	0.0542048	0.0538874	0.0535121	0.0541821	0.0535774	0.0533518	0.053339	0.0533054	0.0532346	0.0531088	0.0529746	0.0540123	0.0529496	0.0529452	0.0529367	0.0529253	0.0529096	0.0528824	0.0520005	0.051098	0.0479974	0.0448888	0.040159	0.0374186	0.035873	0.0340026	0.0324463	0.0306238	0.026885	0.0254602	0.0234828	0.0216857	0.0210981	0.0198579	0.017505	0.0138267	

101	0.062	1	0	task-3:0.456	task-0:0.164	task-1:0.188	task-2:0.47	|	0.0706504	0.0667344	0.0569779	0.0572525	0.0544778	0.0543873	0.0542048	0.0538874	0.0535121	0.0541821	0.0535774	0.0533518	0.053339	0.0533054	0.0532346	0.0531088	0.0529746	0.0540123	0.0529496	0.0529452	0.0529367	0.0529253	0.0529096	0.0528824	0.0520005	0.051098	0.0479974	0.0448888	0.040159	0.0374186	0.035873	0.0340026	0.0324463	0.0306238	0.026885	0.0254602	0.0234828	0.0216857	0.0210981	0.0198579	0.017505	0.0138267	

101	0.047	1	0	task-3:0.456	task-0:0.164	task-1:0.188	task-2:0.47	|	0.0706504	0.0667344	0.0569779	0.0572525	0.0544778	0.0543873	0.0542048	0.0538874	0.0535121	0.0541821	0.0535774	0.0533518	0.053339	0.0533054	0.0532346	0.0531088	0.0529746	0.0540123	0.0529496	0.0529452	0.0529367	0.0529253	0.0529096	0.0528824	0.0520005	0.051098	0.0479974	0.0448888	0.040159	0.0374186	0.035873	0.0340026	0.0324463	0.0306238	0.026885	0.0254602	0.0234828	0.0216857	0.0210981	0.0198579	0.017505	0.0138267	

98	0.047	1	0	task-3:0.456	task-0:0.144	task-1:0.318	task-2:0.472	|	0.0577103	0.0568701	0.0557101	0.055298	0.0546595	0.054152	0.0539227	0.0537964	0.0537024	0.0536147	0.0534536	0.0532241	0.0535895	0.0532276	0.0530763	0.0530683	0.0530494	0.0530169	0.052993	0.0529761	0.0529671	0.0529609	0.0529487	0.0529318	0.0529227	0.0529176	0.0529124	0.0529078	0.0521354	0.0510481	0.0481883	0.043392	0.0394825	0.0367512	0.0377444	0.0344045	0.0339488	0.0328356	0.0304299	0.0255968	0.0190026	0.0600678	0.0156803	

101	0.063	1	0	task-3:0.456	task-0:0.164	task-1:0.188	task-2:0.47	|	0.0706504	0.0667344	0.0569779	0.0572525	0.0544778	0.0543873	0.0542048	0.0538874	0.0535121	0.0541821	0.0535774	0.0533518	0.053339	0.0533054	0.0532346	0.0531088	0.0529746	0.0540123	0.0529496	0.0529452	0.0529367	0.0529253	0.0529096	0.0528824	0.0520005	0.051098	0.0479974	0.0448888	0.040159	0.0374186	0.035873	0.0340026	0.0324463	0.0306238	0.026885	0.0254602	0.0234828	0.0216857	0.0210981	0.0198579	0.017505	0.0138267	

98	0.047	1	0	task-3:0.456	task-0:0.144	task-1:0.318	task-2:0.472	|	0.0577103	0.0568701	0.0557101	0.055298	0.0546595	0.054152	0.0539227	0.0537964	0.0537024	0.0536147	0.0534536	0.0532241	0.0535895	0.0532276	0.0530763	0.0530683	0.0530494	0.0530169	0.052993	0.0529761	0.0529671	0.0529609	0.0529487	0.0529318	0.0529227	0.0529176	0.0529124	0.0529078	0.0521354	0.0510481	0.0481883	0.043392	0.0394825	0.0367512	0.0377444	0.0344045	0.0339488	0.0328356	0.0304299	0.0255968	0.0190026	0.0600678	0.0156803	

101	0.046	1	0	task-3:0.456	task-0:0.164	task-1:0.188	task-2:0.47	|	0.0706504	0.0667344	0.0569779	0.0572525	0.0544778	0.0543873	0.0542048	0.0538874	0.0535121	0.0541821	0.0535774	0.0533518	0.053339	0.0533054	0.0532346	0.0531088	0.0529746	0.0540123	0.0529496	0.0529452	0.0529367	0.0529253	0.0529096	0.0528824	0.0520005	0.051098	0.0479974	0.0448888	0.040159	0.0374186	0.035873	0.0340026	0.0324463	0.0306238	0.026885	0.0254602	0.0234828	0.0216857	0.0210981	0.0198579	0.017505	0.0138267	

101	0.047	1	0	task-3:0.456	task-0:0.164	task-1:0.188	task-2:0.47	|	0.0706504	0.0667344	0.0569779	0.0572525	0.0544778	0.0543873	0.0542048	0.0538874	0.0535121	0.0541821	0.0535774	0.0533518	0.053339	0.0533054	0.0532346	0.0531088	0.0529746	0.0540123	0.0529496	0.0529452	0.0529367	0.0529253	0.0529096	0.0528824	0.0520005	0.051098	0.0479974	0.0448888	0.040159	0.0374186	0.035873	0.0340026	0.0324463	0.0306238	0.026885	0.0254602	0.0234828	0.0216857	0.0210981	0.0198579	0.017505	0.0138267	

