81	0.015	1	0	task-0:0.318	|	0.30956	0.223108	0.219279	0.217369	0.216246	0.215284	0.213031	0.209733	0.228028	0.208884	0.208474	0.207621	0.206327	0.204958	0.214189	0.203933	0.20368	0.203049	0.202008	0.200664	0.210844	0.200172	0.200044	0.199778	0.199219	0.198839	0.202059	0.198192	0.198111	0.19792	0.197533	0.197532	0.198752	0.196964	0.172957	0.164378	0.148396	0.136014	0.130129	0.115802	0.0914723	0.0578845	0.0362073	

77	0	1	0	task-0:0.274	|	0.311108	0.226107	0.221785	0.21652	0.213145	0.212929	0.211286	0.209732	0.209281	0.208408	0.207106	0.204589	0.215056	0.21022	0.202296	0.201914	0.20178	0.201653	0.201386	0.201284	0.201127	0.20109	0.200832	0.20061	0.200076	0.199081	0.20464	0.175756	0.169135	0.153111	0.129723	0.105016	0.0810955	0.070565	0.064009	0.0579426	0.0502162	0.0378742	

77	0	1	0	task-0:0.274	|	0.311108	0.226107	0.221785	0.21652	0.213145	0.212929	0.211286	0.209732	0.209281	0.208408	0.207106	0.204589	0.215056	0.21022	0.202296	0.201914	0.20178	0.201653	0.201386	0.201284	0.201127	0.20109	0.200832	0.20061	0.200076	0.199081	0.20464	0.175756	0.169135	0.153111	0.129723	0.105016	0.0810955	0.070565	0.064009	0.0579426	0.0502162	0.0378742	

77	0.016	1	0	task-0:0.274	|	0.311108	0.226107	0.221785	0.21652	0.213145	0.212929	0.211286	0.209732	0.209281	0.208408	0.207106	0.204589	0.215056	0.21022	0.202296	0.201914	0.20178	0.201653	0.201386	0.201284	0.201127	0.20109	0.200832	0.20061	0.200076	0.199081	0.20464	0.175756	0.169135	0.153111	0.129723	0.105016	0.0810955	0.070565	0.064009	0.0579426	0.0502162	0.0378742	

77	0	1	0	task-0:0.274	|	0.311108	0.226107	0.221785	0.21652	0.213145	0.212929	0.211286	0.209732	0.209281	0.208408	0.207106	0.204589	0.215056	0.21022	0.202296	0.201914	0.20178	0.201653	0.201386	0.201284	0.201127	0.20109	0.200832	0.20061	0.200076	0.199081	0.20464	0.175756	0.169135	0.153111	0.129723	0.105016	0.0810955	0.070565	0.064009	0.0579426	0.0502162	0.0378742	

77	0.015	1	0	task-0:0.274	|	0.311108	0.226107	0.221785	0.21652	0.213145	0.212929	0.211286	0.209732	0.209281	0.208408	0.207106	0.204589	0.215056	0.21022	0.202296	0.201914	0.20178	0.201653	0.201386	0.201284	0.201127	0.20109	0.200832	0.20061	0.200076	0.199081	0.20464	0.175756	0.169135	0.153111	0.129723	0.105016	0.0810955	0.070565	0.064009	0.0579426	0.0502162	0.0378742	

77	0	1	0	task-0:0.274	|	0.311108	0.226107	0.221785	0.21652	0.213145	0.212929	0.211286	0.209732	0.209281	0.208408	0.207106	0.204589	0.215056	0.21022	0.202296	0.201914	0.20178	0.201653	0.201386	0.201284	0.201127	0.20109	0.200832	0.20061	0.200076	0.199081	0.20464	0.175756	0.169135	0.153111	0.129723	0.105016	0.0810955	0.070565	0.064009	0.0579426	0.0502162	0.0378742	

