94	0.047	1	0	task-3:0.452	task-0:0.18	task-1:0.184	task-2:0.476	|	0.0565439	0.0550437	0.053194	0.0531755	0.0531398	0.0530981	0.0530756	0.0530615	0.0530348	0.0530007	0.0529536	0.053025	0.0529349	0.0529128	0.0529102	0.0521669	0.0510972	0.0483542	0.0439428	0.0403944	0.0368226	0.037021	0.0349643	0.0342752	0.0328919	0.0304132	0.0266194	0.0251057	0.0235241	0.0226671	0.0221224	0.0213634	0.0198747	0.01788	0.0189568	0.0170067	0.0166344	0.0161324	0.0155007	0.0145849	0.0130265	0.0107892	

84	0.047	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

98	0.047	1	0	task-3:0.456	task-0:0.212	task-1:0.118	task-2:0.464	|	0.0567556	0.0556773	0.0543333	0.0542283	0.0540187	0.0536683	0.0534417	0.0547145	0.0533001	0.0532875	0.0532644	0.0532222	0.0531849	0.0531181	0.0530788	0.0530763	0.053031	0.0530233	0.0530105	0.0529914	0.0529764	0.052962	0.052958	0.0529487	0.0520815	0.0508426	0.0476798	0.0426414	0.0379172	0.0333619	0.0307048	0.0280216	0.0258522	0.0220899	0.0178944	0.0147496	0.0135471	0.0133782	0.012846	0.0118881	0.0110354	0.00984174	0.00822231	0.00630219	0.0052691	0.00439681	

84	0.047	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

84	0.047	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

84	0.031	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

84	0.031	1	0	task-3:0.446	task-0:0.162	task-1:0.202	task-2:0.476	|	0.0685155	0.0646644	0.0559442	0.0554072	0.0543565	0.0542756	0.0541117	0.053806	0.053358	0.0533074	0.0590343	0.0530934	0.0530845	0.0530622	0.0530286	0.0530037	0.0529703	0.0529352	0.0528835	0.0528962	0.0530362	0.052847	0.0528462	0.0528443	0.052007	0.0508151	0.0476916	0.0425021	0.0384217	0.0352115	0.0354391	0.0321079	0.0314041	0.029807	0.026524	0.0203969	0.0113696	

