101	0	1	0	task-0:0.284	|	0.222223	0.218184	0.216205	0.213862	0.211471	0.218972	0.209872	0.208252	0.207955	0.207442	0.207073	0.206642	0.205652	0.204402	0.207714	0.203583	0.203352	0.202869	0.201943	0.200772	0.208722	0.200262	0.200124	0.19983	0.199208	0.199526	0.199912	0.19847	0.198393	0.198183	0.197916	0.197684	0.197959	0.197462	0.17158	0.162454	0.146084	0.133691	0.130778	0.120963	0.101912	0.0773193	0.0589064	0.0544469	0.0442322	0.0295521	0.0149236	

86	0	1	0	task-0:0.272	|	0.244249	0.236408	0.227883	0.219596	0.222706	0.218215	0.217051	0.215885	0.214459	0.212684	0.211556	0.21309	0.209787	0.209059	0.208421	0.207479	0.206221	0.205806	0.20779	0.204247	0.20382	0.203496	0.202991	0.202276	0.201241	0.204918	0.200913	0.200655	0.200424	0.199912	0.199966	0.200182	0.199142	0.199	0.198857	0.19865	0.198449	0.198284	0.198206	0.19809	0.197986	0.197906	0.173627	0.165098	0.148117	0.134614	0.125737	0.107095	0.0774669	0.0437836	0.0336119	0.0252106	

86	0	1	0	task-0:0.272	|	0.244249	0.236408	0.227883	0.219596	0.222706	0.218215	0.217051	0.215885	0.214459	0.212684	0.211556	0.21309	0.209787	0.209059	0.208421	0.207479	0.206221	0.205806	0.20779	0.204247	0.20382	0.203496	0.202991	0.202276	0.201241	0.204918	0.200913	0.200655	0.200424	0.199912	0.199966	0.200182	0.199142	0.199	0.198857	0.19865	0.198449	0.198284	0.198206	0.19809	0.197986	0.197906	0.173627	0.165098	0.148117	0.134614	0.125737	0.107095	0.0774669	0.0437836	0.0336119	0.0252106	

86	0.016	1	0	task-0:0.272	|	0.244249	0.236408	0.227883	0.219596	0.222706	0.218215	0.217051	0.215885	0.214459	0.212684	0.211556	0.21309	0.209787	0.209059	0.208421	0.207479	0.206221	0.205806	0.20779	0.204247	0.20382	0.203496	0.202991	0.202276	0.201241	0.204918	0.200913	0.200655	0.200424	0.199912	0.199966	0.200182	0.199142	0.199	0.198857	0.19865	0.198449	0.198284	0.198206	0.19809	0.197986	0.197906	0.173627	0.165098	0.148117	0.134614	0.125737	0.107095	0.0774669	0.0437836	0.0336119	0.0252106	

86	0	1	0	task-0:0.272	|	0.244249	0.236408	0.227883	0.219596	0.222706	0.218215	0.217051	0.215885	0.214459	0.212684	0.211556	0.21309	0.209787	0.209059	0.208421	0.207479	0.206221	0.205806	0.20779	0.204247	0.20382	0.203496	0.202991	0.202276	0.201241	0.204918	0.200913	0.200655	0.200424	0.199912	0.199966	0.200182	0.199142	0.199	0.198857	0.19865	0.198449	0.198284	0.198206	0.19809	0.197986	0.197906	0.173627	0.165098	0.148117	0.134614	0.125737	0.107095	0.0774669	0.0437836	0.0336119	0.0252106	

86	0	1	0	task-0:0.272	|	0.244249	0.236408	0.227883	0.219596	0.222706	0.218215	0.217051	0.215885	0.214459	0.212684	0.211556	0.21309	0.209787	0.209059	0.208421	0.207479	0.206221	0.205806	0.20779	0.204247	0.20382	0.203496	0.202991	0.202276	0.201241	0.204918	0.200913	0.200655	0.200424	0.199912	0.199966	0.200182	0.199142	0.199	0.198857	0.19865	0.198449	0.198284	0.198206	0.19809	0.197986	0.197906	0.173627	0.165098	0.148117	0.134614	0.125737	0.107095	0.0774669	0.0437836	0.0336119	0.0252106	

86	0.015	1	0	task-0:0.272	|	0.244249	0.236408	0.227883	0.219596	0.222706	0.218215	0.217051	0.215885	0.214459	0.212684	0.211556	0.21309	0.209787	0.209059	0.208421	0.207479	0.206221	0.205806	0.20779	0.204247	0.20382	0.203496	0.202991	0.202276	0.201241	0.204918	0.200913	0.200655	0.200424	0.199912	0.199966	0.200182	0.199142	0.199	0.198857	0.19865	0.198449	0.198284	0.198206	0.19809	0.197986	0.197906	0.173627	0.165098	0.148117	0.134614	0.125737	0.107095	0.0774669	0.0437836	0.0336119	0.0252106	

86	0	1	0	task-0:0.272	|	0.244249	0.236408	0.227883	0.219596	0.222706	0.218215	0.217051	0.215885	0.214459	0.212684	0.211556	0.21309	0.209787	0.209059	0.208421	0.207479	0.206221	0.205806	0.20779	0.204247	0.20382	0.203496	0.202991	0.202276	0.201241	0.204918	0.200913	0.200655	0.200424	0.199912	0.199966	0.200182	0.199142	0.199	0.198857	0.19865	0.198449	0.198284	0.198206	0.19809	0.197986	0.197906	0.173627	0.165098	0.148117	0.134614	0.125737	0.107095	0.0774669	0.0437836	0.0336119	0.0252106	

