108	0.063	1	0	task-3:0.454	task-0:0.142	task-1:0.088	task-2:0.45	|	0.0556615	0.0550596	0.0542832	0.0540522	0.053665	0.0532893	0.0531296	0.0530419	0.053018	0.0529771	0.0529366	0.0530384	0.0529285	0.0529246	0.0529165	0.0529001	0.0528712	0.0528965	0.0530002	0.0519638	0.0506915	0.0472657	0.041179	0.0344395	0.0319332	0.0307107	0.029283	0.0265063	0.0218203	0.0166165	0.01887	0.0157431	0.0127875	0.011916	0.0118122	0.01161	0.0111896	0.0106295	0.0100222	0.00914631	0.00766906	0.00595282	0.00531605	0.00526946	0.00402049	0.00385068	0.00366807	0.00342263	0.00305864	0.00265712	0.002443	

104	0.046	1	0	task-3:0.456	task-0:0.168	task-1:0.068	task-2:0.462	|	0.0611724	0.059452	0.0572072	0.0570972	0.0568864	0.0564748	0.0559038	0.0553732	0.0549468	0.0542911	0.0538398	0.0568116	0.0536595	0.0536271	0.0535746	0.0534974	0.053412	0.0532949	0.0531209	0.0537201	0.0531091	0.0530559	0.0530514	0.0530405	0.0530174	0.052118	0.0508644	0.0477065	0.0431451	0.0395941	0.0356536	0.0322628	0.0296997	0.0278644	0.0246464	0.0210806	0.0186204	0.0177189	0.0162364	0.0144701	0.0116078	0.00881227	0.0109448	0.00870992	0.00885985	0.00797156	0.00765083	0.00709301	0.00658256	0.00594782	0.00488183	0.00353024	0.0052045	0.00300411	0.00284798	0.00256005	0.0021076	

104	0.063	1	0	task-3:0.456	task-0:0.168	task-1:0.068	task-2:0.462	|	0.0611724	0.059452	0.0572072	0.0570972	0.0568864	0.0564748	0.0559038	0.0553732	0.0549468	0.0542911	0.0538398	0.0568116	0.0536595	0.0536271	0.0535746	0.0534974	0.053412	0.0532949	0.0531209	0.0537201	0.0531091	0.0530559	0.0530514	0.0530405	0.0530174	0.052118	0.0508644	0.0477065	0.0431451	0.0395941	0.0356536	0.0322628	0.0296997	0.0278644	0.0246464	0.0210806	0.0186204	0.0177189	0.0162364	0.0144701	0.0116078	0.00881227	0.0109448	0.00870992	0.00885985	0.00797156	0.00765083	0.00709301	0.00658256	0.00594782	0.00488183	0.00353024	0.0052045	0.00300411	0.00284798	0.00256005	0.0021076	

104	0.047	1	0	task-3:0.456	task-0:0.168	task-1:0.068	task-2:0.462	|	0.0611724	0.059452	0.0572072	0.0570972	0.0568864	0.0564748	0.0559038	0.0553732	0.0549468	0.0542911	0.0538398	0.0568116	0.0536595	0.0536271	0.0535746	0.0534974	0.053412	0.0532949	0.0531209	0.0537201	0.0531091	0.0530559	0.0530514	0.0530405	0.0530174	0.052118	0.0508644	0.0477065	0.0431451	0.0395941	0.0356536	0.0322628	0.0296997	0.0278644	0.0246464	0.0210806	0.0186204	0.0177189	0.0162364	0.0144701	0.0116078	0.00881227	0.0109448	0.00870992	0.00885985	0.00797156	0.00765083	0.00709301	0.00658256	0.00594782	0.00488183	0.00353024	0.0052045	0.00300411	0.00284798	0.00256005	0.0021076	

104	0.047	1	0	task-3:0.456	task-0:0.168	task-1:0.068	task-2:0.462	|	0.0611724	0.059452	0.0572072	0.0570972	0.0568864	0.0564748	0.0559038	0.0553732	0.0549468	0.0542911	0.0538398	0.0568116	0.0536595	0.0536271	0.0535746	0.0534974	0.053412	0.0532949	0.0531209	0.0537201	0.0531091	0.0530559	0.0530514	0.0530405	0.0530174	0.052118	0.0508644	0.0477065	0.0431451	0.0395941	0.0356536	0.0322628	0.0296997	0.0278644	0.0246464	0.0210806	0.0186204	0.0177189	0.0162364	0.0144701	0.0116078	0.00881227	0.0109448	0.00870992	0.00885985	0.00797156	0.00765083	0.00709301	0.00658256	0.00594782	0.00488183	0.00353024	0.0052045	0.00300411	0.00284798	0.00256005	0.0021076	

104	0.047	1	0	task-3:0.456	task-0:0.168	task-1:0.068	task-2:0.462	|	0.0611724	0.059452	0.0572072	0.0570972	0.0568864	0.0564748	0.0559038	0.0553732	0.0549468	0.0542911	0.0538398	0.0568116	0.0536595	0.0536271	0.0535746	0.0534974	0.053412	0.0532949	0.0531209	0.0537201	0.0531091	0.0530559	0.0530514	0.0530405	0.0530174	0.052118	0.0508644	0.0477065	0.0431451	0.0395941	0.0356536	0.0322628	0.0296997	0.0278644	0.0246464	0.0210806	0.0186204	0.0177189	0.0162364	0.0144701	0.0116078	0.00881227	0.0109448	0.00870992	0.00885985	0.00797156	0.00765083	0.00709301	0.00658256	0.00594782	0.00488183	0.00353024	0.0052045	0.00300411	0.00284798	0.00256005	0.0021076	
