94	0.015	1	0	task-0:0.25	|	0.393915	0.216095	0.215354	0.214442	0.213299	0.212266	0.210527	0.209171	0.223839	0.206797	0.206379	0.205249	0.20345	0.207936	0.202772	0.202553	0.202087	0.201103	0.201235	0.203248	0.199916	0.199801	0.199481	0.198952	0.197926	0.200888	0.204673	0.196802	0.196743	0.196671	0.196629	0.196601	0.196581	0.196514	0.196504	0.196448	0.196425	0.196373	0.196353	0.196291	0.170872	0.163127	0.147554	0.13481	0.12649	0.109351	0.0820435	0.0468756	0.0331584	0.028821	0.0178642	0.0137535	0.0117927	0.00834709	0.00399886	0.0034763	0.0202783	0.00229274	

110	0	1	0	task-0:0.256	|	0.303418	0.232834	0.229455	0.225447	0.223975	0.221602	0.221015	0.219883	0.218154	0.215714	0.221642	0.214865	0.214447	0.213291	0.211123	0.211892	0.209568	0.208929	0.208782	0.208074	0.207849	0.207419	0.207136	0.20647	0.205904	0.205187	0.204914	0.204725	0.204265	0.203927	0.203215	0.203285	0.203159	0.202141	0.201864	0.20158	0.201144	0.200835	0.200555	0.200528	0.200407	0.200317	0.200026	0.199691	0.199457	0.199458	0.199096	0.198949	0.198817	0.198626	0.173735	0.163083	0.146757	0.131779	0.121802	0.1017	0.0760793	0.0496636	0.0619878	0.039526	0.0365994	0.0314288	0.0240261	0.0140669	0.0262888	0.00766399	0.00641385	0.00628557	0.00597104	0.00533813	0.00425838	0.00288396	0.00194004	

113	0.016	1	0	task-0:0.256	|	0.422682	0.22547	0.224193	0.217843	0.215278	0.212485	0.21476	0.211427	0.21093	0.21028	0.208639	0.206019	0.20662	0.226577	0.202861	0.202952	0.201927	0.201782	0.201419	0.201123	0.200654	0.20067	0.200188	0.19999	0.199914	0.199681	0.199641	0.174826	0.171023	0.15637	0.140155	0.117691	0.0812911	0.0576843	0.0514505	0.0421918	0.0385589	0.0323898	0.0299422	0.0269599	0.022134	0.024831	0.0208913	0.0165956	0.0155343	0.0136863	0.0114585	0.00809394	0.00500679	0.00439126	0.00359775	0.0028806	0.00210565	

113	0.016	1	0	task-0:0.256	|	0.422682	0.22547	0.224193	0.217843	0.215278	0.212485	0.21476	0.211427	0.21093	0.21028	0.208639	0.206019	0.20662	0.226577	0.202861	0.202952	0.201927	0.201782	0.201419	0.201123	0.200654	0.20067	0.200188	0.19999	0.199914	0.199681	0.199641	0.174826	0.171023	0.15637	0.140155	0.117691	0.0812911	0.0576843	0.0514505	0.0421918	0.0385589	0.0323898	0.0299422	0.0269599	0.022134	0.024831	0.0208913	0.0165956	0.0155343	0.0136863	0.0114585	0.00809394	0.00500679	0.00439126	0.00359775	0.0028806	0.00210565	

236	0.031	2	0	task-0:0.118	|	0.228121	0.221436	0.219652	0.218403	0.217426	0.215298	0.214099	0.216303	0.211609	0.211078	0.209994	0.208653	0.207598	0.210069	0.206378	0.205817	0.205325	0.204494	0.203172	0.203168	0.209106	0.20125	0.200923	0.200914	0.20075	0.200618	0.200264	0.199788	0.200642	0.199307	0.199188	0.198945	0.198615	0.197994	0.198672	0.199071	0.235764	0.196542	0.196484	0.196373	0.196294	0.196276	0.196206	0.19608	0.195813	0.196323	0.195745	0.1957	0.195672	0.195664	0.178259	0.172671	0.162793	0.160085	0.153971	0.149017	0.139961	0.132332	0.113764	0.0926357	0.159987	0.0849904	0.109282	0.0785737	0.0762072	0.0738887	0.0714194	0.068841	0.0679557	0.0653743	0.0638031	0.0622907	0.0612816	0.0588834	0.0583831	0.0564686	0.0558954	0.0562551	0.0539735	0.0533361	0.053632	0.0516201	0.0510859	0.0506165	0.0496717	0.0486069	0.0483379	0.0470268	0.0460939	0.0447977	0.0438361	0.042604	0.0421167	0.040991	0.040314	0.0394304	0.0391535	0.0381442	0.0377952	0.0370214	0.0364176	0.0350241	0.0341994	0.0351315	0.0326105	0.0321385	0.0313553	0.0298111	0.0268441	0.026399	0.0964227	0.021877	0.0216559	0.0212538	0.0211866	0.0208912	0.0205915	0.0203931	0.0200989	0.0197089	0.0194237	0.019326	0.0190284	0.0187682	0.0183134	0.0173426	0.0156032	0.0126882	0.00973993	0.273654	0.00867422	0.00860388	0.0084224	0.00835475	0.00821567	0.00794381	0.0074937	0.00696579	0.0089635	0.00686434	0.00681774	0.0067663	0.0067056	0.00663232	0.00646966	0.00613742	0.00556187	0.0074055	0.00648252	0.00500934	0.00497817	0.00490217	0.00475824	0.00476802	0.00464705	0.0045346	0.00451281	0.00447085	0.00435683	0.00428946	0.00416283	0.00411668	0.00407637	0.00399063	0.00388718	0.00370436	0.00336461	0.00388943	0.00751227	0.00302154	0.002977	0.00294424	0.00293204	0.00291474	0.00289756	0.00284999	0.00279735	0.00277774	0.00273581	0.00270181	0.00268796	0.00265952	0.0025983	0.00248016	

236	0.015	2	0	task-0:0.118	|	0.228121	0.221436	0.219652	0.218403	0.217426	0.215298	0.214099	0.216303	0.211609	0.211078	0.209994	0.208653	0.207598	0.210069	0.206378	0.205817	0.205325	0.204494	0.203172	0.203168	0.209106	0.20125	0.200923	0.200914	0.20075	0.200618	0.200264	0.199788	0.200642	0.199307	0.199188	0.198945	0.198615	0.197994	0.198672	0.199071	0.235764	0.196542	0.196484	0.196373	0.196294	0.196276	0.196206	0.19608	0.195813	0.196323	0.195745	0.1957	0.195672	0.195664	0.178259	0.172671	0.162793	0.160085	0.153971	0.149017	0.139961	0.132332	0.113764	0.0926357	0.159987	0.0849904	0.109282	0.0785737	0.0762072	0.0738887	0.0714194	0.068841	0.0679557	0.0653743	0.0638031	0.0622907	0.0612816	0.0588834	0.0583831	0.0564686	0.0558954	0.0562551	0.0539735	0.0533361	0.053632	0.0516201	0.0510859	0.0506165	0.0496717	0.0486069	0.0483379	0.0470268	0.0460939	0.0447977	0.0438361	0.042604	0.0421167	0.040991	0.040314	0.0394304	0.0391535	0.0381442	0.0377952	0.0370214	0.0364176	0.0350241	0.0341994	0.0351315	0.0326105	0.0321385	0.0313553	0.0298111	0.0268441	0.026399	0.0964227	0.021877	0.0216559	0.0212538	0.0211866	0.0208912	0.0205915	0.0203931	0.0200989	0.0197089	0.0194237	0.019326	0.0190284	0.0187682	0.0183134	0.0173426	0.0156032	0.0126882	0.00973993	0.273654	0.00867422	0.00860388	0.0084224	0.00835475	0.00821567	0.00794381	0.0074937	0.00696579	0.0089635	0.00686434	0.00681774	0.0067663	0.0067056	0.00663232	0.00646966	0.00613742	0.00556187	0.0074055	0.00648252	0.00500934	0.00497817	0.00490217	0.00475824	0.00476802	0.00464705	0.0045346	0.00451281	0.00447085	0.00435683	0.00428946	0.00416283	0.00411668	0.00407637	0.00399063	0.00388718	0.00370436	0.00336461	0.00388943	0.00751227	0.00302154	0.002977	0.00294424	0.00293204	0.00291474	0.00289756	0.00284999	0.00279735	0.00277774	0.00273581	0.00270181	0.00268796	0.00265952	0.0025983	0.00248016	
