102	0	1	0	task-0:0.244	|	0.236686	0.223978	0.221975	0.220522	0.219321	0.217832	0.2173	0.215599	0.213519	0.214189	0.211504	0.210756	0.210571	0.209858	0.209629	0.208943	0.20833	0.207088	0.205882	0.222865	0.20431	0.203975	0.203071	0.201717	0.202792	0.204994	0.200313	0.200192	0.199859	0.199384	0.199283	0.202217	0.198933	0.198727	0.198418	0.198174	0.197944	0.197903	0.197821	0.197693	0.172159	0.162266	0.146263	0.132751	0.129973	0.118445	0.0989559	0.0765279	0.0590054	0.0541417	0.0438224	0.0295263	0.0131202	0.0126403	0.00513557	0.00394063	0.00380626	0.00381831	0.00370531	0.00345198	0.00302024	0.00254668	0.00181131	

125	0	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0.016	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0.016	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0.016	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0.015	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0.016	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

123	0.015	1	0	task-0:0.268	|	0.218307	0.216558	0.216294	0.215136	0.213954	0.211446	0.209605	0.22129	0.207839	0.207206	0.206931	0.206453	0.205858	0.205794	0.205514	0.205107	0.204313	0.204613	0.203829	0.203557	0.202836	0.201325	0.198692	0.214396	0.235135	0.198041	0.202583	0.196038	0.196006	0.195961	0.195902	0.195901	0.195881	0.195796	0.19567	0.19553	0.195742	0.195481	0.19544	0.195394	0.170695	0.161945	0.148035	0.135149	0.129057	0.113724	0.0892618	0.06223	0.0436269	0.0412113	0.0377075	0.0348718	0.0299407	0.0225396	0.0177857	0.0122726	0.0109329	0.00966006	0.00731958	0.00438983	0.00196805	

125	0	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

125	0	2	0	task-0:0.246	|	0.239979	0.23057	0.223887	0.221531	0.218815	0.219779	0.217398	0.216627	0.215582	0.213106	0.209705	0.225323	0.20873	0.208286	0.207528	0.20584	0.203023	0.220686	0.20259	0.20239	0.202102	0.201407	0.200902	0.202175	0.200383	0.200249	0.199967	0.199535	0.198653	0.200916	0.201545	0.197779	0.198338	0.197437	0.197381	0.197276	0.197252	0.197214	0.197094	0.19705	0.197034	0.196933	0.196881	0.196867	0.179779	0.173844	0.160689	0.149107	0.13251	0.113309	0.0939581	0.0818702	0.0644224	0.0537643	0.0443819	0.0402177	0.0382208	0.0348443	0.0323435	0.0307234	0.026207	0.0217751	0.0155245	0.0123069	0.0181714	0.00801002	0.00732136	0.00664114	0.0055764	0.00390196	0.00198958	

