110	0.015	1	0	task-0:0.258	|	0.241338	0.22565	0.225899	0.222486	0.221539	0.219993	0.218124	0.214671	0.22439	0.21349	0.212826	0.211735	0.209434	0.207657	0.22687	0.205765	0.205439	0.204613	0.20316	0.206081	0.202944	0.202631	0.202444	0.202266	0.202248	0.201966	0.201647	0.20141	0.201085	0.200998	0.20088	0.20061	0.200526	0.200401	0.200378	0.200158	0.200076	0.199965	0.199909	0.173734	0.162725	0.145155	0.131414	0.127633	0.114379	0.0929641	0.0623152	0.0386461	0.0316185	0.0271493	0.0213004	0.0179624	0.0136588	0.0122306	0.0251359	0.0117412	0.0100971	0.0100955	0.00991612	0.00946652	0.00875458	0.00783478	0.00714817	0.00612127	0.00448316	0.00304722	0.00151472	

112	0	1	0	task-0:0.246	|	0.232096	0.222163	0.221341	0.219932	0.217951	0.21509	0.220086	0.221832	0.213488	0.211773	0.210528	0.209638	0.208605	0.208009	0.207446	0.206921	0.206023	0.206138	0.205312	0.205021	0.204231	0.202774	0.204532	0.20424	0.201104	0.200959	0.200567	0.200077	0.200336	0.200243	0.19943	0.199265	0.199058	0.198742	0.198559	0.198511	0.19831	0.198245	0.198116	0.197962	0.173362	0.16394	0.150448	0.124369	0.0878445	0.0695225	0.0706134	0.0475832	0.0442234	0.0381121	0.0351136	0.0315067	0.0258683	0.0240393	0.0227272	0.0200554	0.0154669	0.0111407	0.00719433	0.00583004	0.00528434	0.00441627	0.0030534	0.00150347	

112	0.016	1	0	task-0:0.232	|	0.248561	0.230257	0.227513	0.220719	0.21907	0.216468	0.215455	0.213956	0.212967	0.212761	0.212242	0.211504	0.210418	0.209857	0.208844	0.20843	0.208168	0.207477	0.207282	0.206854	0.206541	0.205863	0.205262	0.204914	0.204158	0.203971	0.203512	0.203082	0.202329	0.201892	0.203251	0.201067	0.200915	0.200567	0.200129	0.199635	0.200839	0.199316	0.199148	0.198969	0.19861	0.197863	0.196511	0.19479	0.297775	0.194393	0.19436	0.194368	0.194362	0.194342	0.194424	0.194362	0.194336	0.194322	0.194327	0.194323	0.194294	0.194267	0.170203	0.162826	0.149285	0.13802	0.135084	0.126312	0.108031	0.0807061	0.0607212	0.0509589	0.0467429	0.0379503	0.0253295	0.0165423	0.0202907	0.0108599	0.00963206	0.0078298	0.00580674	0.0036679	0.00448678	0.00658568	0.003031	0.00257385	0.00254138	0.00248389	

112	0.016	1	0	task-0:0.232	|	0.248561	0.230257	0.227513	0.220719	0.21907	0.216468	0.215455	0.213956	0.212967	0.212761	0.212242	0.211504	0.210418	0.209857	0.208844	0.20843	0.208168	0.207477	0.207282	0.206854	0.206541	0.205863	0.205262	0.204914	0.204158	0.203971	0.203512	0.203082	0.202329	0.201892	0.203251	0.201067	0.200915	0.200567	0.200129	0.199635	0.200839	0.199316	0.199148	0.198969	0.19861	0.197863	0.196511	0.19479	0.297775	0.194393	0.19436	0.194368	0.194362	0.194342	0.194424	0.194362	0.194336	0.194322	0.194327	0.194323	0.194294	0.194267	0.170203	0.162826	0.149285	0.13802	0.135084	0.126312	0.108031	0.0807061	0.0607212	0.0509589	0.0467429	0.0379503	0.0253295	0.0165423	0.0202907	0.0108599	0.00963206	0.0078298	0.00580674	0.0036679	0.00448678	0.00658568	0.003031	0.00257385	0.00254138	0.00248389	

112	0	1	0	task-0:0.232	|	0.248561	0.230257	0.227513	0.220719	0.21907	0.216468	0.215455	0.213956	0.212967	0.212761	0.212242	0.211504	0.210418	0.209857	0.208844	0.20843	0.208168	0.207477	0.207282	0.206854	0.206541	0.205863	0.205262	0.204914	0.204158	0.203971	0.203512	0.203082	0.202329	0.201892	0.203251	0.201067	0.200915	0.200567	0.200129	0.199635	0.200839	0.199316	0.199148	0.198969	0.19861	0.197863	0.196511	0.19479	0.297775	0.194393	0.19436	0.194368	0.194362	0.194342	0.194424	0.194362	0.194336	0.194322	0.194327	0.194323	0.194294	0.194267	0.170203	0.162826	0.149285	0.13802	0.135084	0.126312	0.108031	0.0807061	0.0607212	0.0509589	0.0467429	0.0379503	0.0253295	0.0165423	0.0202907	0.0108599	0.00963206	0.0078298	0.00580674	0.0036679	0.00448678	0.00658568	0.003031	0.00257385	0.00254138	0.00248389	

112	0.015	1	0	task-0:0.232	|	0.248561	0.230257	0.227513	0.220719	0.21907	0.216468	0.215455	0.213956	0.212967	0.212761	0.212242	0.211504	0.210418	0.209857	0.208844	0.20843	0.208168	0.207477	0.207282	0.206854	0.206541	0.205863	0.205262	0.204914	0.204158	0.203971	0.203512	0.203082	0.202329	0.201892	0.203251	0.201067	0.200915	0.200567	0.200129	0.199635	0.200839	0.199316	0.199148	0.198969	0.19861	0.197863	0.196511	0.19479	0.297775	0.194393	0.19436	0.194368	0.194362	0.194342	0.194424	0.194362	0.194336	0.194322	0.194327	0.194323	0.194294	0.194267	0.170203	0.162826	0.149285	0.13802	0.135084	0.126312	0.108031	0.0807061	0.0607212	0.0509589	0.0467429	0.0379503	0.0253295	0.0165423	0.0202907	0.0108599	0.00963206	0.0078298	0.00580674	0.0036679	0.00448678	0.00658568	0.003031	0.00257385	0.00254138	0.00248389	
