51	0.109	16	0	task-3:0.49	task-0:0.334	task-1:0.348	task-2:0.17	|	0.0571861	0.119996	0.119993	0.118483	0.0654751	0.0824476	0.0722994	0.0537743	0.0656791	0.0631398	0.054188	0.0551117	0.0542588	0.0531804	0.0534538	0.0532619	0.0525084	0.0518562	0.0509826	0.0546619	0.0520176	0.0507925	0.0500386	0.0510276	0.0510507	0.0495989	0.0492117	0.0493723	0.0494582	0.0495664	0.0493491	0.0490332	0.0488148	0.0486198	0.0485307	0.0483773	0.0483794	0.0483772	0.0483862	0.0481491	0.0478997	0.0475228	0.0471961	0.0475855	0.0465521	0.0464062	0.0453899	0.0444853	0.0433595	0.0416845	0.038952	

33	0.063	16	0	task-3:0.364	task-0:0.346	task-1:0.328	task-2:0.41	|	0.0720822	0.119962	0.119923	0.114239	0.055318	0.0814333	0.0755658	0.0640889	0.0555182	0.0612787	0.0590146	0.0553287	0.0565445	0.0562223	0.0552783	0.0558115	0.0559674	0.0558831	0.0527736	0.0526013	0.0517722	0.0504456	0.0504527	0.050345	0.0494665	0.0478532	0.0475061	0.0466815	0.0449417	0.0432602	0.0420818	0.0407757	0.0395715	

34	0.063	16	0	task-3:0.37	task-0:0.374	task-1:0.438	task-2:0.416	|	0.0651249	0.119986	0.119975	0.116906	0.0587021	0.0800165	0.0670911	0.0548027	0.0568113	0.0563727	0.0544733	0.055278	0.0548705	0.054288	0.0544167	0.0542225	0.0540372	0.0538469	0.0544132	0.0583496	0.0559815	0.056306	0.0500399	0.0470234	0.0464224	0.0548828	0.0535046	0.0451249	0.0456987	0.0441091	0.041593	0.0408323	0.0402519	0.0399912	

34	0.078	16	0	task-3:0.37	task-0:0.374	task-1:0.438	task-2:0.416	|	0.0651249	0.119986	0.119975	0.116906	0.0587021	0.0800165	0.0670911	0.0548027	0.0568113	0.0563727	0.0544733	0.055278	0.0548705	0.054288	0.0544167	0.0542225	0.0540372	0.0538469	0.0544132	0.0583496	0.0559815	0.056306	0.0500399	0.0470234	0.0464224	0.0548828	0.0535046	0.0451249	0.0456987	0.0441091	0.041593	0.0408323	0.0402519	0.0399912	

34	0.078	16	0	task-3:0.37	task-0:0.374	task-1:0.438	task-2:0.416	|	0.0651249	0.119986	0.119975	0.116906	0.0587021	0.0800165	0.0670911	0.0548027	0.0568113	0.0563727	0.0544733	0.055278	0.0548705	0.054288	0.0544167	0.0542225	0.0540372	0.0538469	0.0544132	0.0583496	0.0559815	0.056306	0.0500399	0.0470234	0.0464224	0.0548828	0.0535046	0.0451249	0.0456987	0.0441091	0.041593	0.0408323	0.0402519	0.0399912	

34	0.062	16	0	task-3:0.37	task-0:0.374	task-1:0.438	task-2:0.416	|	0.0651249	0.119986	0.119975	0.116906	0.0587021	0.0800165	0.0670911	0.0548027	0.0568113	0.0563727	0.0544733	0.055278	0.0548705	0.054288	0.0544167	0.0542225	0.0540372	0.0538469	0.0544132	0.0583496	0.0559815	0.056306	0.0500399	0.0470234	0.0464224	0.0548828	0.0535046	0.0451249	0.0456987	0.0441091	0.041593	0.0408323	0.0402519	0.0399912	

33	0.063	16	0	task-3:0.376	task-0:0.31	task-1:0.496	task-2:0.38	|	0.0674001	0.117304	0.106084	0.0552865	0.0552247	0.0570406	0.0586663	0.0579409	0.0552351	0.0559552	0.0557628	0.0548605	0.0547914	0.0548582	0.0545335	0.0542459	0.0539207	0.0535278	0.0529848	0.0521945	0.0512552	0.0509404	0.0526128	0.0529835	0.0505747	0.0492422	0.0524325	0.0494376	0.045901	0.0437199	0.0414984	0.0401431	0.0381839	

