23	0.047	16	0	task-3:0.464	task-0:0.374	task-1:0.2	task-2:0.458	|	0.0571861	0.119996	0.119993	0.118301	0.0604343	0.0896717	0.0798738	0.0547247	0.0657675	0.0634308	0.0544744	0.0566219	0.0552332	0.0541523	0.0541383	0.0541892	0.0542793	0.0545215	0.0472851	0.0529038	0.0456787	0.0441329	0.0298891	

27	0.062	16	0	task-3:0.472	task-0:0.416	task-1:0.424	task-2:0.488	|	0.0982494	0.0997617	0.0993033	0.0837881	0.0569049	0.0556026	0.0570545	0.0564966	0.0548367	0.0542233	0.0539692	0.0538414	0.0536541	0.0532412	0.0530984	0.0715687	0.0750059	0.0741234	0.074093	0.0715168	0.059331	0.0504462	0.0491879	0.0478506	0.0419773	0.0401958	0.0391839	

27	0.047	16	0	task-3:0.472	task-0:0.416	task-1:0.424	task-2:0.488	|	0.0982494	0.0997617	0.0993033	0.0837881	0.0569049	0.0556026	0.0570545	0.0564966	0.0548367	0.0542233	0.0539692	0.0538414	0.0536541	0.0532412	0.0530984	0.0715687	0.0750059	0.0741234	0.074093	0.0715168	0.059331	0.0504462	0.0491879	0.0478506	0.0419773	0.0401958	0.0391839	

27	0.063	16	0	task-3:0.472	task-0:0.416	task-1:0.424	task-2:0.488	|	0.0982494	0.0997617	0.0993033	0.0837881	0.0569049	0.0556026	0.0570545	0.0564966	0.0548367	0.0542233	0.0539692	0.0538414	0.0536541	0.0532412	0.0530984	0.0715687	0.0750059	0.0741234	0.074093	0.0715168	0.059331	0.0504462	0.0491879	0.0478506	0.0419773	0.0401958	0.0391839	

27	0.047	16	0	task-3:0.472	task-0:0.416	task-1:0.424	task-2:0.488	|	0.0982494	0.0997617	0.0993033	0.0837881	0.0569049	0.0556026	0.0570545	0.0564966	0.0548367	0.0542233	0.0539692	0.0538414	0.0536541	0.0532412	0.0530984	0.0715687	0.0750059	0.0741234	0.074093	0.0715168	0.059331	0.0504462	0.0491879	0.0478506	0.0419773	0.0401958	0.0391839	

35	0.063	16	0	task-3:0.44	task-0:0.216	task-1:0.27	task-2:0.478	|	0.103753	0.0994145	0.098582	0.0636096	0.0912083	0.0813204	0.0568496	0.0561751	0.0551585	0.0544237	0.0544781	0.0544489	0.0544946	0.0545344	0.0547901	0.0644229	0.0710843	0.058271	0.0511	0.051003	0.0501525	0.0498446	0.0513168	0.0497968	0.0509809	0.0841489	0.0807671	0.0471875	0.0463817	0.0458284	0.0512411	0.0434027	0.042161	0.0402697	0.0377813	

27	0.047	16	0	task-3:0.472	task-0:0.416	task-1:0.424	task-2:0.488	|	0.0982494	0.0997617	0.0993033	0.0837881	0.0569049	0.0556026	0.0570545	0.0564966	0.0548367	0.0542233	0.0539692	0.0538414	0.0536541	0.0532412	0.0530984	0.0715687	0.0750059	0.0741234	0.074093	0.0715168	0.059331	0.0504462	0.0491879	0.0478506	0.0419773	0.0401958	0.0391839	

35	0.078	16	0	task-3:0.44	task-0:0.216	task-1:0.27	task-2:0.478	|	0.103753	0.0994145	0.098582	0.0636096	0.0912083	0.0813204	0.0568496	0.0561751	0.0551585	0.0544237	0.0544781	0.0544489	0.0544946	0.0545344	0.0547901	0.0644229	0.0710843	0.058271	0.0511	0.051003	0.0501525	0.0498446	0.0513168	0.0497968	0.0509809	0.0841489	0.0807671	0.0471875	0.0463817	0.0458284	0.0512411	0.0434027	0.042161	0.0402697	0.0377813	

34	0.062	16	0	task-3:0.428	task-0:0.458	task-1:0.356	task-2:0.434	|	0.0576584	0.0998518	0.0995042	0.0848227	0.0550973	0.0538464	0.0560017	0.0567679	0.0536975	0.0503019	0.0517238	0.0503647	0.0493651	0.0491124	0.0484561	0.0478373	0.0471678	0.0465929	0.0460231	0.0451697	0.0445872	0.0434017	0.0429988	0.0422647	0.0419927	0.0423684	0.0440762	0.0442065	0.0430142	0.0428052	0.0451665	0.0433934	0.0409732	0.0376743	

34	0.063	16	0	task-3:0.428	task-0:0.458	task-1:0.356	task-2:0.434	|	0.0576584	0.0998518	0.0995042	0.0848227	0.0550973	0.0538464	0.0560017	0.0567679	0.0536975	0.0503019	0.0517238	0.0503647	0.0493651	0.0491124	0.0484561	0.0478373	0.0471678	0.0465929	0.0460231	0.0451697	0.0445872	0.0434017	0.0429988	0.0422647	0.0419927	0.0423684	0.0440762	0.0442065	0.0430142	0.0428052	0.0451665	0.0433934	0.0409732	0.0376743	

38	0.063	16	0	task-3:0.418	task-0:0.262	task-1:0.158	task-2:0.418	|	0.0790263	0.108499	0.0839299	0.0546395	0.0691828	0.0633336	0.0560788	0.0590807	0.0750933	0.0636864	0.0561946	0.0565225	0.055653	0.0557014	0.0556666	0.0549186	0.0546389	0.0541582	0.053873	0.0542337	0.0528818	0.0525716	0.0537374	0.0546374	0.0525821	0.0527387	0.0512621	0.0497135	0.048529	0.0476833	0.0467775	0.0460455	0.0455084	0.0447241	0.0433909	0.0416416	0.0402697	0.039346	

21	0.047	16	0	task-3:0.442	task-0:0.356	task-1:0.41	task-2:0.512	|	0.0569898	0.119977	0.119955	0.113144	0.0543746	0.0747553	0.0674162	0.0536194	0.0577125	0.0558934	0.0517132	0.0523273	0.051941	0.0496186	0.0475809	0.0457388	0.0432033	0.042137	0.0412018	0.0415026	0.0389613	

22	0.047	16	0	task-3:0.462	task-0:0.354	task-1:0.388	task-2:0.528	|	0.0635107	0.119961	0.119853	0.107191	0.0566666	0.0594133	0.0538032	0.0526842	0.0513932	0.0512951	0.0507333	0.0496144	0.0492329	0.0481665	0.047133	0.0476607	0.0469122	0.0453763	0.0433165	0.0422109	0.0405793	0.039217	

22	0.046	16	0	task-3:0.462	task-0:0.354	task-1:0.388	task-2:0.528	|	0.0635107	0.119961	0.119853	0.107191	0.0566666	0.0594133	0.0538032	0.0526842	0.0513932	0.0512951	0.0507333	0.0496144	0.0492329	0.0481665	0.047133	0.0476607	0.0469122	0.0453763	0.0433165	0.0422109	0.0405793	0.039217	

34	0.063	16	0	task-3:0.428	task-0:0.458	task-1:0.356	task-2:0.434	|	0.0576584	0.0998518	0.0995042	0.0848227	0.0550973	0.0538464	0.0560017	0.0567679	0.0536975	0.0503019	0.0517238	0.0503647	0.0493651	0.0491124	0.0484561	0.0478373	0.0471678	0.0465929	0.0460231	0.0451697	0.0445872	0.0434017	0.0429988	0.0422647	0.0419927	0.0423684	0.0440762	0.0442065	0.0430142	0.0428052	0.0451665	0.0433934	0.0409732	0.0376743	

34	0.062	16	0	task-3:0.428	task-0:0.458	task-1:0.356	task-2:0.434	|	0.0576584	0.0998518	0.0995042	0.0848227	0.0550973	0.0538464	0.0560017	0.0567679	0.0536975	0.0503019	0.0517238	0.0503647	0.0493651	0.0491124	0.0484561	0.0478373	0.0471678	0.0465929	0.0460231	0.0451697	0.0445872	0.0434017	0.0429988	0.0422647	0.0419927	0.0423684	0.0440762	0.0442065	0.0430142	0.0428052	0.0451665	0.0433934	0.0409732	0.0376743	

38	0.079	16	0	task-3:0.418	task-0:0.262	task-1:0.158	task-2:0.418	|	0.0790263	0.108499	0.0839299	0.0546395	0.0691828	0.0633336	0.0560788	0.0590807	0.0750933	0.0636864	0.0561946	0.0565225	0.055653	0.0557014	0.0556666	0.0549186	0.0546389	0.0541582	0.053873	0.0542337	0.0528818	0.0525716	0.0537374	0.0546374	0.0525821	0.0527387	0.0512621	0.0497135	0.048529	0.0476833	0.0467775	0.0460455	0.0455084	0.0447241	0.0433909	0.0416416	0.0402697	0.039346	

21	0.046	16	0	task-3:0.442	task-0:0.356	task-1:0.41	task-2:0.512	|	0.0569898	0.119977	0.119955	0.113144	0.0543746	0.0747553	0.0674162	0.0536194	0.0577125	0.0558934	0.0517132	0.0523273	0.051941	0.0496186	0.0475809	0.0457388	0.0432033	0.042137	0.0412018	0.0415026	0.0389613	

22	0.047	16	0	task-3:0.462	task-0:0.354	task-1:0.388	task-2:0.528	|	0.0635107	0.119961	0.119853	0.107191	0.0566666	0.0594133	0.0538032	0.0526842	0.0513932	0.0512951	0.0507333	0.0496144	0.0492329	0.0481665	0.047133	0.0476607	0.0469122	0.0453763	0.0433165	0.0422109	0.0405793	0.039217	

22	0.047	16	0	task-3:0.462	task-0:0.354	task-1:0.388	task-2:0.528	|	0.0635107	0.119961	0.119853	0.107191	0.0566666	0.0594133	0.0538032	0.0526842	0.0513932	0.0512951	0.0507333	0.0496144	0.0492329	0.0481665	0.047133	0.0476607	0.0469122	0.0453763	0.0433165	0.0422109	0.0405793	0.039217	

34	0.063	16	0	task-3:0.428	task-0:0.458	task-1:0.356	task-2:0.434	|	0.0576584	0.0998518	0.0995042	0.0848227	0.0550973	0.0538464	0.0560017	0.0567679	0.0536975	0.0503019	0.0517238	0.0503647	0.0493651	0.0491124	0.0484561	0.0478373	0.0471678	0.0465929	0.0460231	0.0451697	0.0445872	0.0434017	0.0429988	0.0422647	0.0419927	0.0423684	0.0440762	0.0442065	0.0430142	0.0428052	0.0451665	0.0433934	0.0409732	0.0376743	

34	0.062	16	0	task-3:0.428	task-0:0.458	task-1:0.356	task-2:0.434	|	0.0576584	0.0998518	0.0995042	0.0848227	0.0550973	0.0538464	0.0560017	0.0567679	0.0536975	0.0503019	0.0517238	0.0503647	0.0493651	0.0491124	0.0484561	0.0478373	0.0471678	0.0465929	0.0460231	0.0451697	0.0445872	0.0434017	0.0429988	0.0422647	0.0419927	0.0423684	0.0440762	0.0442065	0.0430142	0.0428052	0.0451665	0.0433934	0.0409732	0.0376743	

