107	0.047	1	0	task-3:0.452	task-0:0.174	task-1:0.1	task-2:0.47	|	0.058668	0.0580013	0.0570798	0.0569766	0.0567715	0.0563429	0.0556104	0.0548165	0.0544125	0.0552106	0.0540453	0.0539921	0.053896	0.0537519	0.0535752	0.053511	0.0534366	0.0534036	0.053385	0.0533608	0.0533246	0.0523486	0.0509587	0.0473707	0.0415723	0.036225	0.0313949	0.0290173	0.0254595	0.0219858	0.0172145	0.0156825	0.0153967	0.0137589	0.0128611	0.0125834	0.0120533	0.0110529	0.00940623	0.00843931	0.00748582	0.00715922	0.00666989	0.00602037	0.00520188	0.00500285	0.00440551	0.0035141	0.00293119	0.00391204	0.00250887	0.00235937	

125	0.062	1	0	task-3:0.456	task-0:0.16	task-1:0.086	task-2:0.462	|	0.058754	0.0572749	0.05563	0.055501	0.0552152	0.0547554	0.0544794	0.0543459	0.0542658	0.0541819	0.0540985	0.0539824	0.0538844	0.0536875	0.0533514	0.0530612	0.0598244	0.0529543	0.0529431	0.0529355	0.0529202	0.0528944	0.0528698	0.0531506	0.0528674	0.0528666	0.052864	0.0528582	0.0528489	0.0528424	0.0519703	0.0507079	0.0472582	0.0410157	0.0335845	0.0295662	0.0283534	0.0268559	0.0239143	0.01917	0.016342	0.0232288	0.014087	0.0134308	0.0124695	0.0116659	0.011097	0.0103115	0.00936698	0.00789368	0.00574469	0.00762801	0.00917267	0.0041205	0.00402584	0.00391885	0.00376799	0.00356297	0.00336132	0.00311542	0.00284107	0.002652	0.00248538	

125	0.063	1	0	task-3:0.456	task-0:0.16	task-1:0.086	task-2:0.462	|	0.058754	0.0572749	0.05563	0.055501	0.0552152	0.0547554	0.0544794	0.0543459	0.0542658	0.0541819	0.0540985	0.0539824	0.0538844	0.0536875	0.0533514	0.0530612	0.0598244	0.0529543	0.0529431	0.0529355	0.0529202	0.0528944	0.0528698	0.0531506	0.0528674	0.0528666	0.052864	0.0528582	0.0528489	0.0528424	0.0519703	0.0507079	0.0472582	0.0410157	0.0335845	0.0295662	0.0283534	0.0268559	0.0239143	0.01917	0.016342	0.0232288	0.014087	0.0134308	0.0124695	0.0116659	0.011097	0.0103115	0.00936698	0.00789368	0.00574469	0.00762801	0.00917267	0.0041205	0.00402584	0.00391885	0.00376799	0.00356297	0.00336132	0.00311542	0.00284107	0.002652	0.00248538	

125	0.062	1	0	task-3:0.456	task-0:0.16	task-1:0.086	task-2:0.462	|	0.058754	0.0572749	0.05563	0.055501	0.0552152	0.0547554	0.0544794	0.0543459	0.0542658	0.0541819	0.0540985	0.0539824	0.0538844	0.0536875	0.0533514	0.0530612	0.0598244	0.0529543	0.0529431	0.0529355	0.0529202	0.0528944	0.0528698	0.0531506	0.0528674	0.0528666	0.052864	0.0528582	0.0528489	0.0528424	0.0519703	0.0507079	0.0472582	0.0410157	0.0335845	0.0295662	0.0283534	0.0268559	0.0239143	0.01917	0.016342	0.0232288	0.014087	0.0134308	0.0124695	0.0116659	0.011097	0.0103115	0.00936698	0.00789368	0.00574469	0.00762801	0.00917267	0.0041205	0.00402584	0.00391885	0.00376799	0.00356297	0.00336132	0.00311542	0.00284107	0.002652	0.00248538	

125	0.063	1	0	task-3:0.456	task-0:0.16	task-1:0.086	task-2:0.462	|	0.058754	0.0572749	0.05563	0.055501	0.0552152	0.0547554	0.0544794	0.0543459	0.0542658	0.0541819	0.0540985	0.0539824	0.0538844	0.0536875	0.0533514	0.0530612	0.0598244	0.0529543	0.0529431	0.0529355	0.0529202	0.0528944	0.0528698	0.0531506	0.0528674	0.0528666	0.052864	0.0528582	0.0528489	0.0528424	0.0519703	0.0507079	0.0472582	0.0410157	0.0335845	0.0295662	0.0283534	0.0268559	0.0239143	0.01917	0.016342	0.0232288	0.014087	0.0134308	0.0124695	0.0116659	0.011097	0.0103115	0.00936698	0.00789368	0.00574469	0.00762801	0.00917267	0.0041205	0.00402584	0.00391885	0.00376799	0.00356297	0.00336132	0.00311542	0.00284107	0.002652	0.00248538	

114	0.062	1	0	task-3:0.46	task-0:0.194	task-1:0.076	task-2:0.446	|	0.0602123	0.0582882	0.0560103	0.0559233	0.0557029	0.055245	0.0544537	0.053549	0.0557024	0.0557288	0.0531776	0.0531653	0.0531363	0.0530943	0.0530611	0.0530178	0.0529858	0.0529715	0.0529604	0.0529418	0.0529181	0.0529102	0.0529061	0.0520271	0.050759	0.047396	0.041553	0.0351787	0.0309595	0.0296433	0.0279826	0.024716	0.0193049	0.016056	0.031158	0.0142017	0.0137133	0.0130228	0.0121726	0.0111858	0.010621	0.0096833	0.0088356	0.00824813	0.00751313	0.00707943	0.00657142	0.00582702	0.00504766	0.00454099	0.00404131	0.00400337	0.00391297	0.00374105	0.00344747	0.00299924	0.00270261	0.00239314	
