104	0.047	1	0	task-3:0.458	task-0:0.15	task-1:0.088	task-2:0.444	|	0.0628568	0.0601901	0.0555268	0.0551341	0.0548975	0.0544942	0.0541304	0.0540272	0.0539239	0.0538445	0.0537463	0.0536564	0.0536003	0.0534986	0.0534027	0.0534745	0.0533389	0.0533201	0.0532866	0.0524318	0.0511491	0.047812	0.0418082	0.034794	0.031312	0.0306996	0.029156	0.0264609	0.0225807	0.0187549	0.0198581	0.017599	0.0162727	0.0154327	0.0153037	0.0149869	0.0143408	0.0131599	0.0110143	0.0080127	0.00647035	0.0136711	0.00498059	0.00438988	0.00418687	0.00379531	0.00306339	0.00206197	

118	0.062	1	0	task-3:0.45	task-0:0.168	task-1:0.104	task-2:0.472	|	0.0712378	0.06586	0.0569782	0.0564439	0.0560627	0.0554731	0.0548913	0.0543154	0.0540972	0.0539452	0.0538437	0.0537158	0.0535004	0.0533962	0.0536152	0.0532577	0.0532399	0.053205	0.0531456	0.0530667	0.0530975	0.0530293	0.0530081	0.0530044	0.0529967	0.0529831	0.0529682	0.0529414	0.0529423	0.0529217	0.0520683	0.0508412	0.0476329	0.0422391	0.0367998	0.03246	0.0309982	0.0281695	0.0244326	0.0201242	0.0173161	0.0152436	0.0140089	0.0131201	0.0126168	0.0116452	0.0103588	0.00824684	0.0057492	0.0107388	0.00538767	0.00483796	0.00457578	0.00439089	0.00405409	0.0034812	0.00259209	0.00179128	

118	0.063	1	0	task-3:0.45	task-0:0.168	task-1:0.104	task-2:0.472	|	0.0712378	0.06586	0.0569782	0.0564439	0.0560627	0.0554731	0.0548913	0.0543154	0.0540972	0.0539452	0.0538437	0.0537158	0.0535004	0.0533962	0.0536152	0.0532577	0.0532399	0.053205	0.0531456	0.0530667	0.0530975	0.0530293	0.0530081	0.0530044	0.0529967	0.0529831	0.0529682	0.0529414	0.0529423	0.0529217	0.0520683	0.0508412	0.0476329	0.0422391	0.0367998	0.03246	0.0309982	0.0281695	0.0244326	0.0201242	0.0173161	0.0152436	0.0140089	0.0131201	0.0126168	0.0116452	0.0103588	0.00824684	0.0057492	0.0107388	0.00538767	0.00483796	0.00457578	0.00439089	0.00405409	0.0034812	0.00259209	0.00179128	

118	0.062	1	0	task-3:0.45	task-0:0.168	task-1:0.104	task-2:0.472	|	0.0712378	0.06586	0.0569782	0.0564439	0.0560627	0.0554731	0.0548913	0.0543154	0.0540972	0.0539452	0.0538437	0.0537158	0.0535004	0.0533962	0.0536152	0.0532577	0.0532399	0.053205	0.0531456	0.0530667	0.0530975	0.0530293	0.0530081	0.0530044	0.0529967	0.0529831	0.0529682	0.0529414	0.0529423	0.0529217	0.0520683	0.0508412	0.0476329	0.0422391	0.0367998	0.03246	0.0309982	0.0281695	0.0244326	0.0201242	0.0173161	0.0152436	0.0140089	0.0131201	0.0126168	0.0116452	0.0103588	0.00824684	0.0057492	0.0107388	0.00538767	0.00483796	0.00457578	0.00439089	0.00405409	0.0034812	0.00259209	0.00179128	

118	0.047	1	0	task-3:0.45	task-0:0.168	task-1:0.104	task-2:0.472	|	0.0712378	0.06586	0.0569782	0.0564439	0.0560627	0.0554731	0.0548913	0.0543154	0.0540972	0.0539452	0.0538437	0.0537158	0.0535004	0.0533962	0.0536152	0.0532577	0.0532399	0.053205	0.0531456	0.0530667	0.0530975	0.0530293	0.0530081	0.0530044	0.0529967	0.0529831	0.0529682	0.0529414	0.0529423	0.0529217	0.0520683	0.0508412	0.0476329	0.0422391	0.0367998	0.03246	0.0309982	0.0281695	0.0244326	0.0201242	0.0173161	0.0152436	0.0140089	0.0131201	0.0126168	0.0116452	0.0103588	0.00824684	0.0057492	0.0107388	0.00538767	0.00483796	0.00457578	0.00439089	0.00405409	0.0034812	0.00259209	0.00179128	

118	0.047	1	0	task-3:0.45	task-0:0.168	task-1:0.104	task-2:0.472	|	0.0712378	0.06586	0.0569782	0.0564439	0.0560627	0.0554731	0.0548913	0.0543154	0.0540972	0.0539452	0.0538437	0.0537158	0.0535004	0.0533962	0.0536152	0.0532577	0.0532399	0.053205	0.0531456	0.0530667	0.0530975	0.0530293	0.0530081	0.0530044	0.0529967	0.0529831	0.0529682	0.0529414	0.0529423	0.0529217	0.0520683	0.0508412	0.0476329	0.0422391	0.0367998	0.03246	0.0309982	0.0281695	0.0244326	0.0201242	0.0173161	0.0152436	0.0140089	0.0131201	0.0126168	0.0116452	0.0103588	0.00824684	0.0057492	0.0107388	0.00538767	0.00483796	0.00457578	0.00439089	0.00405409	0.0034812	0.00259209	0.00179128	

115	0.062	1	0	task-3:0.454	task-0:0.156	task-1:0.088	task-2:0.438	|	0.0578874	0.0573298	0.0565792	0.0564947	0.0563691	0.0561192	0.0556918	0.0549198	0.0543365	0.0563957	0.053926	0.0538582	0.0537637	0.0536782	0.0536194	0.0535232	0.0534673	0.0534169	0.0533935	0.0533515	0.0533	0.0532172	0.0532172	0.0523461	0.0511694	0.0480596	0.0426762	0.0369404	0.0329799	0.0319691	0.0302681	0.0272898	0.022867	0.0225515	0.0200314	0.0191714	0.0185626	0.0174981	0.0157259	0.0142061	0.0110837	0.0128275	0.00961509	0.00909667	0.00896829	0.00876498	0.00834584	0.00796927	0.00814123	0.00731321	0.00675243	0.00603906	0.00537575	0.00509824	0.00459354	0.00433468	0.00395541	0.00348321	0.00368156	0.00301855	0.00282743	0.00267938	0.00255556	0.00238238	

118	0.063	1	0	task-3:0.45	task-0:0.168	task-1:0.104	task-2:0.472	|	0.0712378	0.06586	0.0569782	0.0564439	0.0560627	0.0554731	0.0548913	0.0543154	0.0540972	0.0539452	0.0538437	0.0537158	0.0535004	0.0533962	0.0536152	0.0532577	0.0532399	0.053205	0.0531456	0.0530667	0.0530975	0.0530293	0.0530081	0.0530044	0.0529967	0.0529831	0.0529682	0.0529414	0.0529423	0.0529217	0.0520683	0.0508412	0.0476329	0.0422391	0.0367998	0.03246	0.0309982	0.0281695	0.0244326	0.0201242	0.0173161	0.0152436	0.0140089	0.0131201	0.0126168	0.0116452	0.0103588	0.00824684	0.0057492	0.0107388	0.00538767	0.00483796	0.00457578	0.00439089	0.00405409	0.0034812	0.00259209	0.00179128	

117	0.062	1	0	task-3:0.458	task-0:0.182	task-1:0.074	task-2:0.43	|	0.0712378	0.06586	0.0569782	0.0564439	0.0560627	0.0554731	0.0548913	0.0543154	0.0540972	0.0539452	0.0538437	0.0537158	0.0535004	0.0533962	0.0536152	0.0532577	0.0532399	0.053205	0.0531456	0.0530667	0.0530975	0.0530293	0.0530081	0.0530044	0.0529967	0.0529831	0.0529682	0.0529414	0.0529423	0.0529217	0.0521157	0.0509582	0.0479242	0.0427983	0.037589	0.0334869	0.0323179	0.0297867	0.0265594	0.0223875	0.0189517	0.0163032	0.0165712	0.0158209	0.0141372	0.0127597	0.0126319	0.0123512	0.0117593	0.0106369	0.00876043	0.00679365	0.0106539	0.00680094	0.00587466	0.00580416	0.00564894	0.00536436	0.00491367	0.00467698	0.00415955	0.00396407	0.00385024	0.00369678	0.00337621	0.00279974	0.00192228	

