245	0.031	2	0	task-0:0.27	|	0.28153	0.238958	0.237492	0.234114	0.230017	0.228179	0.225931	0.224828	0.221761	0.217178	0.225579	0.216154	0.215261	0.214689	0.21292	0.210167	0.212073	0.213021	0.207071	0.206764	0.205801	0.203925	0.202082	0.228205	0.201001	0.200841	0.200446	0.199597	0.198081	0.197168	0.268964	0.195781	0.195738	0.195675	0.195607	0.19553	0.195495	0.196011	0.195408	0.19538	0.195318	0.195205	0.194977	0.19481	0.194431	0.199147	0.182703	0.18127	0.176859	0.16877	0.20674	0.172025	0.165547	0.1622	0.161357	0.161013	0.160245	0.159558	0.158526	0.162644	0.162756	0.156973	0.156349	0.155893	0.155012	0.155661	0.154877	0.154462	0.154131	0.153466	0.153638	0.156325	0.152215	0.15185	0.151757	0.151265	0.151263	0.15135	0.150885	0.150732	0.150652	0.150138	0.150114	0.150245	0.149711	0.14962	0.149537	0.14907	0.149008	0.149093	0.148625	0.148545	0.148454	0.148008	0.128165	0.123023	0.109724	0.0931476	0.0748856	0.0448636	0.0468726	0.0756973	0.0193654	0.0181195	0.0159327	0.0143258	0.0131264	0.0107737	0.00907813	0.007717	0.00716664	0.00678824	0.00603908	0.00467123	0.0027238	0.00330999	0.00834219	0.00142482	

140	0.016	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.015	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.016	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.016	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.016	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.047	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.015	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.047	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.016	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.047	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.015	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

103	0.032	1	0	task-0:0.262	|	0.35174	0.228379	0.225315	0.220927	0.217256	0.213568	0.223388	0.218717	0.2127	0.211142	0.209769	0.208964	0.208464	0.207457	0.206659	0.205515	0.203923	0.208039	0.209579	0.202716	0.202254	0.201816	0.201248	0.201592	0.200876	0.200728	0.200524	0.200035	0.199638	0.200649	0.199162	0.199056	0.173177	0.162519	0.145603	0.131401	0.129224	0.118877	0.102567	0.0763239	0.0500879	0.0372675	0.0243891	0.0216803	0.0185473	0.0154557	0.0108024	0.00710901	0.00392857	0.004362	0.00331078	0.0027296	0.00228198	

140	0	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

140	0.031	1	0	task-0:0.258	|	0.221736	0.220287	0.217152	0.215084	0.214523	0.21322	0.212747	0.211834	0.210587	0.208221	0.21442	0.20752	0.207144	0.20667	0.20566	0.205443	0.204817	0.204426	0.204258	0.203794	0.203694	0.203469	0.203465	0.203118	0.202934	0.202754	0.202677	0.202291	0.201712	0.201132	0.202473	0.200656	0.200516	0.200221	0.199704	0.19868	0.196914	0.216465	0.210906	0.19573	0.196022	0.195417	0.195388	0.195367	0.19533	0.19527	0.19552	0.195569	0.195242	0.195185	0.195108	0.195035	0.17164	0.161856	0.151009	0.131152	0.105651	0.0790894	0.0611095	0.0603381	0.0558326	0.0479122	0.044137	0.0376005	0.0280317	0.0151202	0.00601312	0.0873409	0.0718009	0.0256085	0.0364636	0.0070233	0.0044423	0.00226445	

