112	0.062	1	0	task-3:0.448	task-0:0.166	task-1:0.1	task-2:0.446	|	0.0620548	0.0588127	0.0551004	0.0549726	0.0546986	0.0542116	0.0540256	0.0546681	0.0536577	0.0536223	0.0535509	0.0534624	0.0534169	0.0533547	0.0533295	0.0532752	0.0531857	0.0531108	0.0536745	0.0530529	0.0530131	0.0521745	0.0509009	0.0475354	0.0417055	0.0352909	0.0311986	0.0294552	0.0276004	0.0242109	0.0191392	0.0123125	0.0114296	0.015517	0.00879693	0.00793264	0.0072588	0.00698686	0.00664961	0.00618408	0.00572113	0.00523897	0.00462288	0.00454938	0.00444769	0.00424705	0.00387127	0.00323296	0.00267172	0.00282341	0.00232709	

111	0.063	1	0	task-3:0.458	task-0:0.184	task-1:0.096	task-2:0.44	|	0.0573509	0.0565681	0.0556567	0.055585	0.0554157	0.0550788	0.0545259	0.0536999	0.0566221	0.0538756	0.0532727	0.0532565	0.0532347	0.0532202	0.0531854	0.0531186	0.0530251	0.0534714	0.0530144	0.0530113	0.0530037	0.0529903	0.0520075	0.0505927	0.0469993	0.0414403	0.0364836	0.0313299	0.0277702	0.0253508	0.0237513	0.0212645	0.017815	0.0153626	0.0119165	0.00986886	0.0126383	0.00854647	0.00787471	0.00716773	0.00700462	0.00676118	0.00631422	0.00586416	0.00563187	0.00518697	0.0044423	0.00438888	0.00392358	0.0037198	0.00338281	0.00314663	0.00306122	0.00288343	0.00256053	0.00209621	

100	0.047	1	0	task-3:0.46	task-0:0.124	task-1:0.088	task-2:0.442	|	0.0674656	0.0638316	0.0561295	0.0553001	0.0546629	0.054568	0.0544472	0.0542129	0.0538774	0.0536685	0.0535609	0.0534962	0.0534562	0.0534224	0.0533514	0.0532244	0.0530759	0.0536845	0.0530491	0.0530415	0.0530285	0.0530138	0.0529852	0.0521399	0.0509899	0.0480258	0.0438062	0.0405909	0.0368293	0.0342286	0.0328249	0.0310216	0.0282881	0.0253403	0.0235539	0.0225389	0.0219911	0.0211598	0.0193154	0.0158535	0.0105116	0.0144797	0.0135482	0.00789114	0.00684208	0.00584584	0.00576296	0.00561461	0.00532865	0.00497004	0.00434855	0.00378549	0.00402193	0.00347639	0.00330781	0.0031217	0.00306843	0.00299343	0.0028446	0.00252302	0.00232098	

111	0.062	1	0	task-3:0.458	task-0:0.184	task-1:0.096	task-2:0.44	|	0.0573509	0.0565681	0.0556567	0.055585	0.0554157	0.0550788	0.0545259	0.0536999	0.0566221	0.0538756	0.0532727	0.0532565	0.0532347	0.0532202	0.0531854	0.0531186	0.0530251	0.0534714	0.0530144	0.0530113	0.0530037	0.0529903	0.0520075	0.0505927	0.0469993	0.0414403	0.0364836	0.0313299	0.0277702	0.0253508	0.0237513	0.0212645	0.017815	0.0153626	0.0119165	0.00986886	0.0126383	0.00854647	0.00787471	0.00716773	0.00700462	0.00676118	0.00631422	0.00586416	0.00563187	0.00518697	0.0044423	0.00438888	0.00392358	0.0037198	0.00338281	0.00314663	0.00306122	0.00288343	0.00256053	0.00209621	

100	0.047	1	0	task-3:0.46	task-0:0.124	task-1:0.088	task-2:0.442	|	0.0674656	0.0638316	0.0561295	0.0553001	0.0546629	0.054568	0.0544472	0.0542129	0.0538774	0.0536685	0.0535609	0.0534962	0.0534562	0.0534224	0.0533514	0.0532244	0.0530759	0.0536845	0.0530491	0.0530415	0.0530285	0.0530138	0.0529852	0.0521399	0.0509899	0.0480258	0.0438062	0.0405909	0.0368293	0.0342286	0.0328249	0.0310216	0.0282881	0.0253403	0.0235539	0.0225389	0.0219911	0.0211598	0.0193154	0.0158535	0.0105116	0.0144797	0.0135482	0.00789114	0.00684208	0.00584584	0.00576296	0.00561461	0.00532865	0.00497004	0.00434855	0.00378549	0.00402193	0.00347639	0.00330781	0.0031217	0.00306843	0.00299343	0.0028446	0.00252302	0.00232098	

111	0.063	1	0	task-3:0.458	task-0:0.184	task-1:0.096	task-2:0.44	|	0.0573509	0.0565681	0.0556567	0.055585	0.0554157	0.0550788	0.0545259	0.0536999	0.0566221	0.0538756	0.0532727	0.0532565	0.0532347	0.0532202	0.0531854	0.0531186	0.0530251	0.0534714	0.0530144	0.0530113	0.0530037	0.0529903	0.0520075	0.0505927	0.0469993	0.0414403	0.0364836	0.0313299	0.0277702	0.0253508	0.0237513	0.0212645	0.017815	0.0153626	0.0119165	0.00986886	0.0126383	0.00854647	0.00787471	0.00716773	0.00700462	0.00676118	0.00631422	0.00586416	0.00563187	0.00518697	0.0044423	0.00438888	0.00392358	0.0037198	0.00338281	0.00314663	0.00306122	0.00288343	0.00256053	0.00209621	

111	0.062	1	0	task-3:0.458	task-0:0.184	task-1:0.096	task-2:0.44	|	0.0573509	0.0565681	0.0556567	0.055585	0.0554157	0.0550788	0.0545259	0.0536999	0.0566221	0.0538756	0.0532727	0.0532565	0.0532347	0.0532202	0.0531854	0.0531186	0.0530251	0.0534714	0.0530144	0.0530113	0.0530037	0.0529903	0.0520075	0.0505927	0.0469993	0.0414403	0.0364836	0.0313299	0.0277702	0.0253508	0.0237513	0.0212645	0.017815	0.0153626	0.0119165	0.00986886	0.0126383	0.00854647	0.00787471	0.00716773	0.00700462	0.00676118	0.00631422	0.00586416	0.00563187	0.00518697	0.0044423	0.00438888	0.00392358	0.0037198	0.00338281	0.00314663	0.00306122	0.00288343	0.00256053	0.00209621	

100	0.047	1	0	task-3:0.46	task-0:0.124	task-1:0.088	task-2:0.442	|	0.0674656	0.0638316	0.0561295	0.0553001	0.0546629	0.054568	0.0544472	0.0542129	0.0538774	0.0536685	0.0535609	0.0534962	0.0534562	0.0534224	0.0533514	0.0532244	0.0530759	0.0536845	0.0530491	0.0530415	0.0530285	0.0530138	0.0529852	0.0521399	0.0509899	0.0480258	0.0438062	0.0405909	0.0368293	0.0342286	0.0328249	0.0310216	0.0282881	0.0253403	0.0235539	0.0225389	0.0219911	0.0211598	0.0193154	0.0158535	0.0105116	0.0144797	0.0135482	0.00789114	0.00684208	0.00584584	0.00576296	0.00561461	0.00532865	0.00497004	0.00434855	0.00378549	0.00402193	0.00347639	0.00330781	0.0031217	0.00306843	0.00299343	0.0028446	0.00252302	0.00232098	

111	0.047	1	0	task-3:0.458	task-0:0.184	task-1:0.096	task-2:0.44	|	0.0573509	0.0565681	0.0556567	0.055585	0.0554157	0.0550788	0.0545259	0.0536999	0.0566221	0.0538756	0.0532727	0.0532565	0.0532347	0.0532202	0.0531854	0.0531186	0.0530251	0.0534714	0.0530144	0.0530113	0.0530037	0.0529903	0.0520075	0.0505927	0.0469993	0.0414403	0.0364836	0.0313299	0.0277702	0.0253508	0.0237513	0.0212645	0.017815	0.0153626	0.0119165	0.00986886	0.0126383	0.00854647	0.00787471	0.00716773	0.00700462	0.00676118	0.00631422	0.00586416	0.00563187	0.00518697	0.0044423	0.00438888	0.00392358	0.0037198	0.00338281	0.00314663	0.00306122	0.00288343	0.00256053	0.00209621	

