700	0.141	5	task-3:0.308	task-0:0.316	task-1:0.312	task-2:0.214	|	0.259649	0.257102	0.250978	0.244357	0.241543	0.238949	0.236189	0.233396	0.230835	0.229444	0.230028	0.226374	0.224398	0.221911	0.22407	0.22302	0.219393	0.219564	0.219036	0.218645	0.218221	0.217516	0.216664	0.228041	0.216133	0.216687	0.215949	0.215905	0.215835	0.215778	0.215734	0.21566	0.215562	0.215447	0.215637	0.215206	0.215167	0.211585	0.211572	0.21032	0.208636	0.20619	0.202586	0.197649	0.194074	0.186115	0.190035	0.188534	0.178843	0.17748	0.176043	0.174455	0.171679	0.168493	0.165744	0.172766	0.161888	0.160672	0.159364	0.162168	0.156748	0.154909	0.166765	0.152713	0.15476	0.149729	0.148672	0.165793	0.147816	0.147272	0.146828	0.146442	0.146078	0.147804	0.145437	0.144943	0.144888	0.146011	0.143662	0.143215	0.143781	0.142821	0.14269	0.142508	0.142562	0.142196	0.14192	0.141451	0.141093	0.145114	0.14067	0.140615	0.140517	0.140389	0.140237	0.140228	0.14012	0.140087	0.140025	0.139957	0.139902	0.13982	0.139686	0.13811	0.139468	0.137516	0.136962	0.135836	0.133802	0.130643	0.126858	0.122534	0.122214	0.122859	0.116167	0.115195	0.113897	0.111643	0.110888	0.114023	0.105722	0.104747	0.110865	0.102865	0.10215	0.100992	0.101278	0.101403	0.108557	0.0981049	0.0977945	0.0976716	0.0974963	0.0972125	0.0967408	0.0966531	0.0973993	0.0961129	0.0960595	0.0959769	0.0958641	0.0956858	0.0955363	0.0953338	0.0954294	0.0952197	0.0951182	0.0949446	0.0948213	0.0946115	0.0946235	0.0975872	0.0943273	0.094274	0.0941862	0.0940883	0.0948618	0.0938187	0.0935835	0.0933428	0.0976661	0.0971609	0.0930032	0.0929358	0.0929995	0.0931455	0.0927533	0.0927155	0.0927043	0.0926863	0.092662	0.0926357	0.0926014	0.0925587	0.0925358	0.0923405	0.0923154	0.0922684	0.0921872	0.0920615	0.0919292	0.0917008	0.0912917	0.0904139	0.0885367	0.0852325	0.111547	0.0843178	0.0839653	0.0837695	0.0833935	0.0827926	0.0819845	0.0822761	0.0814345	0.0816906	0.0812121	0.0811042	0.08091	0.0806216	0.0802413	0.0803542	0.0800247	0.079944	0.0798653	0.0798448	0.0799437	0.0795671	0.0795119	0.0795397	0.079326	0.0793172	0.0792729	0.0792369	0.0791856	0.0791165	0.0790827	0.0790988	0.0790059	0.0789851	0.0789541	0.0789344	0.078884	0.0784284	0.0784424	0.0782628	0.0780905	0.0777693	0.0771897	0.0763433	0.0757585	0.0753736	0.0754002	0.074601	0.0738837	0.073039	0.07297	0.0723106	0.0721142	0.0715373	0.0712096	0.0794808	0.0703022	0.0708163	0.0697153	0.0696237	0.0693856	0.0690478	0.0685794	0.068231	0.0679749	0.0676252	0.06729	0.0671745	0.0670654	0.0668536	0.0667021	0.066567	0.066315	0.066137	0.0651929	0.0639181	0.0627979	0.0961988	0.0625095	0.0624023	0.0617992	0.0617036	0.0616679	0.0622356	0.0613694	0.0612584	0.0611793	0.0611272	0.0610844	0.0610549	0.0610075	0.0609306	0.0608335	0.0607709	0.0607727	0.0606491	0.0605977	0.061286	0.0605413	0.0605094	0.0604703	0.0603954	0.0602734	0.0600652	0.0600438	0.0633054	0.0597067	0.0601545	0.0596444	0.0596362	0.0595714	0.0594928	0.0593417	0.0592168	0.0598572	0.0591499	0.0590638	0.0590323	0.0589922	0.0589396	0.0588433	0.0586662	0.0583628	0.0609945	0.0586274	0.0581504	0.0580951	0.0580091	0.0578679	0.0595441	0.068614	0.0577547	0.0576329	0.0575768	0.0575563	0.0575477	0.0575311	0.0575044	0.0574591	0.0573797	0.0573117	0.0581804	0.057248	0.0572354	0.0561163	0.0560305	0.0557949	0.0552889	0.0542509	0.0522037	0.0485446	0.0433937	0.0398484	
137	0.016	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.031	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.016	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.016	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.016	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.015	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.016	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.015	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.016	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
137	0.015	1	task-3:0.076	task-0:0.086	task-1:0.132	task-2:0.162	|	0.259579	0.256295	0.248242	0.240161	0.238505	0.236217	0.23324	0.230306	0.228271	0.234171	0.225922	0.224427	0.222512	0.225654	0.22109	0.221353	0.221813	0.219883	0.21954	0.219132	0.218489	0.218654	0.218482	0.217643	0.217584	0.217466	0.217302	0.217116	0.217021	0.216945	0.216864	0.216794	0.216705	0.206933	0.206165	0.203984	0.199295	0.190381	0.176492	0.163752	0.156963	0.150758	0.146603	0.140768	0.133144	0.122726	0.110538	0.145176	0.112955	0.099047	0.096441	0.0933412	0.0901318	0.0867074	0.0825937	0.0797289	0.0741929	0.0746765	0.0818316	0.0706363	0.0658789	0.0646851	0.063187	0.0622626	0.0611073	0.0600338	0.0597028	0.0579498	0.0562136	0.0546355	0.0545317	0.0518037	0.0530409	0.05131	0.0493784	0.0486533	0.0479677	0.0475065	0.0472504	0.0460416	0.0451167	0.0437127	0.0420459	0.0619128	0.0398813	
