257	0.062	2	task-0:0.28	|	0.264253	0.262604	0.258614	0.254121	0.253657	0.252869	0.25114	0.24779	0.242157	0.235884	0.229207	0.239024	0.231724	0.228045	0.22803	0.227988	0.227905	0.227747	0.227495	0.227266	0.227149	0.226968	0.226783	0.226579	0.226233	0.226273	0.232137	0.202553	0.198693	0.197724	0.197189	0.195916	0.193469	0.189657	0.185839	0.183538	0.181249	0.177957	0.172634	0.170127	0.167637	0.166399	0.164281	0.16185	0.159676	0.156299	0.150799	0.147809	0.169677	0.143376	0.142922	0.142086	0.140898	0.138993	0.135734	0.130793	0.154125	0.155496	0.126941	0.126738	0.126644	0.126511	0.126334	0.126155	0.125874	0.125444	0.126744	0.125277	0.125232	0.125158	0.12501	0.124746	0.124374	0.124349	0.124199	0.123973	0.123933	0.123866	0.123739	0.123496	0.123112	0.122911	0.123881	0.122554	0.122511	0.122423	0.122252	0.12199	0.122068	0.121824	0.121765	0.121744	0.121711	0.121651	0.121567	0.121459	0.10929	0.108483	0.107771	0.106631	0.104987	0.102063	0.0971073	0.0894963	0.0820712	0.0807634	0.0768205	0.0715208	0.0700231	0.0687776	0.0662336	0.0614289	0.0534084	0.0676388	0.0509393	0.0504192	0.0495593	0.0484826	0.0473132	0.0451476	0.0415027	0.0379274	
143	0.047	1	task-0:0.1	|	0.251877	0.250916	0.248641	0.246159	0.245643	0.244945	0.243483	0.24079	0.236843	0.238364	0.23503	0.234503	0.233669	0.232726	0.231228	0.229967	0.234475	0.229431	0.22936	0.229219	0.228983	0.228521	0.2277	0.227435	0.230593	0.226621	0.226564	0.226459	0.226304	0.226038	0.225705	0.228313	0.226537	0.225617	0.225613	0.225603	0.225581	0.225542	0.189692	0.188378	0.1859	0.182886	0.178531	0.174129	0.166308	0.154502	0.142806	0.131135	0.122824	0.116505	0.110642	0.107718	0.102439	0.0940011	0.0836472	0.0790108	0.0747681	0.071497	0.0675555	0.0630302	0.0553745	0.0456889	0.0493744	0.0406403	0.0399619	
146	0.031	1	task-0:0.148	|	0.251877	0.250916	0.248641	0.246159	0.245643	0.244945	0.243483	0.24079	0.236843	0.238364	0.23503	0.234503	0.233669	0.232726	0.231228	0.229967	0.234475	0.229431	0.22936	0.229219	0.228983	0.228521	0.2277	0.227435	0.230593	0.226621	0.226564	0.226459	0.226304	0.226038	0.225705	0.228313	0.226537	0.225617	0.225613	0.225603	0.225581	0.225542	0.187678	0.18635	0.183807	0.180603	0.175904	0.171021	0.162456	0.149783	0.136925	0.122007	0.10199	0.0859617	0.0792982	0.0771519	0.0694986	0.0680527	0.0652821	0.0609533	0.0548477	0.0450995	0.0345662	
127	0.047	1	task-0:0.11	|	0.255095	0.254854	0.254172	0.252774	0.25036	0.246886	0.243557	0.240981	0.239683	0.238444	0.236753	0.235431	0.233635	0.233168	0.232471	0.232214	0.231727	0.230989	0.230443	0.232758	0.229879	0.229735	0.22954	0.229146	0.228595	0.228209	0.227903	0.227663	0.227298	0.227147	0.226974	0.226893	0.2268	0.226695	0.22662	0.226511	0.226351	0.226303	0.226245	0.226164	0.226145	0.191851	0.189846	0.185134	0.178774	0.174795	0.168552	0.157766	0.142125	0.126816	0.113939	0.112225	0.109402	0.104496	0.0989562	0.0953979	0.0891521	0.0801429	0.0712253	0.0633399	0.05426	0.0490016	0.0455792	0.0415386	0.0398862	
127	0.016	1	task-0:0.11	|	0.255095	0.254854	0.254172	0.252774	0.25036	0.246886	0.243557	0.240981	0.239683	0.238444	0.236753	0.235431	0.233635	0.233168	0.232471	0.232214	0.231727	0.230989	0.230443	0.232758	0.229879	0.229735	0.22954	0.229146	0.228595	0.228209	0.227903	0.227663	0.227298	0.227147	0.226974	0.226893	0.2268	0.226695	0.22662	0.226511	0.226351	0.226303	0.226245	0.226164	0.226145	0.191851	0.189846	0.185134	0.178774	0.174795	0.168552	0.157766	0.142125	0.126816	0.113939	0.112225	0.109402	0.104496	0.0989562	0.0953979	0.0891521	0.0801429	0.0712253	0.0633399	0.05426	0.0490016	0.0455792	0.0415386	0.0398862	
127	0.047	1	task-0:0.11	|	0.255095	0.254854	0.254172	0.252774	0.25036	0.246886	0.243557	0.240981	0.239683	0.238444	0.236753	0.235431	0.233635	0.233168	0.232471	0.232214	0.231727	0.230989	0.230443	0.232758	0.229879	0.229735	0.22954	0.229146	0.228595	0.228209	0.227903	0.227663	0.227298	0.227147	0.226974	0.226893	0.2268	0.226695	0.22662	0.226511	0.226351	0.226303	0.226245	0.226164	0.226145	0.191851	0.189846	0.185134	0.178774	0.174795	0.168552	0.157766	0.142125	0.126816	0.113939	0.112225	0.109402	0.104496	0.0989562	0.0953979	0.0891521	0.0801429	0.0712253	0.0633399	0.05426	0.0490016	0.0455792	0.0415386	0.0398862	
127	0.015	1	task-0:0.11	|	0.255095	0.254854	0.254172	0.252774	0.25036	0.246886	0.243557	0.240981	0.239683	0.238444	0.236753	0.235431	0.233635	0.233168	0.232471	0.232214	0.231727	0.230989	0.230443	0.232758	0.229879	0.229735	0.22954	0.229146	0.228595	0.228209	0.227903	0.227663	0.227298	0.227147	0.226974	0.226893	0.2268	0.226695	0.22662	0.226511	0.226351	0.226303	0.226245	0.226164	0.226145	0.191851	0.189846	0.185134	0.178774	0.174795	0.168552	0.157766	0.142125	0.126816	0.113939	0.112225	0.109402	0.104496	0.0989562	0.0953979	0.0891521	0.0801429	0.0712253	0.0633399	0.05426	0.0490016	0.0455792	0.0415386	0.0398862	
127	0.015	1	task-0:0.11	|	0.255095	0.254854	0.254172	0.252774	0.25036	0.246886	0.243557	0.240981	0.239683	0.238444	0.236753	0.235431	0.233635	0.233168	0.232471	0.232214	0.231727	0.230989	0.230443	0.232758	0.229879	0.229735	0.22954	0.229146	0.228595	0.228209	0.227903	0.227663	0.227298	0.227147	0.226974	0.226893	0.2268	0.226695	0.22662	0.226511	0.226351	0.226303	0.226245	0.226164	0.226145	0.191851	0.189846	0.185134	0.178774	0.174795	0.168552	0.157766	0.142125	0.126816	0.113939	0.112225	0.109402	0.104496	0.0989562	0.0953979	0.0891521	0.0801429	0.0712253	0.0633399	0.05426	0.0490016	0.0455792	0.0415386	0.0398862	
127	0.047	1	task-0:0.11	|	0.255095	0.254854	0.254172	0.252774	0.25036	0.246886	0.243557	0.240981	0.239683	0.238444	0.236753	0.235431	0.233635	0.233168	0.232471	0.232214	0.231727	0.230989	0.230443	0.232758	0.229879	0.229735	0.22954	0.229146	0.228595	0.228209	0.227903	0.227663	0.227298	0.227147	0.226974	0.226893	0.2268	0.226695	0.22662	0.226511	0.226351	0.226303	0.226245	0.226164	0.226145	0.191851	0.189846	0.185134	0.178774	0.174795	0.168552	0.157766	0.142125	0.126816	0.113939	0.112225	0.109402	0.104496	0.0989562	0.0953979	0.0891521	0.0801429	0.0712253	0.0633399	0.05426	0.0490016	0.0455792	0.0415386	0.0398862	
127	0.016	1	task-0:0.11	|	0.255095	0.254854	0.254172	0.252774	0.25036	0.246886	0.243557	0.240981	0.239683	0.238444	0.236753	0.235431	0.233635	0.233168	0.232471	0.232214	0.231727	0.230989	0.230443	0.232758	0.229879	0.229735	0.22954	0.229146	0.228595	0.228209	0.227903	0.227663	0.227298	0.227147	0.226974	0.226893	0.2268	0.226695	0.22662	0.226511	0.226351	0.226303	0.226245	0.226164	0.226145	0.191851	0.189846	0.185134	0.178774	0.174795	0.168552	0.157766	0.142125	0.126816	0.113939	0.112225	0.109402	0.104496	0.0989562	0.0953979	0.0891521	0.0801429	0.0712253	0.0633399	0.05426	0.0490016	0.0455792	0.0415386	0.0398862	
127	0.047	1	task-0:0.11	|	0.255095	0.254854	0.254172	0.252774	0.25036	0.246886	0.243557	0.240981	0.239683	0.238444	0.236753	0.235431	0.233635	0.233168	0.232471	0.232214	0.231727	0.230989	0.230443	0.232758	0.229879	0.229735	0.22954	0.229146	0.228595	0.228209	0.227903	0.227663	0.227298	0.227147	0.226974	0.226893	0.2268	0.226695	0.22662	0.226511	0.226351	0.226303	0.226245	0.226164	0.226145	0.191851	0.189846	0.185134	0.178774	0.174795	0.168552	0.157766	0.142125	0.126816	0.113939	0.112225	0.109402	0.104496	0.0989562	0.0953979	0.0891521	0.0801429	0.0712253	0.0633399	0.05426	0.0490016	0.0455792	0.0415386	0.0398862	
